# #connections #occurrences_with_x_connections probability_of_connection
1 28516 0.573716401094479
2 11226 0.225857073877354
3 4086 0.0822066634476099
4 1578 0.0317479478512796
5 720 0.0144857556735876
6 429 0.00863109608884597
7 272 0.00547239658779978
8 245 0.00492918075004024
9 172 0.00346048607757927
10 206 0.00414453565105424
11 173 0.00348060518268147
12 151 0.00303798487043296
13 139 0.0027965556092065
14 120 0.00241429261226461
15 123 0.00247464992757122
16 81 0.00162964751327861
17 75 0.00150893288266538
18 62 0.00124738451633671
19 67 0.00134798004184774
20 59 0.0011870272010301
21 59 0.0011870272010301
22 51 0.00102607436021246
23 42 0.000845002414292612
24 52 0.00104619346531466
25 38 0.000764525993883792
26 41 0.000824883309190407
27 31 0.000623692258168357
28 32 0.000643811363270562
29 38 0.000764525993883792
30 34 0.000684049573474972
31 26 0.000523096732657331
32 21 0.000422501207146306
33 29 0.000583454047963947
34 26 0.000523096732657331
35 31 0.000623692258168357
36 34 0.000684049573474972
37 26 0.000523096732657331
38 24 0.000482858522452921
39 20 0.000402382102044101
40 26 0.000523096732657331
41 17 0.000342024786737486
42 20 0.000402382102044101
43 16 0.000321905681635281
44 8 0.00016095284081764
45 11 0.000221310156124256
46 16 0.000321905681635281
47 18 0.000362143891839691
48 6 0.00012071463061323
49 7 0.000140833735715435
50 17 0.000342024786737486
51 22 0.000442620312248511
52 16 0.000321905681635281
53 7 0.000140833735715435
54 18 0.000362143891839691
55 18 0.000362143891839691
56 10 0.000201191051022051
57 10 0.000201191051022051
58 10 0.000201191051022051
59 5 0.000100595525511025
60 2 4.02382102044101e-05
61 14 0.000281667471430871
62 5 0.000100595525511025
63 4 8.04764204088202e-05
64 8 0.00016095284081764
65 4 8.04764204088202e-05
66 4 8.04764204088202e-05
67 2 4.02382102044101e-05
68 2 4.02382102044101e-05
69 4 8.04764204088202e-05
70 11 0.000221310156124256
71 6 0.00012071463061323
72 2 4.02382102044101e-05
73 2 4.02382102044101e-05
74 2 4.02382102044101e-05
75 6 0.00012071463061323
76 4 8.04764204088202e-05
77 12 0.000241429261226461
78 6 0.00012071463061323
79 6 0.00012071463061323
81 10 0.000201191051022051
82 6 0.00012071463061323
83 3 6.03573153066152e-05
84 4 8.04764204088202e-05
85 4 8.04764204088202e-05
86 4 8.04764204088202e-05
88 4 8.04764204088202e-05
89 4 8.04764204088202e-05
90 6 0.00012071463061323
92 2 4.02382102044101e-05
94 4 8.04764204088202e-05
95 2 4.02382102044101e-05
97 4 8.04764204088202e-05
99 4 8.04764204088202e-05
100 2 4.02382102044101e-05
102 2 4.02382102044101e-05
103 2 4.02382102044101e-05
104 4 8.04764204088202e-05
107 2 4.02382102044101e-05
110 4 8.04764204088202e-05
114 6 0.00012071463061323
115 2 4.02382102044101e-05
117 2 4.02382102044101e-05
118 2 4.02382102044101e-05
119 2 4.02382102044101e-05
120 2 4.02382102044101e-05
121 2 4.02382102044101e-05
122 2 4.02382102044101e-05
123 2 4.02382102044101e-05
124 4 8.04764204088202e-05
126 2 4.02382102044101e-05
128 2 4.02382102044101e-05
129 2 4.02382102044101e-05
130 2 4.02382102044101e-05
132 4 8.04764204088202e-05
133 2 4.02382102044101e-05
135 2 4.02382102044101e-05
144 4 8.04764204088202e-05
148 2 4.02382102044101e-05
150 2 4.02382102044101e-05
155 2 4.02382102044101e-05
158 4 8.04764204088202e-05
164 2 4.02382102044101e-05
174 2 4.02382102044101e-05
175 2 4.02382102044101e-05
188 2 4.02382102044101e-05
189 2 4.02382102044101e-05
190 2 4.02382102044101e-05
201 2 4.02382102044101e-05
208 2 4.02382102044101e-05
234 2 4.02382102044101e-05
240 2 4.02382102044101e-05
245 2 4.02382102044101e-05
247 2 4.02382102044101e-05
280 2 4.02382102044101e-05
303 2 4.02382102044101e-05
340 2 4.02382102044101e-05
341 2 4.02382102044101e-05
#avg connections: 3.21308144213745
