#filename inlinks outlinks
./modules/usr/src/sys/modules/ip_mroute_mod/ip_mroute.o 105 88
./modules/usr/src/sys/modules/md/md.o 51 120
./sample.o 31 18
./modules/usr/src/sys/modules/oce/oce_if.o 63 126
./modules/usr/src/sys/modules/zfs/dmu_zfetch.o 39 37
./evxfregn.o 2 10
./modules/usr/src/sys/modules/agp/agp_ali.o 27 49
./subr_hash.o 5 2
./rt2560.o 52 77
./icmp6.o 20 91
./adwmcode.o 4 0
./modules/usr/src/sys/modules/ida/ida_disk.o 18 22
./modules/usr/src/sys/modules/nve/nvenetlib.o 106 1
./modules/usr/src/sys/modules/ath/ar5211_keycache.o 5 0
./modules/usr/src/sys/modules/geom/geom_label/g_label_ufs.o 22 17
./modules/usr/src/sys/modules/msdosfs_iconv/msdosfs_iconv.o 19 13
./modules/usr/src/sys/modules/mac_none/mac_none.o 13 6
./modules/usr/src/sys/modules/netgraph/bpf/bpf_filter.o 5 1
./modules/usr/src/sys/modules/ath/ar9285_phy.o 3 0
./modules/usr/src/sys/modules/asmc/asmc.o 47 47
./modules/usr/src/sys/modules/svr4/svr4_stat.o 21 28
./e1000_osdep.o 6 7
./ieee80211_regdomain.o 14 20
./modules/usr/src/sys/modules/mps/mps.o 60 75
./modules/usr/src/sys/modules/sound/driver/emu10kx/emu10kx-pcm.o 90 90
./modules/usr/src/sys/modules/procfs/procfs_regs.o 1 8
./modules/usr/src/sys/modules/pflog/if_pflog.o 26 36
./modules/usr/src/sys/modules/i2c/controllers/ichsmb/ichsmb_pci.o 23 46
./dswstate.o 12 15
./modules/usr/src/sys/modules/ixgbe/ixgbe_82599.o 28 38
./modules/usr/src/sys/modules/netgraph/bluetooth/hci/ng_hci_misc.o 23 29
./ar2425.o 29 8
./modules/usr/src/sys/modules/kgssapi/gss_accept_sec_context.o 1 14
./modules/usr/src/sys/modules/firewire/firewire/fwdma.o 7 13
./modules/usr/src/sys/modules/kgssapi/rpcsec_gss_prot.o 10 19
./acpi_pci_link.o 46 53
./modules/usr/src/sys/modules/sound/sound/sound.o 79 97
./procfs_ioctl.o 2 7
./modules/usr/src/sys/modules/msdosfs/msdosfs_fileno.o 18 10
./vfs_mount.o 67 106
./modules/usr/src/sys/modules/drm/drm/drm_hashtab.o 12 7
./tty_tty.o 7 14
./modules/usr/src/sys/modules/netgraph/iface/ng_iface.o 41 57
./modules/usr/src/sys/modules/wlan/ieee80211_ratectl.o 11 9
./geom_slice.o 12 33
./modules/usr/src/sys/modules/hptmv/ioctl.o 19 35
./e1000_82540.o 11 45
./modules/usr/src/sys/modules/fdc/fdc_acpi.o 15 39
./sci_abstract_list.o 23 1
./modules/usr/src/sys/modules/hpt27xx/os_bsd.o 38 26
./modules/usr/src/sys/modules/uart/uart_dev_quicc.o 22 22
./modules/usr/src/sys/modules/usb/umass/umass.o 103 72
./modules/usr/src/sys/modules/xfs/xfs_itable.o 5 27
./raw_usrreq.o 21 21
./ar9130_attach.o 18 22
./modules/usr/src/sys/modules/acpi/acpi_wmi/acpi_wmi.o 55 67
./modules/usr/src/sys/modules/isci/sci_base_domain.o 1 3
./modules/usr/src/sys/modules/wi/if_wi_pccard.o 17 24
./modules/usr/src/sys/modules/usb/usb/usb_request.o 69 48
./usb_msctest.o 33 40
./in6_src.o 19 48
./rpcb_prot.o 5 5
./utobject.o 12 12
./modules/usr/src/sys/modules/ath/ar5212_gpio.o 5 1
./modules/usr/src/sys/modules/usb/usb/usb_lookup.o 3 2
./modules/usr/src/sys/modules/ipfilter/ip_frag.o 36 35
./modules/usr/src/sys/modules/linux/linux_ioctl.o 65 54
./modules/usr/src/sys/modules/sound/sound/buffer.o 61 27
./modules/usr/src/sys/modules/sound/driver/es137x/es137x.o 66 102
./modules/usr/src/sys/modules/pfsync/if_pfsync.o 92 112
./OsdMemory.o 14 11
./mfi_disk.o 22 28
./modules/usr/src/sys/modules/geom/geom_vinum/geom_vinum_plex.o 14 40
./modules/usr/src/sys/modules/usb/run/if_run.o 148 114
./modules/usr/src/sys/modules/isci/scif_sas_io_request_states.o 8 4
./modules/usr/src/sys/modules/ixgbe/ixgbe_phy.o 33 4
./OsdHardware.o 4 3
./modules/usr/src/sys/modules/wi/if_wi_pci.o 22 34
./vm_zeroidle.o 15 24
./feeder_matrix.o 32 19
./dcphy.o 19 27
./modules/usr/src/sys/modules/an/if_an_pci.o 23 37
./subr_sbuf.o 32 15
./modules/usr/src/sys/modules/iwn/if_iwn.o 196 127
./procfs_note.o 1 4
./strlen.o 1 0
./modules/usr/src/sys/modules/krpc/xdr_mbuf.o 13 8
./nfs_clkrpc.o 5 35
./modules/usr/src/sys/modules/libalias/libalias/alias_util.o 2 4
./xdr_mbuf.o 13 8
./modules/usr/src/sys/modules/ndis/winx32_wrap.o 21 2
./modules/usr/src/sys/modules/ntfs/ntfs_compr.o 2 4
./vm_pager.o 26 23
./modules/usr/src/sys/modules/libalias/libalias/alias_db.o 97 25
./modules/usr/src/sys/modules/linux/linux_support.o 8 0
./modules/usr/src/sys/modules/xfs/xfs_trans_buf.o 15 24
./pst-raid.o 27 52
./modules/usr/src/sys/modules/coda5/coda_fbsd.o 14 23
./modules/usr/src/sys/modules/ath/ar5416_interrupts.o 3 0
./modules/usr/src/sys/modules/zfs/list.o 18 0
./modules/usr/src/sys/modules/zfs/uberblock.o 2 4
./modules/usr/src/sys/modules/netgraph/atm/uni/sig_coord.o 10 23
./modules/usr/src/sys/modules/my/if_my.o 48 72
./modules/usr/src/sys/modules/netgraph/tag/ng_tag.o 36 35
./sati_move.o 11 4
./modules/usr/src/sys/modules/usb/mos/if_mos.o 79 69
./modules/usr/src/sys/modules/utopia/utopia.o 38 38
./modules/usr/src/sys/modules/vxge/vxgehal-mrpcim.o 38 33
./mac_vfs.o 59 27
./modules/usr/src/sys/modules/stg/tmc18c30_pci.o 20 21
./modules/usr/src/sys/modules/usb/usb/usb_debug.o 14 10
./in6_mcast.o 89 49
./modules/usr/src/sys/modules/cam/scsi_ch.o 37 52
./pccard.o 81 103
./utmath.o 3 3
./vchan.o 24 61
./modules/usr/src/sys/modules/netgraph/atm/ccatm/unisap.o 14 1
./modules/usr/src/sys/modules/udf/osta.o 6 0
./geom_io.o 29 28
./teken.o 60 5
./agp_sis.o 26 48
./agp_via.o 28 49
./sha1.o 6 4
./modules/usr/src/sys/modules/usb/ugensa/ugensa.o 35 43
./modules/usr/src/sys/modules/sf/if_sf.o 64 95
./mac_priv.o 2 7
./aic7xxx_pci.o 35 28
./null.o 20 16
./modules/usr/src/sys/modules/zfs/opensolaris_vfs.o 4 29
./modules/usr/src/sys/modules/mps/mps_table.o 20 6
./modules/usr/src/sys/modules/xfs/xfs_stats.o 3 2
./modules/usr/src/sys/modules/krpc/rpcb_clnt.o 5 19
./if_lem.o 110 147
./modules/usr/src/sys/modules/mfi/mfip/mfi_cam.o 25 32
./modules/usr/src/sys/modules/nfscl/nfs_clcomsubs.o 14 32
./modules/usr/src/sys/modules/nwfs/nwfs_vnops.o 23 47
./modules/usr/src/sys/modules/xfs/xfs_inode_item.o 19 27
./nseval.o 3 19
./modules/usr/src/sys/modules/kgssapi/kgss_if.o 18 1
./modules/usr/src/sys/modules/cd9660/cd9660_bmap.o 1 2
./aicasm_scan.o 46 36
./device_if.o 20 1
