#numfiles_with_numlinks numlinks 
1 89
1 115
1 962
1 181
12 65
2 194
28 50
1 251
3 132
1 361
2 168
60 26
1 279
1 257
3 106
2 354
2 135
2 302
9 76
5 139
208 11
3 108
2 165
127 18
284 8
3 107
1 133
3 345
2 99
337 4
2 117
349 6
1 1152
1 236
1 140
4 134
1 294
4 100
2 202
7 83
1 298
6 130
1 147
1 313
20 44
1 334
6 98
5 92
1 759
1 170
1 611
34 45
2 213
19 54
28 55
91 21
82 24
21 49
1 243
1 189
3 142
7 82
1 1525
7 80
1 3811
1 144
4 126
1 349
3 149
1 155
248 2
5 96
7 63
1 186
1 448
1 1756
1 283
1 150
3 167
1 429
1 162
1 205
7 77
12 57
2 164
1 111
1 526
1 1223
4 143
52 29
190 12
51 34
1 403
97 22
271 7
1 311
2 175
1 600
1 477
1 1370
2 226
28 52
97 20
3 93
18 59
2 109
1 382
1 722
1 1351
2 259
40 43
1 148
10 71
1 1075
7 86
1 125
244 3
1 263
7 62
1 409
1 158
1 188
2 172
1 803
206 1
1 190
278 10
1 538
1 3053
3 200
1 410
1 791
11 88
5 75
55 32
1 356
2 156
6 84
1 214
1 121
1 378
1 178
10 61
47 33
6 103
1 119
25 46
1 340
61 27
7 74
1 212
2 219
5 101
1 208
1 180
1 282
1 237
1 293
2 299
1 104
1 4642
3 120
35 36
1 246
1 273
130 17
7 73
1 377
1 182
3 131
4 79
1 127
20 39
2 174
1 556
1 394
1 152
1 253
2 137
12 58
2 256
1 260
1 185
2 166
1 2201
1 218
2 195
1 138
7 85
1 772
1 725
4 91
5 105
5 123
1 900
17 48
1 565
52 30
20 47
2 173
1 602
2 141
1 359
14 68
3 169
1 160
2 153
1 317
124 19
4 69
1 124
29 51
1 680
1 235
1 199
68 25
1 316
3 206
18 60
3 114
1 548
154 15
2 163
1 324
4 97
38 40
1 116
133 16
2155 0
4 72
5 102
35 38
4 87
6 81
14 64
2 491
3 129
6 122
10 67
1 146
1 20555
54 31
10 90
2 588
1 113
273 5
1 431
2 95
6 94
54 28
1 198
8 70
11 53
1 215
1 348
26 42
41 41
93 23
1 275
1 184
1 151
1 229
2 287
1 2171
3 112
218 9
173 13
1 183
161 14
46 37
2 110
14 56
11 78
1 244
1 228
45 35
15 66
1 128
1 579
1 192
2 358
