#numfiles_with_numlinks numlinks
14 95
169 5
36 52
19 94
119 20
88 28
1 179
43 64
112 22
174 7
1 210
4 146
3 122
20 67
3 129
72 31
1 265
11 90
6 113
129 16
29 57
2 164
1 310
5 111
4 102
27 72
314 0
50 38
1 312
1 143
104 29
9 87
14 81
75 34
134 12
9 114
1 154
1 186
1 283
108 15
1 167
2 163
2 150
13 97
51 40
1 162
5 116
1 266
17 77
54 35
22 66
10 88
22 75
73 32
6 84
3 156
4 121
3 214
1 128
60 33
41 61
10 103
35 46
3 119
95 27
1 402
142 13
1 183
5 112
184 3
189 9
31 62
146 14
79 37
1 188
5 110
24 56
13 78
1 244
166 10
103 1
1 200
1 323
52 43
1 151
4 184
24 71
1 370
2 148
1 171
15 86
6 125
10 93
17 70
30 59
7 109
27 53
1 215
39 41
45 42
2 211
122 23
3 117
181 4
152 6
1 166
3 140
1 280
1 480
2 138
3 134
15 85
1 221
2 294
1 174
18 76
4 135
3 139
2 152
6 108
142 11
1 137
1 253
1 821
153 18
27 58
1 165
1 1138
1 133
1 445
8 107
199 8
5 99
2 136
109 26
4 132
3 104
2 145
4 120
55 36
21 73
135 17
1 377
17 79
2 131
4 127
49 39
5 106
15 74
1 269
13 89
2 157
1 447
4 115
2 159
30 65
37 50
1 708
1 212
1 251
2 180
4 101
1 327
1 282
16 82
1 142
125 19
1 189
23 69
24 51
5 124
2 268
1 196
13 80
2 144
104 25
6 126
1972 2
3 149
9 96
18 63
30 60
1 440
26 68
35 54
1 213
50 45
3 169
28 55
2 153
1 160
43 49
130 21
143 24
1 161
83 30
34 47
3 187
52 44
2 176
2 147
1 173
7 92
1 209
7 98
4 141
1 303
1 170
2 240
7 118
8 100
1 969
9 83
1 202
10 91
1 123
9 105
1 724
39 48
1 130
