#filename inlinks outlinks
./drivers/media/rc/keymaps/rc-avermedia.mod.o 0 2
./net/sunrpc/sunrpc_syms.o 6 25
./drivers/media/video/v4l2-event.o 9 17
./drivers/leds/leds-lp3944.o 10 21
./drivers/pcmcia/rsrc_mgr.o 3 3
./drivers/md/dm-kcopyd.o 16 36
./drivers/media/dvb/dvb-usb/m920x.o 22 26
./sound/core/oss/snd-mixer-oss.mod.o 0 2
./drivers/base/core.o 63 70
./drivers/uio/uio_netx.o 7 20
./drivers/char/pcmcia/synclink_cs.o 67 96
./fs/jffs2/fs.o 14 68
./drivers/gpu/drm/drm_auth.o 3 11
./net/wireless/built-in.o 36 39
./net/sunrpc/auth_gss/auth_rpcgss.o 101 90
./drivers/acpi/acpica/utdelete.o 6 17
./drivers/acpi/acpica/dswload2.o 2 33
./drivers/base/sys.o 20 21
./drivers/misc/apds990x.o 43 39
./net/ipx/ipx.mod.o 0 2
./net/ipv6/xfrm6_mode_tunnel.o 6 10
./drivers/watchdog/nv_tco.mod.o 0 2
./net/llc/llc_sap.o 8 12
./fs/ocfs2/cluster/ocfs2_nodemanager.mod.o 0 2
./drivers/media/video/cx23885/cx23885-ioctl.o 1 1
./sound/i2c/other/snd-ak4xxx-adda.o 25 9
./sound/pci/hda/patch_cmedia.o 23 38
./fs/ntfs/compress.o 4 29
./arch/x86/lib/csum-partial_64.o 3 1
./drivers/media/dvb/dvb-usb/usb-urb.o 7 10
./crypto/algif_hash.o 13 38
./drivers/media/dvb/dvb-usb/dvb-usb-gp8psk.o 30 21
./fs/nfs/file.o 24 52
./drivers/input/touchscreen/inexio.o 7 21
./arch/x86/lib/cache-smp.o 3 3
./block/blk-core.o 120 114
./drivers/pci/hotplug/acpiphp.o 45 51
./drivers/w1/slaves/w1_smem.o 4 3
./drivers/tty/serial/mfd.o 33 57
./drivers/scsi/lpfc/lpfc_mbox.o 51 22
./arch/x86/crypto/ghash-clmulni-intel.o 19 22
./drivers/hwmon/adt7475.mod.o 0 2
./drivers/pcmcia/ds.o 44 62
./drivers/media/rc/ir-lirc-codec.mod.o 0 2
./fs/ocfs2/stack_o2cb.o 19 24
./fs/jfs/super.o 21 90
./fs/reiserfs/inode.o 41 115
./kernel/trace/built-in.o 759 213
./fs/nls/nls_cp855.mod.o 0 2
./drivers/char/pcmcia/cm4040_cs.o 17 40
./sound/pci/ice1712/snd-ice1712.o 165 80
./drivers/atm/iphase.o 32 59
./drivers/media/dvb/dvb-usb/dvb-usb-dtt200u.mod.o 0 2
./drivers/input/ff-core.o 7 9
./drivers/usb/storage/ums-isd200.o 10 23
./fs/jffs2/ioctl.o 1 1
./drivers/scsi/mvsas/mv_94xx.o 46 14
./drivers/scsi/aic7xxx/aic7xxx_core.o 102 58
./drivers/hwmon/lm73.mod.o 0 2
./drivers/base/class.o 26 29
./drivers/infiniband/hw/amso1100/c2_mq.o 7 1
./fs/compat_binfmt_elf.o 14 68
./drivers/usb/storage/transport.o 20 27
./drivers/net/phy/marvell.o 16 9
./drivers/net/wan/hdlc_fr.o 21 44
./drivers/net/irda/esi-sir.mod.o 0 2
./net/ipv4/xfrm4_mode_beet.mod.o 0 2
./drivers/video/via/via-gpio.o 11 12
./drivers/md/raid456.o 76 106
./fs/jfs/file.o 4 28
./drivers/media/video/m52790.o 10 13
./sound/pci/echoaudio/snd-indigoio.mod.o 0 2
./drivers/acpi/acpica/tbutils.o 10 20
./net/netfilter/nf_conntrack_acct.o 3 13
./kernel/power/main.o 13 22
./drivers/media/rc/ir-jvc-decoder.mod.o 0 2
./drivers/gpu/drm/i915/intel_sdvo.o 29 47
./drivers/video/matrox/i2c-matroxfb.o 13 18
./drivers/scsi/osd/libosd.mod.o 0 0
./drivers/net/ixgbe/ixgbe_main.o 94 171
./fs/ocfs2/dlm/ocfs2_dlm.mod.o 0 2
./drivers/md/multipath.o 18 39
./sound/pci/trident/snd-trident.mod.o 0 2
./fs/bad_inode.o 43 5
./drivers/edac/i5100_edac.mod.o 0 2
./drivers/edac/x38_edac.mod.o 0 2
./security/apparmor/audit.o 3 12
./arch/x86/mm/memtest.o 7 4
./drivers/media/rc/keymaps/rc-ati-tv-wonder-hd-600.o 4 3
./drivers/media/video/tuner.mod.o 0 2
./sound/pci/hda/snd-hda-codec-via.mod.o 0 2
./drivers/media/video/gspca/spca501.o 24 12
./drivers/mtd/devices/block2mtd.o 11 33
./drivers/gpu/drm/sis/sis_mm.o 13 15
./drivers/mtd/chips/cfi_cmdset_0002.mod.o 0 0
./net/ipv4/inet_fragment.o 9 17
./drivers/hwmon/max1619.mod.o 0 2
./drivers/input/joystick/twidjoy.mod.o 0 2
./kernel/trace/trace_printk.o 14 21
./drivers/leds/led-core.o 0 0
./kernel/module.o 92 139
./drivers/infiniband/hw/ipath/ipath_driver.o 45 85
./drivers/gpu/drm/i915/intel_panel.o 10 8
./drivers/media/video/gspca/gspca_t613.o 45 18
./fs/char_dev.o 23 22
./arch/x86/kernel/cpu/mtrr/built-in.o 94 51
./drivers/input/joystick/interact.o 10 21
./drivers/i2c/i2c-core.mod.o 0 2
./net/netfilter/ipset/ip_set_hash_ip.mod.o 0 2
./mm/percpu.o 37 49
./drivers/scsi/qla2xxx/qla_iocb.o 13 21
./arch/x86/lib/copy_page_64.o 2 0
./drivers/mtd/chips/cfi_probe.mod.o 0 2
./lib/bch.mod.o 0 0
./arch/x86/kernel/cpu/powerflags.o 0 0
./drivers/media/rc/keymaps/rc-powercolor-real-angel.mod.o 0 2
./drivers/gpu/drm/ttm/ttm_object.o 12 18
./net/core/neighbour.o 65 85
