#numfiles_with_numlinks numlinks 
2 81
21 35
2 202
5 64
18 31
33 24
2 122
101 4
1 184
1 151
16 30
39 19
3 83
3 96
41 20
1 394
2 219
2 53
1 74
1 114
1 283
1 181
16 28
1 340
1 169
1 237
2 94
1 174
3 79
4 57
11 47
1 600
1 334
5 56
1 165
1 182
2 112
6 66
1 556
1 448
1 311
1 149
11 36
1 97
1 138
2 80
2 195
1 1152
44 16
11 49
7 60
1 382
1 128
1 162
1 124
4 75
1 140
1 409
7 59
1 172
1 205
1 144
2 166
3 139
1 214
9 46
15 33
9 2
23 26
1 93
1 164
1 244
1 72
2 69
19 37
1 198
3 345
1 354
11 50
5 65
1 348
5 77
3 98
2 142
1 110
3 134
1 99
1 108
5 78
1 1525
1 156
13 55
2 70
7 48
63 12
5 90
2 102
10 52
1 189
1 287
1 194
24 27
15 45
76 11
2 200
5 3
1 403
1 152
1 228
1 192
2 0
1 125
1 253
1 361
1 104
2 213
1 132
1 791
17 29
1 548
1 235
5 130
1 313
1 168
10 40
104 10
1 226
1 538
2 358
2 173
1 725
1 212
5 39
1 190
2 175
1 316
50 18
141 6
8 68
1 299
1 579
3 143
1 294
4 58
1 116
1 137
117 8
63 5
1 722
9 54
58 13
4 71
2 117
3 129
62 9
1 126
11 38
1 349
62 14
1 113
4 62
2 91
93 7
8 41
2 107
13 34
1 279
2 92
43 17
3 86
1 188
6 61
35 22
1 359
1 962
3 206
1 275
5 44
1 163
2 256
1 131
1 148
1 199
28 25
1 263
1 180
1 377
3 63
1 324
2 141
1 236
1 218
3 100
1 431
1 178
2 259
4 73
2 167
4 67
3 76
33 21
1 356
3 101
2 123
1 135
15 32
26 23
1 95
4 84
12 1
2 153
1 260
56 15
2 103
3 85
1 87
9 42
3 105
4 88
1 1223
1 115
1 477
1 150
1 158
2 82
10 51
20 43
1 229
1 120
1 257
