#numfiles_with_numlinks numlinks
1 150
5 82
12 51
1 158
2 133
3 120
26 43
3 105
4 88
17 42
1 147
2 115
1 282
5 85
5 87
23 32
1 135
8 95
6 84
3 1
55 23
1 153
5 103
39 15
6 67
5 73
33 21
8 76
3 111
2 123
1 101
2 100
1 265
16 63
2 131
1 199
45 25
48 22
22 44
1 119
1 92
23 34
3 107
54 17
2 86
1 155
9 61
1 188
22 38
1 187
8 62
3 91
5 113
26 14
11 41
51 7
9 54
12 71
32 13
1 239
3 117
1 185
51 9
1 126
1 129
1 302
56 8
43 5
3 109
42 18
30 6
12 68
1 143
2 116
14 58
13 39
2 175
9 89
2 146
1 130
17 40
1 168
31 10
1 132
2 213
1 208
1 309
29 29
2 125
7 0
5 104
1 152
162 3
31 11
5 90
4 102
40 12
14 48
8 52
32 27
21 45
1 156
12 55
7 78
6 70
1 98
3 108
5 99
3 134
2 110
2 186
7 69
16 37
9 72
11 50
4 77
9 65
9 46
7 2
22 33
38 26
1 164
9 93
11 59
1 172
1 144
1 139
2 128
15 60
2 140
2 210
1 162
8 75
4 124
2 106
1 121
6 97
33 36
1 118
7 80
2 138
1 293
12 49
30 16
1 376
1 165
3 112
9 56
14 66
1 322
1 211
1 169
7 79
3 94
10 57
17 47
1 179
45 20
15 53
22 28
11 74
1 114
1 184
50 4
26 30
4 83
1 145
38 19
6 96
1 201
16 35
2 81
12 64
21 31
31 24
