Source;Target;Label;Weight
356;292;snd_ctl_new1;1
356;292;snd_card_register;1
356;292;snd_power_wait;1
356;292;snd_card_create;1
356;1968;snd_pcm_limit_hw_rates;1
356;292;snd_jack_new;1
356;1968;snd_pcm_hw_constraint_minmax;1
356;1968;snd_pcm_suspend_all;1
356;1974;i2c_transfer;1
356;292;snd_jack_report;1
356;292;snd_ctl_add;1
356;292;snd_card_free;1
356;1968;snd_pcm_new;1
356;1968;snd_pcm_format_width;1
356;1974;i2c_master_send;1
356;1968;snd_pcm_set_ops;1
1731;385;pcmcia_register_socket;1
1731;385;pcmcia_parse_events;1
1731;385;pcmcia_unregister_socket;1
1470;292;snd_ctl_find_id;1
1470;292;snd_card_proc_new;1
1470;292;snd_jack_new;1
1470;292;snd_pci_quirk_lookup;1
1470;292;_snd_ctl_add_slave;1
1470;1315;snd_hwdep_new;1
1470;292;snd_iprintf;1
1470;292;snd_ctl_new1;1
1470;292;snd_device_new;1
1470;1968;snd_pcm_hw_constraint_step;1
1470;292;snd_component_add;1
1470;292;snd_ctl_remove;1
1470;292;snd_ctl_boolean_mono_info;1
1470;292;snd_device_free;1
1470;292;snd_ctl_add;1
1470;292;snd_jack_report;1
1470;292;snd_ctl_make_virtual_master;1
1470;1968;snd_pcm_format_width;1
1407;1930;ata_std_bios_param;1
1407;1930;ata_port_pbar_desc;1
1407;1930;ata_sff_check_status;1
1407;1930;ata_host_activate;1
1407;1930;ata_scsi_ioctl;1
1407;1930;ata_port_abort;1
1407;1930;ata_pci_remove_one;1
1407;1930;ata_scsi_slave_destroy;1
1407;1930;ata_host_alloc_pinfo;1
1407;1930;ata_bmdma_port_intr;1
1407;1930;ata_scsi_slave_config;1
1407;1930;ata_scsi_unlock_native_capacity;1
1407;1930;ata_scsi_queuecmd;1
1407;1930;ata_port_freeze;1
1737;1974;i2c_transfer;1
290;1974;i2c_del_adapter;1
290;1235;i2c_bit_add_bus;1
1812;194;rfkill_unregister;1
1812;194;rfkill_destroy;1
1812;194;rfkill_set_hw_state;1
1812;194;rfkill_register;1
1812;194;rfkill_alloc;1
1436;1829;snd_seq_expand_var_event;1
388;1779;mmc_resume_host;1
388;1779;mmc_suspend_host;1
388;1779;mmc_alloc_host;1
388;1779;mmc_remove_host;1
388;1779;mmc_request_done;1
388;1779;mmc_detect_change;1
388;1779;mmc_free_host;1
388;1779;mmc_add_host;1
1012;1968;snd_pcm_lib_free_pages;1
1012;1323;snd_ac97_write;1
1012;1968;snd_pcm_format_unsigned;1
1012;1968;snd_pcm_hw_constraint_list;1
1012;1968;snd_pcm_lib_malloc_pages;1
1012;292;snd_card_create;1
1012;292;snd_device_new;1
1012;292;snd_iprintf;1
1012;292;snd_ctl_new1;1
1012;292;snd_card_register;1
1012;1968;snd_pcm_hw_constraint_minmax;1
1012;1968;snd_pcm_period_elapsed;1
1012;1968;snd_pcm_suspend_all;1
1012;1323;snd_ac97_bus;1
1012;292;snd_card_proc_new;1
1012;292;snd_card_free;1
1012;1968;snd_pcm_set_sync;1
1012;1968;snd_pcm_format_width;1
1012;1323;snd_ac97_resume;1
1012;1968;snd_pcm_new;1
1012;1968;snd_pcm_lib_preallocate_pages_for_all;1
1012;292;snd_ctl_add;1
1012;292;snd_ctl_boolean_mono_info;1
1012;1968;snd_pcm_lib_ioctl;1
1012;1323;snd_ac97_suspend;1
1012;292;snd_card_disconnect;1
1012;1323;snd_ac97_mixer;1
1012;1968;snd_pcm_set_ops;1
1291;1391;rc_map_register;1
1291;1391;rc_map_unregister;1
868;428;ib_umem_release;1
868;428;ib_unregister_device;1
868;428;ib_dispatch_event;1
868;428;ib_dealloc_device;1
868;428;ib_umem_get;1
868;428;ib_modify_qp_is_ok;1
868;428;ib_alloc_device;1
868;428;ib_register_device;1
669;1897;usb_set_interface;1
669;1152;irlap_open;1
669;1152;alloc_irdadev;1
