#filename inlinks outlinks
./sound/soc/snd-soc-core.ko 236 113
./drivers/pcmcia/yenta_socket.ko 56 56
./sound/pci/hda/snd-hda-codec.ko 178 65
./drivers/ata/sata_vsc.ko 12 34
./drivers/media/dvb/frontends/tda1004x.ko 24 11
./drivers/i2c/busses/i2c-simtec.ko 10 18
./drivers/platform/x86/compal-laptop.ko 47 38
./sound/core/seq/snd-seq-midi-event.ko 25 9
./drivers/mmc/host/via-sdmmc.ko 25 47
./sound/pci/ali5451/snd-ali5451.ko 45 71
./drivers/media/rc/keymaps/rc-avermedia-a16d.ko 4 3
./drivers/watchdog/advantechwdt.ko 11 20
./drivers/infiniband/hw/ipath/ib_ipath.ko 403 186
./drivers/net/irda/irda-usb.ko 20 58
./net/netfilter/nf_conntrack.ko 149 94
./net/netfilter/xt_statistic.ko 7 7
./drivers/usb/misc/isight_firmware.ko 6 10
./drivers/input/joystick/turbografx.ko 9 30
./drivers/usb/host/ohci-hcd.ko 47 62
./drivers/net/wireless/rt2x00/rt2500pci.ko 37 44
./net/netfilter/ipset/ip_set.ko 45 49
./crypto/tea.ko 12 3
./drivers/media/common/tuners/tuner-simple.ko 16 17
./net/netfilter/xt_CHECKSUM.ko 6 5
./drivers/mmc/card/sdio_uart.ko 37 60
./lib/crc-t10dif.ko 1 0
./drivers/media/rc/keymaps/rc-imon-pad.ko 4 3
./drivers/mtd/nand/nand_ecc.ko 4 2
./drivers/media/video/gspca/m5602/gspca_m5602.ko 130 26
./drivers/mtd/ssfdc.ko 8 13
./drivers/media/dvb/dvb-usb/dvb-usb-anysee.ko 14 23
./net/netfilter/xt_esp.ko 6 5
./drivers/scsi/hpsa.ko 66 87
./lib/crc-ccitt.ko 1 0
./drivers/scsi/vmw_pvscsi.ko 23 57
./drivers/ata/sata_nv.ko 49 73
./drivers/video/matrox/matroxfb_crtc2.ko 15 29
./drivers/isdn/gigaset/usb_gigaset.ko 27 45
./drivers/media/video/gspca/gspca_spca508.ko 14 12
./drivers/scsi/sd_mod.ko 71 100
./net/bridge/netfilter/ebt_arp.ko 6 4
./drivers/char/ipmi/ipmi_watchdog.ko 38 50
