#filename inlinks outlinks
./drivers/ata/pata_pcmcia.mod.o 0 2
./drivers/gpu/drm/nouveau/core/subdev/fb/ramnv04.o 1 6
./net/netfilter/xt_TEE.mod.o 0 2
./drivers/base/regmap/regmap-i2c.o 10 9
./drivers/video/fbdev/vermilion/vmlfb.mod.o 0 2
./drivers/acpi/acpica/hwxfsleep.o 8 25
./drivers/misc/mei/mei-me.mod.o 0 2
./fs/quota/compat.o 1 8
./drivers/scsi/bnx2i/bnx2i_iscsi.o 31 108
./block/genhd.o 65 100
./drivers/video/fbdev/aty/mach64_accel.o 5 5
./drivers/hid/hid-saitek.mod.o 0 2
./net/sched/built-in.o 167 95
./drivers/usb/storage/cypress_atacb.o 6 18
./drivers/media/rc/keymaps/rc-anysee.o 4 2
./fs/btrfs/file-item.o 13 39
./drivers/ata/pata_it821x.mod.o 0 2
./fs/nls/nls_euc-jp.o 6 6
./drivers/media/dvb-frontends/cx24110.o 17 10
./drivers/usb/serial/qcserial.mod.o 0 2
./drivers/net/wireless/libertas/if_cs.o 11 37
./drivers/scsi/bfa/bfad.o 47 112
./drivers/uwb/hwa-rc.o 16 35
./drivers/net/ethernet/mellanox/mlx5/core/mlx5_core.o 141 104
./drivers/staging/lustre/lustre/llite/llite_lib.o 44 171
./drivers/input/misc/keyspan_remote.mod.o 0 2
./drivers/input/joystick/analog.mod.o 0 2
./arch/x86/kernel/cpuid.o 11 24
./drivers/scsi/qla4xxx/qla4xxx.o 332 194
./drivers/pci/hotplug/acpiphp_glue.o 22 53
./drivers/gpu/drm/nouveau/core/subdev/clock/nvc0.o 15 11
./fs/proc/array.o 15 47
./sound/firewire/bebob/bebob_yamaha.o 1 4
./drivers/acpi/processor.mod.o 0 2
./fs/xfs/xfs_buf_item.o 20 46
./drivers/acpi/acpica/dsmthdat.o 6 10
./net/dccp/proto.o 26 83
./drivers/md/multipath.o 18 41
./drivers/media/rc/keymaps/rc-cinergy-1400.o 4 2
./security/tomoyo/util.o 27 21
./fs/cifs/smb2transport.o 11 29
./drivers/staging/rtl8192u/r819xU_cmdpkt.o 2 8
./drivers/md/dm-zero.mod.o 0 2
./net/ipv4/icmp.o 19 53
./drivers/acpi/video.o 40 63
./drivers/mtd/mtdblock_ro.mod.o 0 2
./drivers/media/dvb-frontends/or51211.mod.o 0 0
./fs/jffs2/xattr.o 26 37
./fs/affs/symlink.o 1 12
./arch/x86/kernel/cpu/capflags.o 0 0
./sound/i2c/snd-i2c.o 19 8
./net/bridge/br_stp_if.o 12 25
./sound/pci/hda/snd-hda-codec-ca0110.mod.o 0 2
./drivers/infiniband/hw/amso1100/c2_cq.o 9 29
./crypto/cmac.o 11 16
./drivers/media/usb/gspca/gspca_main.o 56 65
./fs/gfs2/lock_dlm.o 18 40
./crypto/michael_mic.mod.o 0 2
./net/bridge/netfilter/ebt_ip.o 6 5
./fs/proc/proc.o 390 343
./drivers/media/platform/via-camera.mod.o 0 2
./drivers/media/pci/bt8xx/bttv-gpio.o 12 16
./net/sched/sch_multiq.mod.o 0 2
./drivers/input/gameport/emu10k1-gp.o 6 17
./drivers/net/wireless/rtl818x/rtl8187/dev.o 29 69
./sound/pci/echoaudio/snd-indigoio.mod.o 0 2
./crypto/ghash-generic.mod.o 0 2
./drivers/media/rc/keymaps/rc-avermedia-dvbt.o 4 2
./drivers/usb/serial/spcp8x5.mod.o 0 2
./drivers/gpu/drm/nouveau/core/engine/software/nv10.o 3 11
./drivers/media/rc/keymaps/rc-powercolor-real-angel.mod.o 0 2
./drivers/scsi/mpt2sas/mpt2sas.o 243 153
./fs/udf/lowlevel.o 2 2
./drivers/hid/hid-holtek-kbd.o 7 7
./drivers/staging/rtl8821ae/btcoexist/halbtc8192e2ant.o 31 5
./drivers/net/wireless/b43/pcmcia.o 6 16
./net/sunrpc/sunrpc.mod.o 0 2
./arch/x86/kernel/cpu/mcheck/threshold.o 3 9
./net/ipv6/xfrm6_mode_transport.mod.o 0 2
./drivers/gpu/drm/i915/intel_acpi.o 3 9
./drivers/i2c/busses/i2c-isch.o 8 16
./net/netfilter/nf_nat_proto_sctp.o 8 10
./drivers/media/i2c/upd64031a.o 10 11
./net/sched/sch_blackhole.o 5 4
./drivers/input/touchscreen/atmel_mxt_ts.o 35 45
./drivers/infiniband/core/ib_ucm.mod.o 0 2
./sound/core/pcm_memory.o 14 19
./arch/x86/crypto/serpent_avx_glue.o 21 37
./net/netfilter/nfnetlink_acct.mod.o 0 2
./fs/ufs/file.o 0 9
./net/sctp/associola.o 32 73
./drivers/hwmon/f71805f.mod.o 0 2
./net/sched/sch_gred.o 13 21
./drivers/staging/lustre/lustre/ptlrpc/sec_plain.o 28 53
./drivers/cpufreq/speedstep-lib.o 4 11
./sound/core/seq/seq_midi_emul.o 12 9
./drivers/ata/pata_pdc2027x.mod.o 0 2
./drivers/media/rc/keymaps/rc-total-media-in-hand.o 4 2
./drivers/net/wireless/rtlwifi/rtl8192se/dm.o 3 5
./lib/raid6/algos.o 4 18
./drivers/net/fddi/skfp/smttimer.o 6 6
./security/keys/built-in.o 153 111
./drivers/hwmon/gl518sm.mod.o 0 2
./drivers/usb/core/usbcore.o 447 232
./drivers/staging/rtl8192ee/pci.o 32 82
./drivers/gpu/drm/radeon/kv_dpm.o 45 39
./drivers/md/dm-bufio.o 51 55
./arch/x86/lib/memmove_64.o 1 0
./drivers/usb/class/cdc-acm.mod.o 0 2
./drivers/usb/storage/protocol.o 5 9
./fs/hfsplus/wrapper.o 2 16
./drivers/isdn/hardware/eicon/diva_dma.o 7 4
./fs/cifs/smb2ops.o 59 76
./drivers/cdrom/cdrom.o 54 30
./drivers/tty/serial/8250/8250_core.o 78 82
./drivers/target/target_core_tmr.o 4 17
./drivers/input/mouse/sentelic.o 28 27
./sound/firewire/speakers.o 27 56
./drivers/gpu/drm/radeon/radeon_gart.o 10 26
./drivers/acpi/processor_pdc.o 5 15
./drivers/base/regmap/regmap-spi.mod.o 0 0
./arch/x86/kernel/irq_64.o 1 2
./drivers/hid/hid-emsff.o 6 16
./drivers/char/lp.mod.o 0 2
./drivers/gpu/drm/nouveau/core/engine/graph/nv40.o 8 32
./arch/x86/pci/direct.o 8 15
./drivers/base/topology.o 10 17
./drivers/net/ethernet/qlogic/qlcnic/qlcnic_hw.o 46 40
./drivers/input/mouse/bcm5974.o 16 35
./arch/x86/kernel/ptrace.o 42 52
./drivers/hid/hid-roccat-ryos.o 37 19
./drivers/staging/lustre/lustre/ptlrpc/service.o 46 140
./drivers/net/wireless/ath/ath9k/link.o 11 36
./kernel/tsacct.o 6 13
./drivers/media/rc/imon.o 26 62
./drivers/net/wireless/rtlwifi/rtl8192de/led.o 4 1
./drivers/char/hw_random/amd-rng.o 8 14
