Id;Label
7645;pata_pcmcia.mod.o
8923;ramnv04.o
9847;xt_TEE.mod.o
2846;regmap-i2c.o
4480;vmlfb.mod.o
11609;hwxfsleep.o
139;mei-me.mod.o
3022;compat.o
2425;bnx2i_iscsi.o
4761;genhd.o
1528;mach64_accel.o
7735;hid-saitek.mod.o
3078;built-in.o
4381;cypress_atacb.o
10749;rc-anysee.o
8949;file-item.o
9565;pata_it821x.mod.o
734;nls_euc-jp.o
523;cx24110.o
7572;qcserial.mod.o
10931;if_cs.o
3848;bfad.o
6477;hwa-rc.o
5475;mlx5_core.o
8047;llite_lib.o
12250;keyspan_remote.mod.o
4824;analog.mod.o
12346;cpuid.o
3259;qla4xxx.o
7779;acpiphp_glue.o
13128;nvc0.o
8258;array.o
11588;bebob_yamaha.o
4437;processor.mod.o
12952;xfs_buf_item.o
8104;dsmthdat.o
8826;proto.o
3879;multipath.o
11433;rc-cinergy-1400.o
10507;util.o
3966;smb2transport.o
3359;r819xU_cmdpkt.o
8906;dm-zero.mod.o
3096;icmp.o
9832;video.o
10016;mtdblock_ro.mod.o
5792;or51211.mod.o
6402;xattr.o
11679;symlink.o
12711;capflags.o
6509;snd-i2c.o
9334;br_stp_if.o
2610;snd-hda-codec-ca0110.mod.o
10337;c2_cq.o
12517;cmac.o
11879;gspca_main.o
2262;lock_dlm.o
11712;michael_mic.mod.o
9886;ebt_ip.o
11676;proc.o
6429;via-camera.mod.o
4835;bttv-gpio.o
10353;sch_multiq.mod.o
3847;emu10k1-gp.o
1813;dev.o
13225;snd-indigoio.mod.o
2808;ghash-generic.mod.o
4379;rc-avermedia-dvbt.o
3436;spcp8x5.mod.o
11019;nv10.o
4743;rc-powercolor-real-angel.mod.o
2227;mpt2sas.o
11103;lowlevel.o
7404;hid-holtek-kbd.o
7964;halbtc8192e2ant.o
12902;pcmcia.o
2736;sunrpc.mod.o
9004;threshold.o
7394;xfrm6_mode_transport.mod.o
4970;intel_acpi.o
2767;i2c-isch.o
1545;nf_nat_proto_sctp.o
2318;upd64031a.o
12125;sch_blackhole.o
3068;atmel_mxt_ts.o
11634;ib_ucm.mod.o
5228;pcm_memory.o
2800;serpent_avx_glue.o
11389;nfnetlink_acct.mod.o
8914;file.o
10792;associola.o
9480;f71805f.mod.o
6828;sch_gred.o
257;sec_plain.o
5531;speedstep-lib.o
2864;seq_midi_emul.o
1808;pata_pdc2027x.mod.o
11135;rc-total-media-in-hand.o
6265;dm.o
3388;algos.o
7100;smttimer.o
9986;built-in.o
3190;gl518sm.mod.o
5284;usbcore.o
4310;pci.o
3459;kv_dpm.o
6376;dm-bufio.o
7347;memmove_64.o
10426;cdc-acm.mod.o
8546;protocol.o
5802;wrapper.o
126;diva_dma.o
7017;smb2ops.o
3579;cdrom.o
5750;8250_core.o
