#numfiles_with_numlinks numlinks 
1 1068
1 298
1 421
1 142
1 169
1 313
4 206
5 99
1 730
1 331
36 53
14 75
1 146
1 369
6 122
16 65
513 6
2 244
95 29
146 22
77 32
3 115
3 165
3 167
3 86
9 76
2 761
1 289
1 527
1 648
1 230
1 223
1 435
1 188
283 14
76 33
10 90
1 170
1 941
7 95
38 49
1 462
11 82
2 260
8 98
1 237
1 227
1 619
1 218
3 153
1 578
2 203
16 80
2 155
79 36
26 56
7 106
1 707
2 360
14 81
1 311
13 89
91 31
1 243
140 23
1 1724
1 477
1 3780
1 290
1 2150
3 113
3 172
3 123
12 87
3 390
1 965
1 250
50 48
2 261
1 317
84 30
320 12
1 211
8 116
4 154
1 603
1 175
1 263
1 504
1 580
2 121
3 192
2 918
1 1976
1 112
1 1009
6 105
2 257
1 3503
1 220
7 102
46 42
2 173
449 8
163 20
1 480
1 217
1 350
4 104
201 19
2 184
4 134
6 108
2 210
1 820
1 1767
3 200
2 180
6 92
5 88
1 759
391 1
1 193
19 58
1 302
2 197
1 5141
1 228
23 62
3 183
2 159
18 64
29 54
3 185
4 198
78 28
2 182
1 204
2 138
1 973
1 1392
4 178
1 157
3 117
3 150
2 415
2 137
4 139
2 507
1 2528
1 324
22 60
9 100
29 52
1 470
4 132
4 109
1 400
21 61
1 187
213 18
7 73
32 50
7 94
457 5
32 55
1 148
421 3
4 162
3 141
35 47
3 408
1 396
47 41
3 133
1 463
10 83
11 91
1 283
1 323
2 119
1 394
2 196
1 7220
1 239
1 246
1 528
9 71
16 70
61 34
27 67
1 447
12 79
1 620
366 9
2 226
202 17
1 673
1 621
2 195
3 194
1 370
1 222
1 652
3 213
1 1032
1 269
1 190
3 144
1 387
2 221
341 11
1 368
1 2608
2 166
1 320
1 544
10 103
1 135
1 416
1 219
3 145
1 232
2 120
1 254
217 16
6 96
2 189
20 63
1 325
43 43
5 128
101 26
3176 0
154 21
1 541
21 57
13 69
1 125
1 686
1 2066
252 15
1 272
114 27
111 25
2 107
1 627
1 181
1 234
1 28531
3 191
264 13
2 118
4 131
1 329
18 84
56 40
18 59
4 207
4 186
5 85
1 374
1 259
1 208
2 867
1 256
1 349
2 656
1 818
522 4
12 74
1 812
2 149
1 334
1 1037
10 77
3 143
16 66
12 72
1 161
45 37
1 545
6 140
1 151
54 38
5 136
4 127
1 129
3 201
2 147
41 39
5 124
1 291
3 126
17 78
2 258
2 399
3 174
1 229
2 432
2 871
2 156
1 576
2 179
370 2
2 356
1 267
1 1073
37 46
1 473
113 24
1 354
484 7
1 327
7 114
1 248
1 574
37 45
1 336
45 44
1 345
1 826
1 240
3 111
1 342
40 51
2 93
1 1511
1 262
11 68
2 332
3 236
3 168
1 385
1 224
1 506
6 130
1 1221
1 373
2 164
1 314
1 1327
10 97
1 384
374 10
69 35
1 1589
6 101
4 110
