#numfiles_with_numlinks numlinks
13 104
223 19
1 460
195 20
1 292
1 220
1 1124
73 42
11 102
4 171
6 173
285 8
15 112
14 105
174 1
1 193
41 58
3 180
9 92
21 88
12 108
3 184
3 134
40 60
2 137
2 340
6 139
48 52
19 100
3 132
2 157
12 117
2 163
1 415
5 150
58 54
4 185
2 204
3 138
2 198
2 182
156 28
49 62
1 197
36 64
6 159
2 158
64 47
1 205
18 83
1 992
75 41
7 133
3 162
1 276
2 148
151 3
4 141
1 318
17 94
43 55
266 5
1 549
9 109
1 322
2 225
2 282
25 73
50 50
1 278
42 61
237 18
10 146
6 122
50 65
34 75
102 32
1 1354
2 115
1 244
130 29
276 6
158 22
57 53
3 206
1 169
1 313
10 99
7 142
85 49
2 170
21 95
22 82
1 251
107 33
1 188
216 14
20 90
1 527
1 230
2 167
4 165
27 86
26 76
201 23
19 89
113 31
5 113
2 172
1 300
1 364
25 81
1 235
2 153
4 218
101 36
15 106
53 56
18 80
3 155
6 98
1 237
1 227
7 121
1 192
14 116
1 212
2 154
134 30
1 261
3 152
241 12
1 250
23 87
10 123
64 48
30 77
3 143
102 37
2 161
38 66
30 72
32 74
283 4
1 334
1 149
1 316
1 186
16 85
1 259
124 40
1 329
21 84
52 59
1 207
1 513
2996 2
2 372
69 46
1 352
2 156
1 229
7 126
22 78
4 127
3 136
6 129
1 201
7 140
2 151
94 38
5 124
87 39
3 147
7 111
49 51
22 93
1 214
69 45
1 176
69 44
2 240
1 248
7 114
1 231
173 24
1 327
1 288
1 354
271 7
263 10
16 97
13 110
107 35
7 101
1 164
2 177
1 216
1 314
6 130
2 343
42 68
2 332
1 168
100 34
32 71
26 70
1 831
34 79
40 67
1 239
1 215
15 91
8 119
1 522
1 595
2 166
1 1040
5 144
1 264
252 11
1 222
1 213
1 195
1 377
3 226
294 9
1 351
203 17
2 194
1 265
4 128
47 57
39 69
10 125
167 26
199 21
463 0
1 189
45 63
71 43
1 232
5 160
1 285
10 120
1 428
10 96
1 254
220 16
15 103
5 135
1 379
3 219
5 145
1 538
1 416
1 344
6 131
10 118
2 191
217 13
1 234
2 181
178 25
1 273
10 107
128 27
1 233
227 15
