#filename inlinks outlinks
./sound/hda/snd-hda-core.o 169 90
./drivers/scsi/hosts.o 17 59
./drivers/input/keyboard/built-in.o 45 46
./drivers/scsi/bnx2i/bnx2i_sysfs.o 4 4
./drivers/gpu/drm/nouveau/nvkm/subdev/mxm/nv50.o 5 13
./drivers/media/dvb-frontends/cx24123.mod.o 0 0
./net/bridge/br_netlink.o 24 64
./drivers/net/wireless/ath/ath5k/sysfs.o 17 13
./drivers/acpi/acpica/utcopy.o 10 12
./fs/minix/dir.o 11 21
./net/sctp/inqueue.o 6 6
./drivers/media/i2c/bt856.o 11 10
./net/atm/ioctl.o 6 22
./drivers/usb/serial/kl5kusb105.o 14 22
./drivers/video/fbdev/via/viafb.mod.o 0 2
./drivers/atm/iphase.mod.o 0 2
./sound/firewire/fireworks/fireworks_proc.o 6 14
./drivers/isdn/hardware/eicon/idifunc.o 35 13
./drivers/net/fddi/skfp/skfp.mod.o 0 2
./drivers/net/wireless/realtek/rtlwifi/rtl8192cu/hw.o 25 56
./drivers/media/dvb-frontends/drxd.o 30 14
./drivers/i2c/busses/i2c-sis630.mod.o 0 2
./drivers/video/fbdev/core/fbsysfs.o 31 25
./drivers/net/wireless/ath/ath9k/htc_hst.o 14 18
./crypto/tea.o 12 4
./drivers/media/rc/keymaps/rc-pinnacle-color.mod.o 0 2
./drivers/gpu/drm/nouveau/nvkm/engine/disp/oimmnv50.o 1 4
./fs/adfs/dir_f.o 9 11
./drivers/gpu/drm/nouveau/nvkm/subdev/timer/nv41.o 2 10
./drivers/media/usb/pwc/pwc.o 59 79
./drivers/scsi/esas2r/esas2r_main.o 52 75
./fs/cachefiles/bind.o 3 23
./drivers/net/ethernet/intel/i40e/i40e_ptp.o 15 23
./fs/sysv/balloc.o 3 10
./arch/x86/mm/physaddr.o 1 4
./drivers/media/pci/ivtv/ivtv-alsa-main.o 7 18
./drivers/misc/tsl2550.o 14 18
./drivers/isdn/gigaset/isocdata.o 7 20
./drivers/media/usb/dvb-usb/dvb-usb-digitv.o 14 19
./mm/msync.o 2 11
./drivers/media/pci/saa7134/saa7134-dvb.o 29 28
./drivers/gpu/drm/nouveau/nvkm/engine/disp/basegp102.o 0 3
./drivers/scsi/fnic/fnic_isr.o 10 20
./fs/fs_struct.o 8 11
./fs/qnx6/qnx6.mod.o 0 2
./drivers/staging/comedi/drivers/ni_pcimio.o 82 64
./arch/x86/kernel/apic/apic.o 111 78
./net/decnet/dn_nsp_in.o 4 29
./drivers/net/wan/lmc/lmc.mod.o 0 2
./virt/kvm/irqchip.o 7 17
./arch/x86/lib/delay.o 10 5
./drivers/media/platform/marvell-ccic/cafe-driver.o 16 41
./crypto/aes_generic.o 7 3
./net/vmw_vsock/vsock.mod.o 0 0
./kernel/trace/trace_events_trigger.o 55 36
./drivers/net/ethernet/mellanox/mlx5/core/main.o 29 105
./sound/synth/snd-util-mem.mod.o 0 2
./drivers/mfd/lpc_ich.o 8 16
./fs/proc/task_mmu.o 41 71
./drivers/isdn/mISDN/timerdev.o 8 30
./mm/filemap.o 65 109
./drivers/net/ethernet/natsemi/ns83820.o 26 55
./net/llc/llc_station.o 3 9
./sound/firewire/dice/dice-hwdep.o 6 13
./drivers/media/dvb-frontends/drxk_hard.o 51 23
./sound/pci/echoaudio/snd-layla24.mod.o 0 2
./fs/aio.o 46 96
./drivers/net/ethernet/chelsio/cxgb4vf/cxgb4vf_main.o 64 99
./drivers/isdn/hardware/eicon/os_4bri.o 10 39
./drivers/hid/hid-zydacron.mod.o 0 2
./drivers/block/aoe/aoeblk.o 17 44
./drivers/edac/e752x_edac.o 19 29
./drivers/media/pci/cx18/cx18-alsa-main.o 7 17
./drivers/platform/x86/ideapad-laptop.o 27 49
./fs/configfs/dir.o 45 51
./drivers/acpi/ec.o 53 63
./drivers/acpi/acpi_cmos_rtc.o 4 10
./fs/xfs/libxfs/xfs_dir2_node.o 23 56
./drivers/gpu/drm/drm_modes.o 26 16
./drivers/crypto/ccp/ccp.mod.o 0 2
./sound/core/jack.o 10 19
./drivers/net/wireless/broadcom/b43/leds.o 12 16
./net/wireless/lib80211_crypt_ccmp.mod.o 0 2
./net/ipv6/xfrm6_mode_transport.mod.o 0 2
./fs/ceph/ceph.mod.o 0 2
./drivers/gpu/drm/nouveau/nvkm/engine/fifo/dmag84.o 1 5
./drivers/crypto/ccp/ccp-crypto-main.o 9 18
./net/nfc/llcp_commands.o 21 27
./drivers/input/joystick/adi.o 12 24
./drivers/net/phy/broadcom.mod.o 0 2
./drivers/staging/comedi/comedi_usb.mod.o 0 2
./drivers/bluetooth/btmrvl_main.o 22 40
./net/bluetooth/mgmt_util.o 10 18
./drivers/gpu/drm/vmwgfx/vmwgfx_binding.o 22 15
./drivers/media/usb/dvb-usb/dvb-usb-dibusb-common.o 11 14
./drivers/bluetooth/btintel.mod.o 0 0
./fs/ceph/caps.o 68 90
./drivers/scsi/csiostor/csio_isr.o 11 22
./fs/fat/inode.o 41 93
./net/dccp/sysctl.o 2 15
./fs/afs/callback.o 9 24
./drivers/media/rc/keymaps/rc-winfast.mod.o 0 2
./sound/soc/codecs/max98090.o 34 64
./drivers/media/tuners/xc4000.mod.o 0 0
./drivers/hwmon/ltc4261.mod.o 0 2
./drivers/input/touchscreen/tsc40.o 7 17
