#numfiles_with_numlinks numlinks 
7 60
18 43
12 52
1 196
6 81
1 163
1 210
1 256
1 2222
17 39
1 643
5 107
2 86
1 230
1 1006
1 413
2 362
1 172
1 298
1 103
4 108
2 115
2 132
115 12
1 94
1 188
7 66
1 183
2 197
1 388
12 48
1 404
1 313
3 246
1 353
21 36
1 324
3 105
3 161
1 803
1 582
2 174
1 185
1 874
1 607
1 118
1 153
1 816
1 139
4 84
2 155
1 194
3 131
1 360
2 135
16 40
1 169
164 6
149 8
3 173
14 45
111 9
6 85
2 328
1 146
1 881
2 218
77 17
2 195
1 200
2 361
1 598
1 241
2 190
2 226
1 2867
1 458
1 259
4 77
3 141
23 31
1 849
2 95
24 33
42 27
1 570
3 0
1 198
1 244
3 477
13 47
1 177
3 89
10 38
3 93
48 23
1 182
1 166
1 464
31 34
2 72
1 719
1 534
3 113
11 42
2 143
18 37
2 122
1 381
7 80
2 204
1 206
32 29
51 22
65 19
1 392
3 92
1 2309
1 179
15 54
4 96
68 16
1 472
9 61
1 1262
1 247
12 55
2 366
1 1801
6 68
3 410
1 331
2 121
1 125
10 59
4 71
14 49
30 30
5 75
1 171
3 73
38 26
3 82
1 243
1 450
1 423
1 199
1 261
1 1301
7 3
1 375
14 1
1 412
1 473
1 2434
3 191
2 262
1 368
13 41
1 223
2 217
2 148
4 62
2 258
4 58
1 440
5 83
1 164
113 11
12 53
1 564
3 97
1 422
9 57
1 255
1 431
1 150
2 165
5 50
2 101
1 263
88 5
1 329
19 35
4 128
25 28
10 65
1 124
5 70
1 1484
1 137
1 714
1 117
1 220
1 394
1 187
1 495
2 154
2 106
2 167
1 127
8 67
1 606
1 502
1 737
1 242
1 238
75 15
12 46
42 24
1 276
3 119
2 98
4 69
32 25
1 383
3 102
1 219
2 193
20 32
1 501
46 21
140 7
5 91
2 136
1 168
1 203
1 573
1 130
1 268
1 790
4 110
3 88
9 63
1 1387
92 14
111 10
4 160
15 44
1 484
6 64
1 159
5 78
3 181
6 87
2 211
1 290
14 51
76 18
4 99
1 302
4 201
3 152
7 74
1 455
1 215
5 76
3 129
129 4
2 178
4 140
1 186
3 100
2 123
1 239
2 114
1 496
1 1010
1 320
3 250
3 170
1 799
70 13
1 264
10 2
1 267
1 627
13 56
1 209
50 20
1 252
1 571
1 347
1 406
2 104
4 79
1 192
2 112
1 304
