#numfiles_with_numlinks numlinks
20 47
1 367
1 339
1 244
1 477
1 198
8 0
1 160
14 64
22 44
14 78
1 177
3 159
7 87
1 181
43 23
7 93
24 38
6 89
1 290
1 182
3 110
28 31
1 268
2 221
13 63
19 33
7 95
6 88
65 14
2 286
44 27
60 10
1 136
3 145
1 214
2 168
1 203
1 390
1 190
14 77
1 141
4 130
3 102
55 25
10 69
63 17
1 193
37 32
56 7
8 91
40 21
75 20
15 75
10 56
1 175
33 30
1 232
45 26
5 171
9 73
1 323
10 104
6 82
5 112
2 192
7 79
7 116
5 114
17 55
1 180
1 247
9 68
1 170
3 125
4 121
119 2
14 59
50 13
14 49
13 71
58 4
1 206
1 156
4 129
1 186
2 157
54 22
57 19
2 140
50 29
6 96
9 54
6 100
4 123
7 92
4 120
1 718
1 151
1 344
68 16
21 61
1 302
5 99
8 72
31 34
19 51
71 18
31 42
8 113
2 201
3 122
7 74
4 142
36 37
2 143
1 204
8 80
12 76
8 97
2 240
1 197
2 183
25 48
14 57
1 133
21 50
2 165
2 103
18 62
1 148
2 217
16 58
8 83
2 258
4 108
1 364
5 94
1 454
59 12
4 115
5 132
52 11
1 164
20 66
22 53
28 39
1 147
2 230
3 86
1 107
1 337
11 90
20 41
1 199
4 111
15 60
21 43
3 196
1 299
16 52
84 3
8 81
4 1
1 158
1 234
1 251
65 15
28 40
1 426
1 242
2 144
1 229
1 444
51 24
77 8
3 173
14 46
51 6
7 85
1 146
2 98
22 45
4 119
72 9
1 212
1 194
3 127
2 131
1 167
3 106
3 135
11 67
1 285
1 424
4 117
6 137
1 153
1 189
2 138
10 84
3 139
1 187
22 36
1 246
5 101
52 5
5 128
2 161
31 35
3 105
10 65
5 134
46 28
4 118
4 109
13 70
2 124
