Source;Target;Label;Weight
1402;2793;ad_dpot_probe;1
1402;2793;ad_dpot_remove;1
1230;2873;rfkill_register;1
1230;2873;rfkill_unregister;1
1230;2873;rfkill_alloc;1
1230;2873;rfkill_blocked;1
1230;2873;rfkill_destroy;1
1939;2109;lib80211_unregister_crypto_ops;1
1939;2109;lib80211_register_crypto_ops;1
1459;2726;cryptd_alloc_ahash;1
1459;2726;cryptd_shash_desc;1
1459;2726;cryptd_free_ahash;1
1459;2726;cryptd_ahash_queued;1
1459;2726;cryptd_ahash_child;1
1327;2664;snd_midi_channel_set_clear;1
1327;1763;snd_info_free_entry;1
1327;718;snd_seq_create_kernel_client;1
1327;1763;snd_card_register;1
1327;1763;snd_device_free;1
1327;521;snd_virmidi_new;1
1327;1763;snd_info_create_card_entry;1
1327;2398;snd_hwdep_new;1
1327;1763;snd_device_register;1
1327;718;snd_seq_delete_kernel_client;1
1327;1763;snd_info_register;1
1327;2664;snd_midi_process_event;1
1327;1369;snd_util_mem_avail;1
1327;718;snd_seq_event_port_attach;1
1377;714;__devm_regmap_init_i2c;1
1377;2725;i2c_register_driver;1
1377;2725;i2c_del_driver;1
3007;1658;mISDN_initbchannel;1
3007;1658;mISDN_unregister_device;1
3007;1658;mISDN_freebchannel;1
3007;1658;get_next_bframe;1
3007;1658;recv_Dchannel;1
3007;1658;bchannel_senddata;1
3007;1658;dchannel_senddata;1
3007;1658;l1_event;1
3007;1658;queue_ch_frame;1
3007;1658;mISDN_register_device;1
3007;1658;recv_Bchannel;1
3007;1658;mISDN_initdchannel;1
3007;1658;mISDN_freedchannel;1
3007;1658;mISDN_ctrl_bchannel;1
3007;1658;mISDN_clear_bchannel;1
3007;1658;get_next_dframe;1
3007;1658;create_l1;1
3007;1658;bchannel_get_rxbuf;1
1878;1531;sort;1
1878;129;crc32c;1
479;1215;scsi_is_host_device;1
479;1215;scsi_mode_sense;1
479;1215;scsi_get_vpd_page;1
479;1215;scsi_scan_target;1
479;1215;scsi_remove_target;1
2827;421;irda_register_dongle;1
2827;228;irda_qos_bits_to_value;1
2827;421;sirdev_set_dtr_rts;1
2827;421;irda_unregister_dongle;1
2341;2661;phy_drivers_unregister;1
2341;2661;genphy_resume;1
2341;2661;genphy_suspend;1
2341;2661;genphy_config_aneg;1
2341;2661;genphy_read_status;1
2341;2661;mdiobus_write;1
2341;2661;phy_drivers_register;1
2341;2661;mdiobus_read;1
1279;2534;rc_map_register;1
1279;2534;rc_map_unregister;1
2327;2517;roccat_disconnect;1
2327;2517;roccat_connect;1
2327;468;hid_connect;1
2327;2517;roccat_report_event;1
2327;468;hid_unregister_driver;1
2327;468;hid_disconnect;1
2327;468;hid_open_report;1
2327;468;__hid_register_driver;1
2327;2909;usb_control_msg;1
2056;2534;rc_map_unregister;1
2056;2534;rc_map_register;1
999;340;ni_gpct_device_construct;1
999;1024;ni_tio_acknowledge;1
999;1024;ni_tio_handle_interrupt;1
999;611;mite_detach;1
999;611;mite_release_channel;1
999;611;mite_buf_change;1
999;611;mite_sync_dma;1
999;1909;comedi_pci_driver_unregister;1
999;611;mite_free_ring;1
