#filename inlinks outlinks
./drivers/misc/ad525x_dpot-spi.ko 15 7
./net/nfc/nfc.ko 185 123
./fs/nls/nls_cp860.ko 6 3
./drivers/staging/rtl8192e/rtllib_crypt_ccmp.ko 12 18
./arch/x86/crypto/ghash-clmulni-intel.ko 20 22
./sound/synth/emux/snd-emux-synth.ko 105 39
./drivers/media/dvb-frontends/tda10071.ko 24 23
./drivers/block/aoe/aoe.ko 81 131
./drivers/isdn/hardware/mISDN/hfcpci.ko 29 62
./fs/xfs/xfs.ko 2222 364
./drivers/scsi/scsi_transport_sas.ko 105 45
./drivers/net/irda/actisys-sir.ko 8 7
./drivers/net/phy/icplus.ko 11 11
./drivers/media/rc/keymaps/rc-winfast-usbii-deluxe.ko 4 2
./drivers/hid/hid-roccat-kone.ko 22 25
./drivers/media/rc/keymaps/rc-cinergy-1400.ko 4 2
./drivers/staging/comedi/drivers/ni_660x.ko 18 40
./sound/soc/codecs/snd-soc-rl6231.ko 4 4
./drivers/net/usb/ax88179_178a.ko 43 47
./net/ipv6/netfilter/ip6t_SYNPROXY.ko 11 31
./drivers/media/dvb-frontends/isl6423.ko 5 7
./drivers/media/usb/tm6000/tm6000-alsa.ko 17 32
./net/netrom/netrom.ko 99 109
./net/ipv4/netfilter/nf_nat_proto_gre.ko 7 8
./drivers/scsi/eata.ko 19 47
./drivers/media/dvb-frontends/tc90522.ko 18 17
./drivers/char/ipmi/ipmi_msghandler.ko 77 61
./drivers/usb/host/uhci-hcd.ko 61 76
./drivers/leds/trigger/ledtrig-camera.ko 6 4
./drivers/media/dvb-frontends/af9013.ko 23 22
./drivers/staging/lustre/lustre/lmv/lmv.ko 75 84
./drivers/net/ethernet/intel/ixgbe/ixgbe.ko 598 229
./drivers/media/i2c/cs53l32a.ko 9 15
./drivers/char/lp.ko 20 44
./drivers/hwmon/tmp401.ko 15 18
./drivers/atm/firestream.ko 17 34
./drivers/hid/hid-xinmo.ko 5 4
./drivers/media/rc/keymaps/rc-tivo.ko 4 2
./drivers/hid/hid-magicmouse.ko 10 22
./net/sched/sch_plug.ko 10 8
./drivers/media/usb/dvb-usb-v2/mxl111sf-demod.ko 13 7
./drivers/scsi/lpfc/lpfc.ko 1010 181
./net/bluetooth/cmtp/cmtp.ko 31 92
./drivers/media/usb/gspca/gspca_zc3xx.ko 33 27
./drivers/media/pci/meye/meye.ko 46 69
./drivers/memstick/host/rtsx_pci_ms.ko 13 33
./drivers/misc/eeprom/max6875.ko 7 20
./drivers/scsi/qla2xxx/tcm_qla2xxx.ko 81 77
./drivers/hwmon/abituguru.ko 33 33
./drivers/media/usb/dvb-usb/dvb-usb-vp702x.ko 30 20
./net/l2tp/l2tp_ppp.ko 31 74
./drivers/staging/speakup/speakup_apollo.ko 5 25
./net/netfilter/ipvs/ip_vs.ko 267 180
./drivers/input/touchscreen/gunze.ko 7 19
./drivers/video/fbdev/arkfb.ko 24 63
./lib/crc-itu-t.ko 1 0
./drivers/bluetooth/bluecard_cs.ko 16 37
./drivers/md/dm-switch.ko 13 20
./drivers/media/rc/keymaps/rc-avertv-303.ko 4 2
./drivers/usb/serial/ipw.ko 9 17
./drivers/media/tuners/tda18271.ko 41 14
./drivers/input/touchscreen/tsc40.ko 7 16
./drivers/scsi/aic94xx/aic94xx.ko 101 91
./drivers/media/tuners/tda9887.ko 8 10
./crypto/echainiv.ko 8 10
./drivers/media/tuners/fc0011.ko 11 12
./drivers/staging/speakup/speakup_decext.ko 6 26
./drivers/media/usb/tm6000/tm6000-dvb.ko 9 38
./sound/pci/oxygen/snd-oxygen-lib.ko 93 64
./drivers/hid/hid-roccat.ko 12 26
./drivers/net/ethernet/sis/sis900.ko 40 73
./sound/soundcore.ko 18 20
./drivers/net/team/team.ko 108 104
./drivers/net/xen-netfront.ko 37 112
./drivers/net/wireless/intersil/orinoco/spectrum_cs.ko 13 25
./drivers/media/dvb-core/dvb-core.ko 177 104
./drivers/uwb/uwb.ko 204 105
./drivers/usb/serial/qcaux.ko 4 2
./fs/jffs2/jffs2.ko 241 171
./drivers/char/tpm/tpm_infineon.ko 12 19
./drivers/md/raid456.ko 146 171
./net/ipv4/netfilter/iptable_raw.ko 8 10
./drivers/tty/nozomi.ko 35 61
./drivers/hid/hid.ko 100 93
./drivers/uio/uio_aec.ko 7 20
./drivers/gpu/drm/nouveau/nouveau.ko 2867 477
./drivers/usb/host/u132-hcd.ko 47 59
./drivers/md/persistent-data/dm-persistent-data.ko 215 31
./drivers/media/rc/iguanair.ko 17 31
./drivers/input/keyboard/adp5588-keys.ko 15 34
./drivers/staging/comedi/drivers/amplc_pci230.ko 30 31
./drivers/parport/parport_cs.ko 8 15
./drivers/net/usb/pegasus.ko 38 64
./drivers/input/serio/parkbd.ko 8 19
./drivers/block/skd.ko 51 90
./drivers/atm/iphase.ko 28 59
./net/bridge/netfilter/ebt_stp.ko 6 6
./drivers/xen/xen-pciback/xen-pciback.ko 99 104
