#filename inlinks outlinks
./drivers/media/rc/keymaps/rc-pinnacle-grey.mod.o 5 2
./drivers/usb/misc/sisusbvga/sisusb_init.o 16 7
./drivers/input/tablet/kbtab.o 21 24
./net/802/hippi.o 29 5
./arch/x86/kvm/kvm-intel.mod.o 5 2
./drivers/char/agp/built-in.o 627 105
./drivers/net/ethernet/dec/tulip/interrupt.o 9 21
./fs/afs/netdevices.o 2 5
./net/netfilter/xt_TRACE.mod.o 5 2
./net/ipv4/netfilter/nf_nat_proto_gre.o 16 6
./fs/hugetlbfs/built-in.o 41 85
./arch/x86/boot/compressed/misc.o 90 4
./scripts/kconfig/lxdialog/checklist.o 7 42
./drivers/usb/host/pci-quirks.o 48 20
./drivers/usb/serial/digi_acceleport.o 58 43
./drivers/acpi/ac.mod.o 6 2
./arch/x86/boot/cpucheck.o 7 0
./drivers/input/keyboard/stowaway.o 14 16
./drivers/block/paride/on20.mod.o 5 2
./net/netfilter/xt_recent.mod.o 5 2
./drivers/watchdog/mixcomwd.o 28 21
./drivers/media/video/cx23885/cx23885-i2c.o 27 12
./arch/x86/boot/compressed/piggy.o 6 0
./drivers/net/ethernet/micrel/ks8842.mod.o 5 2
./sound/pci/vx222/vx222_ops.o 33 10
./sound/pci/snd-ens1371.mod.o 8 2
./drivers/video/aty/radeonfb.o 155 83
./drivers/gpu/drm/nouveau/nv30_fb.o 5 2
./drivers/ide/ide-pnp.o 11 11
./drivers/net/ethernet/intel/ixgbe/ixgbe_phy.o 28 4
./drivers/leds/led-core.o 10 0
./sound/pci/hda/snd-hda-codec-ca0132.mod.o 5 2
./drivers/usb/host/whci/whci-hcd.o 100 86
./drivers/net/wireless/ath/ath9k/ani.o 30 3
./drivers/media/video/gspca/mr97310a.o 55 11
./fs/dlm/memory.o 10 6
./drivers/mtd/maps/sc520cdp.mod.o 5 2
./fs/ocfs2/stack_user.o 38 25
./net/sunrpc/auth_unix.o 15 15
./net/core/filter.o 34 14
./drivers/media/video/cx25840/cx25840.o 123 51
./drivers/net/wireless/wl1251/sdio.o 27 31
./security/keys/keyctl.o 30 61
./drivers/scsi/fdomain.o 48 35
./drivers/media/video/gspca/gspca_t613.o 71 18
./drivers/isdn/mISDN/mISDN_dsp.mod.o 5 2
./drivers/md/raid456.o 106 107
./drivers/ide/ide-ioctls.o 12 24
./drivers/media/rc/keymaps/rc-flydvb.o 8 2
./sound/isa/sb/sb8_main.o 44 24
./net/ipv4/netfilter/arp_tables.mod.o 5 2
./sound/pci/lx6464es/lx_core.o 46 10
./fs/dlm/lockspace.o 55 77
./drivers/hwmon/adm1026.o 262 26
./drivers/scsi/bfa/bfad_bsg.o 109 125
./drivers/scsi/hosts.o 72 51
./drivers/uwb/i1480/dfu/i1480-dfu-usb.o 42 29
./drivers/net/irda/nsc-ircc.o 78 59
./drivers/media/video/cx25840/cx25840.mod.o 6 2
./drivers/power/ds2760_battery.mod.o 5 2
./drivers/cpufreq/cpufreq-nforce2.o 28 12
./net/ipv4/netfilter/nf_nat_irc.o 13 10
./drivers/media/dvb/mantis/mantis_dvb.o 35 22
./drivers/char/agp/amd64-agp.o 30 52
./arch/x86/boot/memory.o 2 3
./sound/isa/ad1848/snd-ad1848.o 55 21
./drivers/usb/wusbcore/wusb-cbaf.mod.o 6 2
./lib/zlib_deflate/deftree.o 25 0
./drivers/rtc/rtc-pcf8583.o 17 16
./drivers/video/matrox/matroxfb_g450.o 28 9
