#obj_file src_file links_in links_out loc_changes
./commands/nohup/nohup.o commands/nohup/nohup.c 1 13 141
./commands/mdocml/arch.o commands/mdocml/arch.c 1 1 38
./commands/cawf/expand.o commands/cawf/expand.c 1 25 308
./drivers/printer/liveupdate.o drivers/printer/liveupdate.c 3 4 77
./commands/asmconv/asm86.o commands/asmconv/asm86.c 5 5 85
./commands/crontab/crontab.o commands/crontab/crontab.c 2 30 258
./commands/fetch/fetch.o commands/fetch/fetch.c 32 79 1143
./commands/mdocml/mdoc_term.o commands/mdocml/mdoc_term.c 1 30 2109
./servers/hgfs/util.o servers/hgfs/util.c 3 3 63
./commands/diff/diffdir.o commands/diff/diffdir.c 1 38 438
./commands/advent/travel.o commands/advent/travel.c 3 25 336
./commands/sed/misc.o commands/sed/misc.c 4 13 170
./drivers/floppy/floppy.o drivers/floppy/floppy.c 5 43 2460
./drivers/tty/console.o drivers/tty/console.c 11 21 2122
./commands/cawf/cawf.o commands/cawf/cawf.c 2 66 488
./commands/readall/readall.o commands/readall/readall.c 10 13 194
./kernel/utility.o kernel/utility.c 8 14 717
./commands/lp/lp.o commands/lp/lp.c 8 13 91
./commands/login/login.o commands/login/login.c 18 47 517
./commands/elvis/tmp.o commands/elvis/tmp.c 6 51 762
./commands/ash/mkinit.o commands/ash/mkinit.c 12 18 832
./commands/sort/sort.o commands/sort/sort.c 57 19 1191
./servers/inet/version.o servers/inet/version.c 1 0 15
./commands/cmp/cmp.o commands/cmp/cmp.c 4 9 129
./commands/dhcpd/ether.o commands/dhcpd/ether.c 7 6 244
./commands/mined/mined2.o commands/mined/mined2.c 68 58 1800
./commands/hexdump/conv.o commands/hexdump/conv.c 2 4 134
./commands/grep/util.o commands/grep/util.c 8 60 596
./commands/loadkeys/loadkeys.o commands/loadkeys/loadkeys.c 6 10 91
./servers/hgfs/link.o servers/hgfs/link.c 5 26 403
./commands/telnetd/telnet.o commands/telnetd/telnet.c 5 6 343
./commands/pax/buf_subs.o commands/pax/buf_subs.c 24 24 993
./commands/mdocml/man_action.o commands/mdocml/man_action.c 2 8 280
./servers/pm/schedule.o servers/pm/schedule.c 3 7 375
./commands/pkg_install/create/perform.o commands/pkg_install/create/perform.c 1 39 253
./commands/telnetd/term.o commands/telnetd/term.c 3 16 86
./commands/cawf/bsfilt.o commands/cawf/bsfilt.c 8 11 211
./commands/autil/anm.o commands/autil/anm.c 20 24 1032
./commands/remsync/remsync.o commands/remsync/remsync.c 55 40 1551
./servers/pfs/open.o servers/pfs/open.c 1 7 108
./commands/advent/turn.o commands/advent/turn.c 10 56 729
./commands/mail/mail.o commands/mail/mail.c 34 58 776
./commands/mt/mt.o commands/mt/mt.c 5 14 216
./commands/elle/eeterm.o commands/elle/eeterm.c 25 34 2568
./commands/pkg_install/lib/file.o commands/pkg_install/lib/file.c 12 23 394
./servers/vm/signal.o servers/vm/signal.c 1 6 67
./commands/elvis/system.o commands/elvis/system.c 5 35 423
./commands/advent/itverb.o commands/advent/itverb.c 19 54 597
./commands/make/targ.o commands/make/targ.c 17 31 848
./commands/elvis/ref.o commands/elvis/ref.c 11 20 527
./drivers/at_wini/at_wini.o drivers/at_wini/at_wini.c 2 62 5900
./drivers/memory/imgrd.o drivers/memory/imgrd.c 2 0 14
./commands/elle/eemain.o commands/elle/eemain.c 17 69 1030
./commands/elvis/move1.o commands/elvis/move1.c 10 18 585
./commands/touch/touch.o commands/touch/touch.c 6 22 827
./commands/swifi/db_disasm.o commands/swifi/db_disasm.c 1 4 1380
./servers/inet/buf.o servers/inet/buf.c 16 8 1345
./commands/pkg_install/lib/version.o commands/pkg_install/lib/version.c 1 2 53
./commands/pkg_install/info/show.o commands/pkg_install/info/show.c 9 19 865
