Source;Target;Label;Weight
1;385;_dup2;1
1;485;_snprintf;1
1;140;_perror;1
1;1195;_isatty;1
1;1241;.csb4;1
1;1654;_execvp;1
1;1913;_errno;1
1;2111;_close;1
1;1484;_printf;1
1;1371;_sigaction;1
1;1372;_sigemptyset;1
1;857;_getenv;1
1;502;_open;1
0;971;.cff4;1
0;1094;_ldexp;1
0;1348;.cff8;1
0;1367;__fp_hook;1
2;271;_strcmp;1
4;698;_Nleftstack;1
4;698;_Sp;1
4;730;_Newstr;1
4;698;_Macrotab;1
4;949;_strchr;1
4;730;_Free;1
4;1228;_NR;1
4;698;_Pat;1
4;730;_Findmacro;1
4;698;_Macrotxt;1
4;698;_Mxstack;1
4;2023;_Error;1
4;1785;_strncmp;1
4;1241;.csb4;1
4;698;_Argstack;1
4;855;_strcpy;1
4;489;_strncpy;1
4;1436;_Pass2;1
4;1759;_regexec;1
4;698;_Condstack;1
4;1526;_strlen;1
4;1936;_sprintf;1
4;698;_Args;1
4;698;_Inname;1
4;698;_Ptrstack;1
3;1834;__kill;1
5;1617;.compact;1
5;327;.mul_ext;1
5;619;.extend;1
7;517;___flushbuf;1
6;1365;_ex64hi;1
6;2051;___libhgfs_time_get;1
6;2051;___libhgfs_time_put;1
6;97;___libhgfs_rpc_query;1
6;161;___libhgfs_path_put;1
6;353;.blm;1
6;97;___libhgfs_rpc_ptr;1
6;1862;_make64;1
6;97;___libhgfs_rpc_buf;1
6;1365;_ex64lo;1
8;1878;_archive_entry_hardlink;1
8;1878;_archive_entry_mode;1
8;1878;_archive_entry_filetype;1
8;855;_strcpy;1
8;1878;_archive_entry_acl_count;1
8;1241;.csb4;1
10;1360;_writing;1
10;29;.csa4;1
10;1744;_is_status_msg_expected;1
10;1484;_printf;1
9;967;__syscall;1
11;1761;_deallocate;1
11;1229;___bad_assertion;1
11;271;_strcmp;1
11;1887;_allocate;1
11;1733;_get_file;1
12;1205;__read;1
14;1616;___stderr;1
14;27;_getuid;1
14;1591;_write;1
14;1939;_getpwnam;1
14;445;_fgetc;1
14;1556;_time;1
14;12;_read;1
14;1535;_tab_purge;1
14;1913;_errno;1
14;22;_fopen;1
14;2111;_close;1
14;1147;_access;1
14;1484;_printf;1
14;1830;_strerror;1
14;422;_strrchr;1
14;1939;_getpwuid;1
14;2019;_exit;1
14;502;_open;1
14;29;.csa4;1
14;2104;_prog_name;1
14;980;_umask;1
14;1304;_unlink;1
14;1241;.csb4;1
14;1535;_tab_parse;1
14;3;_kill;1
14;947;_fprintf;1
14;1167;_geteuid;1
14;1507;_now;1
14;1159;_selectlog;1
14;1936;_sprintf;1
13;1625;__link;1
18;788;_symlink;1
18;433;_fetchParseURL;1
18;1066;_strncasecmp;1
18;1616;___stderr;1
18;1367;__fp_hook;1
18;2039;_utime;1
18;1919;.mlf8;1
18;1241;.csb4;1
18;1195;_isatty;1
18;1616;___stdin;1
18;1758;_err;1
18;1048;_fetchIO_read;1
18;433;_fetchTimeout;1
18;151;_fgets;1
18;857;_getenv;1
18;741;_errx;1
18;994;_rename;1
18;1955;_fchown;1
18;954;_tcgetattr;1
18;353;.blm;1
18;267;_getpid;1
18;142;_gettimeofday;1
18;433;_fetchFreeURL;1
18;513;_alarm;1
18;745;_setenv;1
18;422;_strrchr;1
