#filename inlinks outlinks
./commands/nohup/nohup.o 1 13
./lib/libc/obj-ack/scalbn.o 4 4
./commands/mdocml/arch.o 1 1
./commands/cawf/expand.o 1 25
./lib/libc/obj-ack/kill.o 1 1
./lib/ack/libfp/obj-ack/mlf4.o 1 3
./lib/libc/obj-ack/putw.o 1 1
./lib/libhgfs/obj-ack/attr.o 3 10
./lib/libarchive/obj-ack/archive_entry_strmode.o 1 6
./drivers/printer/liveupdate.o 3 4
./lib/libc/obj-ack/_getgroups.o 1 1
./commands/asmconv/asm86.o 5 5
./lib/libc/obj-ack/read.o 1 1
./commands/crontab/crontab.o 2 30
./lib/libc/obj-ack/link.o 1 1
./lib/libarchive/obj-ack/archive_read_support_compression_none.o 1 0
./commands/fetch/fetch.o 32 79
./commands/mdocml/mdoc_term.o 1 30
./lib/libc/obj-ack/feholdexcept.o 1 3
./lib/libz/obj-ack/uncompr.o 1 3
./lib/libc/obj-ack/chdir.o 2 2
./lib/libc/obj-ack/fstatvfs.o 1 1
./lib/libc/obj-ack/fopen.o 1 7
./servers/hgfs/util.o 3 3
./lib/libc/obj-ack/strlcat.o 1 1
./kernel/do_kill.o 6 2
./commands/diff/diffdir.o 1 38
./lib/libc/obj-ack/getuid.o 1 1
./lib/libsys/obj-ack/vm_push_sig.o 1 1
./commands/advent/travel.o 3 25
./commands/sed/misc.o 4 13
./lib/ack/libe/obj-ack/em_csa4.o 1 2
./lib/ack/libfp/obj-ack/cfu.o 1 2
./lib/libc/obj-ack/vscanf.o 1 2
./lib/libarchive/obj-ack/archive_read.o 23 17
./drivers/floppy/floppy.o 5 43
./drivers/tty/console.o 11 21
./commands/cawf/cawf.o 2 66
./lib/libc/obj-ack/fchmod.o 1 1
./commands/readall/readall.o 10 13
./lib/libsys/obj-ack/pci_attr_w16.o 1 3
./kernel/utility.o 8 14
./commands/lp/lp.o 8 13
./lib/libc/obj-ack/mmap.o 1 1
./commands/login/login.o 18 47
./commands/elvis/tmp.o 6 51
./lib/libc/obj-ack/bt_delete.o 2 10
./lib/libsys/obj-ack/sys_physcopy.o 1 1
./commands/ash/mkinit.o 12 18
./lib/libc/obj-ack/execle.o 1 1
./lib/libc/obj-ack/ftell.o 2 2
./commands/sort/sort.o 57 19
./lib/libc/obj-ack/_rmdir.o 1 2
./lib/libc/obj-ack/warnx.o 1 1
./servers/inet/version.o 1 0
./commands/cmp/cmp.o 4 9
./lib/libz/obj-ack/crc32.o 4 0
./lib/libc/obj-ack/getprotoname.o 1 5
./lib/ack/libe/obj-ack/em_dvu.o 1 2
./commands/dhcpd/ether.o 7 6
./commands/mined/mined2.o 68 58
./lib/libc/obj-ack/_select.o 1 1
./lib/libc/obj-ack/getc.o 1 1
./commands/hexdump/conv.o 2 4
./lib/libc/obj-ack/peekpoke.o 2 4
./commands/grep/util.o 8 60
./commands/loadkeys/loadkeys.o 6 10
./lib/libsys/obj-ack/pci_attr_r16.o 1 3
./lib/libc/obj-ack/mblen.o 1 0
./servers/hgfs/link.o 5 26
./commands/telnetd/telnet.o 5 6
./commands/pax/buf_subs.o 24 24
./lib/ack/libe/obj-ack/em_inn.o 1 0
./lib/libarchive/obj-ack/archive_write_set_format_mtree.o 1 35
./commands/mdocml/man_action.o 2 8
./servers/pm/schedule.o 3 7
./lib/libc/obj-ack/_chdir.o 2 2
./lib/libc/obj-ack/times.o 1 1
./commands/pkg_install/create/perform.o 1 39
./commands/telnetd/term.o 3 16
./lib/libcurses/obj-ack/mvcursor.o 1 4
./lib/ack/libe/obj-ack/em_isar.o 1 2
./commands/cawf/bsfilt.o 8 11
./commands/autil/anm.o 20 24
./lib/libc/obj-ack/lseek.o 1 1
./commands/remsync/remsync.o 55 40
./servers/pfs/open.o 1 7
./commands/advent/turn.o 10 56
./commands/mail/mail.o 34 58
./lib/libc/obj-ack/recvfrom.o 1 7
./lib/libsys/obj-ack/assert.o 1 1
./commands/mt/mt.o 5 14
./lib/ack/libe/obj-ack/em_and.o 1 0
./lib/libc/obj-ack/_sigprocmask.o 1 1
./commands/elle/eeterm.o 25 34
./commands/pkg_install/lib/file.o 12 23
./servers/vm/signal.o 1 6
./commands/elvis/system.o 5 35
./lib/libhgfs/obj-ack/rpc.o 6 5
./lib/libc/obj-ack/vm_update.o 1 1
./lib/libsys/obj-ack/vm_exit.o 2 1
./commands/advent/itverb.o 19 54
./commands/make/targ.o 17 31
./commands/elvis/ref.o 11 20
./lib/libc/obj-ack/_sysuname.o 1 1
./lib/libarchive/obj-ack/archive_read_support_compression_gzip.o 1 12
./lib/libc/obj-ack/getppid.o 1 1
./drivers/at_wini/at_wini.o 2 62
./drivers/memory/imgrd.o 2 0
./lib/libc/obj-ack/compare.o 4 4
./commands/elle/eemain.o 17 69
./lib/ack/libfp/obj-ack/div_ext.o 1 5
./commands/elvis/move1.o 10 18
./lib/libcurses/obj-ack/winsertln.o 1 0
./commands/touch/touch.o 6 22
./commands/swifi/db_disasm.o 1 4
./lib/libc/obj-ack/_execle.o 1 1
./lib/libfetch/obj-ack/file.o 5 20
./servers/inet/buf.o 16 8
./kernel/do_getksig.o 6 2
./lib/libc/obj-ack/vsscanf.o 1 2
./lib/libc/obj-ack/bt_seq.o 2 9
./lib/libbz2/obj-ack/blocksort.o 1 7
./commands/pkg_install/lib/version.o 1 2
./commands/pkg_install/info/show.o 9 19
./commands/less/less/screen.o 43 29
./commands/ftpd200/ftpd.o 33 48
./lib/ack/libfp/obj-ack/cmf8.o 1 0
./lib/ack/libfp/obj-ack/dvf4.o 1 3
./lib/libc/obj-ack/bt_search.o 1 4
./commands/aal/wr_long.o 1 1
./kernel/do_endksig.o 6 3
./servers/is/dmp_fs.o 4 4
