#numfiles_with_numlinks numlinks
16 2
1 128
2 51
1 81
3 10
2 97
1 88
19 0
1 38
2 35
2 39
4 29
1 64
1 147
5 30
9 11
2 55
2 62
1 197
6 8
4 36
1 31
1 13
3 78
1 68
3 60
1 33
1 44
1 79
7 20
1 32
2 53
1 120
7 7
4 28
1 69
9 9
1 83
8 1
4 15
1 98
1 66
1 94
4 43
1 218
1 186
1 52
1 220
4 19
2 57
2 80
1 96
1 113
5 21
1 249
4 25
1 82
2 17
2 16
4 40
3 34
1 48
14 3
1 49
4 37
1 126
1 85
2 14
6 6
1 116
1 132
1 104
6 27
6 26
2 23
1 75
8 4
1 129
1 24
8 12
2 22
2 67
1 89
2 74
1 42
1 125
2 72
2 109
3 117
1 102
1 106
1 45
1 73
1 18
1 142
11 5
1 41
1 103
