Source;Target;Label;Weight
96;234;htab_try_create;1
96;175;bfd_assert;1
96;275;_bfd_elf_symbol_refs_local_p;1
96;258;bfd_set_section_contents;1
96;175;_bfd_abort;1
96;258;bfd_malloc_and_get_section;1
96;234;htab_find_slot_with_hash;1
96;169;bfd_zmalloc;1
96;234;htab_delete;1
96;258;bfd_get_section_by_name;1
96;263;bfd_section_from_elf_index;1
96;169;bfd_malloc;1
96;275;_bfd_elf_gc_mark_rsec;1
96;275;_bfd_elf_gc_mark_reloc;1
96;234;iterative_hash;1
100;223;_ZN4gold12Symbol_table14define_symbolsEPKNS_6LayoutEiPKNS_24Define_symbol_in_segmentEb;1
100;223;_ZN4gold12Symbol_table14define_symbolsEPKNS_6LayoutEiPKNS_24Define_symbol_in_sectionEb;1
111;164;debug_set_filename;1
111;164;debug_find_named_type;1
111;164;debug_get_type_kind;1
111;164;debug_record_function;1
111;274;cplus_demangle_v3_components;1
111;164;debug_make_array_type;1
111;164;debug_find_tagged_type;1
111;164;debug_end_common_block;1
111;164;debug_make_reference_type;1
111;132;xstrdup;1
111;164;debug_make_method_variant;1
111;243;concat;1
111;164;debug_end_function;1
111;164;debug_make_pointer_type;1
111;229;cplus_mangle_opname;1
111;164;debug_make_float_type;1
111;164;debug_make_int_type;1
111;164;debug_record_type_size;1
111;164;debug_make_static_member;1
111;188;xrealloc;1
111;164;debug_make_range_type;1
111;164;debug_make_enum_type;1
111;164;debug_get_parameter_types;1
111;164;debug_get_type_name;1
111;164;debug_make_bool_type;1
111;164;debug_make_field;1
111;164;debug_record_label;1
111;164;debug_make_volatile_type;1
111;164;debug_record_line;1
111;164;debug_start_source;1
111;164;debug_make_set_type;1
111;164;debug_make_function_type;1
111;164;debug_make_struct_type;1
111;229;cplus_demangle;1
111;164;debug_make_undefined_tagged_type;1
111;164;debug_get_return_type;1
111;164;debug_make_baseclass;1
111;164;debug_make_method;1
111;230;cplus_demangle_print;1
111;164;debug_get_fields;1
111;164;debug_make_object_type;1
111;164;debug_make_indirect_type;1
111;164;debug_make_method_type;1
111;164;debug_end_block;1
111;164;debug_make_offset_type;1
111;164;debug_make_complex_type;1
111;164;debug_record_int_const;1
111;164;debug_record_parameter;1
111;164;debug_get_field_type;1
111;164;debug_name_type;1
111;164;debug_make_void_type;1
111;164;debug_start_block;1
111;164;debug_record_typed_const;1
111;164;debug_record_variable;1
111;164;debug_record_float_const;1
111;164;debug_make_static_method_variant;1
111;164;debug_make_const_type;1
111;164;debug_tag_type;1
111;164;debug_start_common_block;1
111;188;xmalloc;1
257;267;file_showstr;1
257;163;cdf_timestamp_to_timespec;1
153;170;_ZN4gold11Output_file14open_base_fileEPKcb;1
153;279;_ZN4gold19do_gold_unreachableEPKciS1_;1
153;170;_ZN4gold11Output_fileC1EPKc;1
153;26;_ZN4gold23open_incremental_binaryEPNS_11Output_fileE;1
153;86;_ZNK4gold10Parameters19size_and_endiannessEv;1
153;26;_ZNK4gold18Incremental_binary5errorEPKcz;1
254;239;_ZN4gold20Dwarf_pubnames_table12read_sectionEPNS_6RelobjEj;1
254;230;cplus_demangle_print;1
254;274;cplus_demangle_v3_components;1
254;239;_ZN4gold9Dwarf_die12child_offsetEv;1
254;239;_ZN4gold9Dwarf_dieC1EPNS_17Dwarf_info_readerElPS0_;1
254;196;_ZN4gold12gold_warningEPKcz;1
254;239;_ZN4gold20Dwarf_pubnames_table11read_headerEl;1
254;239;_ZN4gold17Dwarf_info_reader5parseEv;1
254;239;_ZN4gold9Dwarf_die14uint_attributeEj;1
254;170;_ZNK4gold19Output_section_data12do_out_shndxEv;1
254;239;_ZN4gold9Dwarf_die16set_linkage_nameEv;1
254;239;_ZN4gold9Dwarf_die14sibling_offsetEv;1
254;239;_ZN4gold9Dwarf_die13ref_attributeEjPj;1
254;279;_ZN4gold19do_gold_unreachableEPKciS1_;1
254;239;_ZN4gold18Dwarf_abbrev_table18clear_abbrev_codesEv;1
254;149;_ZN4gold7Mapfile17print_output_dataEPKNS_11Output_dataEPKc;1
254;170;_ZN4gold11Output_dataD2Ev;1
254;239;_ZN4gold9Dwarf_die8set_nameEv;1
254;239;_ZN4gold9Dwarf_die13int_attributeEj;1
254;239;_ZN4gold18Dwarf_ranges_table15read_range_listEPNS_6RelobjEPKhljjl;1
254;239;_ZN4gold9Dwarf_die17address_attributeEjPj;1
254;239;_ZN4gold20Dwarf_pubnames_table9next_nameEv;1
254;239;_ZN4gold9Dwarf_die15read_attributesEv;1
129;15;file_oomem;1
42;46;_ZN4gold6Layout30make_output_section_for_scriptEPKcNS_15Script_sections12Section_typeE;1
42;279;_ZN4gold19do_gold_unreachableEPKciS1_;1
42;170;_ZNK4gold14Output_section13Input_section9data_sizeEv;1
42;32;_ZN4gold10Expression13eval_with_dotEPKNS_12Symbol_tableEPKNS_6LayoutEbmPNS_14Output_sectionEPS8_Pmb;1
42;235;_ZN4gold17Symbol_assignment17finalize_with_dotEPNS_12Symbol_tableEPKNS_6LayoutEmPNS_14Output_sectionE;1
42;46;_ZNK4gold6Layout22get_allocated_sectionsEPSt6vectorIPNS_14Output_sectionESaIS3_EE;1
42;149;_ZN4gold7Mapfile17print_output_dataEPKNS_11Output_dataEPKc;1
42;170;_ZN4gold11Output_dataD2Ev;1
42;170;_ZN4gold14Output_section23add_output_section_dataEPNS_19Output_section_dataE;1
42;170;_ZN4gold14Output_section18get_input_sectionsEmRKSsPSt4listINS0_13Input_sectionESaIS4_EE;1
42;46;_ZN4gold6Layout24section_flags_to_segmentEm;1
42;235;_ZN4gold16Script_assertion5checkEPKNS_12Symbol_tableEPKNS_6LayoutE;1
42;235;_ZN4gold17Symbol_assignment15set_if_absoluteEPNS_12Symbol_tableEPKNS_6LayoutEbmPNS_14Output_sectionE;1
42;170;_ZNK4gold19Output_section_data12do_out_shndxEv;1
42;32;script_exp_integer;1
42;46;_ZN4gold6Layout19make_output_segmentEjj;1
42;170;_ZN4gold14Output_segment26add_output_section_to_loadEPNS_6LayoutEPNS_14Output_sectionEj;1
42;170;_ZN4gold14Output_section24add_script_input_sectionERKNS0_13Input_sectionE;1
42;170;_ZNK4gold14Output_segment32section_with_lowest_load_addressEv;1
42;59;_ZN4gold9File_read4lockEPKNS_4TaskE;1
42;170;_ZNK4gold14Output_section13Input_section6relobjEv;1
42;235;_ZN4gold17Symbol_assignment12add_to_tableEPNS_12Symbol_tableE;1
42;226;_ZNK4gold15General_options13section_startEPKcPm;1
42;170;_ZN4gold14Output_segment29add_output_section_to_nonloadEPNS_14Output_sectionEj;1
42;235;_ZNK4gold17Symbol_assignment5printEP8_IO_FILE;1
42;235;_ZNK4gold16Script_assertion5printEP8_IO_FILE;1
42;196;_ZN4gold10gold_errorEPKcz;1
42;59;_ZN4gold9File_read6unlockEPKNS_4TaskE;1
42;32;_ZN4gold10Expression4evalEPKNS_12Symbol_tableEPKNS_6LayoutEb;1
42;170;_ZN4gold14Output_segment23add_initial_output_dataEPNS_11Output_dataE;1
42;170;_ZNK4gold14Output_section13Input_section5shndxEv;1
42;32;script_exp_binary_add;1
42;196;_ZN4gold12gold_warningEPKcz;1
189;263;bfd_elf_sym_name;1
189;263;bfd_section_from_shdr;1
189;25;bfd_zalloc;1
189;263;bfd_section_from_phdr;1
189;25;_bfd_new_bfd;1
189;215;bfd_default_set_arch_mach;1
189;175;_bfd_abort;1
189;263;_bfd_elf_symbol_from_bfd_symbol;1
189;263;_bfd_elf_slurp_version_tables;1
189;263;_bfd_elf_validate_reloc;1
189;25;bfd_alloc;1
189;175;bfd_preserve_finish;1
189;263;bfd_section_from_elf_index;1
189;169;bfd_malloc;1
189;158;bfd_bread;1
189;263;_bfd_elf_swap_versym_in;1
189;175;bfd_get_error;1
189;158;bfd_bwrite;1
189;175;bfd_assert;1
189;175;bfd_preserve_save;1
189;263;bfd_elf_get_elf_syms;1
189;258;bfd_malloc_and_get_section;1
189;169;bfd_zmalloc;1
189;263;_bfd_elf_setup_sections;1
189;175;bfd_set_start_address;1
189;158;bfd_seek;1
189;175;bfd_set_error;1
189;258;bfd_make_section_with_flags;1
189;258;bfd_get_section_by_name;1
189;158;bfd_stat;1
189;175;bfd_preserve_restore;1
58;279;_ZN4gold19do_gold_unreachableEPKciS1_;1
171;156;frag_more;1
171;194;listing_source_file;1
171;7;colon;1
171;116;remap_debug_filename;1
171;7;symbol_temp_new;1
171;188;xmalloc;1
171;258;bfd_set_section_flags;1
171;35;get_absolute_expression_and_terminator;1
171;41;getpwd;1
171;28;xstrerror;1
171;138;as_fatal;1
171;156;frag_now_fix;1
171;94;subseg_set;1
171;35;get_absolute_expression;1
171;194;listing_source_line;1
171;152;filename_cmp;1
171;94;subseg_new;1
171;35;cons;1
171;35;demand_copy_C_string;1
171;272;number_to_chars_littleendian;1
171;233;obj_elf_init_stab_section;1
171;35;ignore_rest_of_line;1
171;138;as_bad;1
171;35;demand_empty_rest_of_line;1
171;138;as_warn;1
171;35;emit_expr;1
171;132;xstrdup;1
171;166;as_where;1
85;4;atof_generic;1
85;272;number_to_chars_littleendian;1
85;138;as_bad;1
94;7;symbol_set_bfdsym;1
94;7;symbol_new;1
94;138;as_assert;1
94;7;S_GET_SEGMENT;1
94;138;as_abort;1
94;109;xcalloc;1
94;258;bfd_make_section_old_way;1
94;7;S_CLEAR_EXTERNAL;1
94;7;symbol_find;1
94;188;xmalloc;1
94;156;frag_alloc;1
