#filename inlinks outlinks
./build/tools/binutils/build/bfd/elf-eh-frame.o 26 26
./build/tools/binutils/build/gold/defstd.o 1 2
./build/tools/binutils/build/binutils/stabs.o 26 79
./build/tools/file/build/src/print.o 3 15
./build/tools/binutils/build/gold/incremental-dump.o 5 20
./build/tools/binutils/build/libiberty/strerror.o 4 5
./build/tools/file/build/src/fmtcheck.o 4 2
./build/tools/binutils/build/gold/gdb-index.o 28 62
./build/tools/file/build/src/encoding.o 2 3
./build/tools/binutils/build/gold/script-sections.o 90 78
./build/tools/binutils/build/bfd/elf32.o 30 40
./build/tools/binutils/build/gold/gold-threads.o 14 9
./build/tools/binutils/build/gas/stabs.o 9 45
./build/tools/binutils/build/gas/atof-ieee.o 5 9
./build/tools/binutils/build/gas/compress-debug.o 3 3
./build/tools/binutils/build/gas/subsegs.o 11 32
./build/tools/binutils/build/libiberty/xstrdup.o 1 2
./build/tools/texinfo/build/makeinfo/float.o 13 36
./build/tools/binutils/build/gold/readsyms.o 58 55
./build/tools/binutils/build/libiberty/md5.o 7 3
./build/tools/binutils/build/libiberty/simple-object-elf.o 26 4
./build/tools/binutils/build/gold/common.o 4 28
./build/tools/texinfo/build/lib/getopt1.o 4 2
./build/tools/binutils/build/bfd/elf-vxworks.o 8 5
./build/tools/binutils/build/gold/timer.o 8 3
./build/tools/binutils/build/binutils/size.o 11 40
./build/tools/binutils/build/libiberty/xexit.o 1 1
./build/tools/binutils/build/gas/messages.o 18 15
./build/tools/binutils/build/ld/ldctor.o 4 27
./build/tools/binutils/build/binutils/addr2line.o 3 43
./build/tools/binutils/build/ld/eelf_i386.o 20 85
./build/tools/binutils/build/gas/input-file.o 9 21
./build/tools/binutils/build/libiberty/setproctitle.o 1 1
./build/tools/binutils/build/gold/output.o 122 116
./build/tools/binutils/build/bfd/opncls.o 33 43
./build/tools/binutils/build/libiberty/xmalloc.o 5 8
./build/tools/binutils/build/gas/flonum-copy.o 1 2
./build/tools/binutils/build/libiberty/argv.o 6 21
./build/tools/file/build/src/fsmagic.o 3 11
./build/tools/file/build/src/is_tar.o 1 2
./build/tools/binutils/build/bfd/merge.o 9 16
./build/tools/binutils/build/gas/symbols.o 108 53
./build/tools/binutils/build/ld/.libs/libldtestplug_la-testplug.o 8 10
./build/tools/texinfo/build/makeinfo/xml.o 50 72
./build/tools/binutils/build/libiberty/strsignal.o 4 4
./build/tools/binutils/build/gold/resolve.o 5 26
./build/tools/binutils/build/libiberty/choose-temp.o 1 5
./build/tools/binutils/build/gold/descriptors.o 6 21
./build/tools/binutils/build/libiberty/timeval-utils.o 2 0
./build/tools/binutils/build/bfd/libbfd.o 55 14
./build/tools/binutils/build/bfd/linker.o 49 39
./build/tools/binutils/build/opcodes/dis-init.o 1 5
./build/tools/binutils/build/bfd/archive.o 39 53
./build/tools/texinfo/build/makeinfo/makeinfo.o 72 129
./build/tools/binutils/build/libiberty/unlink-if-ordinary.o 1 2
./build/tools/binutils/build/bfd/hash.o 18 11
./build/tools/binutils/build/ld/ldver.o 1 5
./build/tools/binutils/build/binutils/wrstabs.o 53 20
./build/tools/binutils/build/gold/symtab.o 41 74
./build/tools/file/build/src/funcs.o 20 28
./build/tools/binutils/build/bfd/srec.o 19 78
./build/tools/binutils/build/binutils/arsup.o 16 29
./build/tools/binutils/build/bfd/cache.o 17 20
./build/tools/texinfo/build/lib/xstrdup.o 1 2
./build/tools/binutils/build/gold/parameters.o 27 17
./build/tools/file/build/src/readelf.o 10 17
./build/tools/binutils/build/binutils/emul_vanilla.o 0 4
./build/tools/binutils/build/gold/i386.o 90 104
./build/tools/binutils/build/gold/errors.o 17 29
./build/tools/binutils/build/libiberty/simple-object-mach-o.o 19 10
./build/tools/file/build/src/ascmagic.o 2 8
./build/tools/binutils/build/bfd/stab-syms.o 1 0
./build/tools/binutils/build/binutils/strings.o 5 40
./build/tools/binutils/build/gold/dwarf_reader.o 33 60
./build/tools/binutils/build/ld/plugin.o 25 44
./build/tools/binutils/build/ld/libldtestplug_la-testplug.o 8 9
./build/tools/binutils/build/gold/attributes.o 17 30
./build/tools/binutils/build/gold/gc.o 1 11
./build/tools/binutils/build/gold/icf.o 6 36
./build/tools/binutils/build/gold/dirsearch.o 12 38
./build/tools/binutils/build/binutils/is-strip.o 0 0
./build/tools/binutils/build/bfd/elf.o 120 94
./build/tools/binutils/build/gas/input-scrub.o 14 27
./build/tools/binutils/build/bfd/syms.o 11 20
./build/tools/binutils/build/bfd/elf-attrs.o 18 9
./build/tools/binutils/build/ld/ldcref.o 11 28
./build/tools/binutils/build/binutils/rddbg.o 4 20
./build/tools/binutils/build/gold/reloc.o 22 57
./build/tools/binutils/build/gas/dwarf2dbg.o 26 73
./build/tools/binutils/build/ld/ldexp.o 23 27
./build/tools/texinfo/build/makeinfo/multi.o 9 43
./build/tools/file/build/src/file.o 6 43
./build/tools/binutils/build/bfd/init.o 1 0
./build/tools/binutils/build/gas/frags.o 17 19
./build/tools/binutils/build/gas/flonum-mult.o 1 0
./build/tools/binutils/build/libiberty/objalloc.o 4 3
./build/tools/binutils/build/binutils/not-strip.o 0 0
./build/tools/binutils/build/binutils/elfedit.o 7 37
./build/tools/binutils/build/gold/yyscript.o 3 96
./build/tools/binutils/build/ld/ldgram.o 5 89
./build/tools/binutils/build/binutils/filemode.o 1 0
./build/tools/binutils/build/gold/cref.o 15 35
./build/tools/binutils/build/libiberty/cp-demangle.o 59 5
./build/tools/binutils/build/gold/x86_64.o 185 132
./build/tools/binutils/build/libiberty/hashtab.o 26 7
./build/tools/binutils/build/gold/incremental.o 20 83
./build/tools/binutils/build/libiberty/pex-common.o 12 14
./build/tools/binutils/build/bfd/verilog.o 4 36
./build/tools/binutils/build/binutils/elfcomm.o 16 22
./build/tools/binutils/build/bfd/stabs.o 6 24
./build/tools/binutils/build/bfd/dwarf1.o 3 4
./build/tools/binutils/build/gold/workqueue.o 17 20
./build/tools/binutils/build/libiberty/lbasename.o 3 1
./build/tools/file/build/src/readcdf.o 3 26
./build/tools/binutils/build/ld/eelf_i386_minix.o 21 88
./build/tools/binutils/build/gold/options.o 74 103
./build/tools/binutils/build/gold/gold.o 9 81
./build/tools/binutils/build/gas/write.o 28 113
./build/tools/file/build/src/apprentice.o 33 57
./build/tools/binutils/build/gas/output-file.o 2 12
./build/tools/binutils/build/bfd/archures.o 18 9
./build/tools/binutils/build/gold/mapfile.o 14 23
./build/tools/binutils/build/bfd/tekhex.o 21 67
./build/tools/binutils/build/gold/fileread.o 42 66
./build/tools/file/build/src/cdf.o 33 8
./build/tools/binutils/build/opcodes/dis-buf.o 5 2
./build/tools/file/build/src/magic.o 19 25
./build/tools/binutils/build/bfd/coffgen.o 36 39
./build/tools/binutils/build/binutils/syslex_wrap.o 30 19
./build/tools/file/build/src/strlcpy.o 1 0
./build/tools/binutils/build/gas/tc-i386.o 73 109
./build/tools/binutils/build/gas/cond.o 13 27
./build/tools/binutils/build/binutils/bucomm.o 18 41
./build/tools/texinfo/build/makeinfo/insertion.o 65 109
./build/tools/binutils/build/gas/read.o 107 197
./build/tools/binutils/build/bfd/elf-strtab.o 14 12
./build/tools/binutils/build/gold/layout.o 96 220
./build/tools/binutils/build/gas/ehopt.o 4 11
./build/tools/texinfo/build/lib/substring.o 1 1
./build/tools/binutils/build/gas/hash.o 13 10
./build/tools/binutils/build/bfd/cpu-i386.o 4 5
./build/tools/texinfo/build/util/install-info.o 22 37
./build/tools/binutils/build/libiberty/lrealpath.o 1 2
./build/tools/binutils/build/ld/ldmain.o 20 97
./build/tools/binutils/build/bfd/binary.o 9 60
./build/tools/binutils/build/gas/flonum-konst.o 0 0
./build/tools/binutils/build/libiberty/make-temp-file.o 2 11
./build/tools/binutils/build/binutils/rename.o 3 13
./build/tools/binutils/build/ld/ldlang.o 143 126
./build/tools/texinfo/build/makeinfo/macro.o 23 40
./build/tools/binutils/build/bfd/ihex.o 9 67
./build/tools/binutils/build/gold/merge.o 23 62
./build/tools/texinfo/build/makeinfo/index.o 23 74
