Source;Target;Label;Weight
0;562;config_found_sm;1
0;220;printf;1
0;562;config_detach;1
0;220;panic;1
1;1047;comconsaddr;1
1;1047;com_attach_subr;1
1;1047;comconsioh;1
1;1047;comconsattached;1
1;1047;comprobe1;1
1;1047;comintr;1
1;220;panic;1
1;1006;bus_space_unmap;1
1;1008;isa_intr_establish;1
1;1047;com_resume;1
1;1006;bus_space_map;1
2;134;isp_get_pdb_24xx;1
2;134;isp_put_ct_pt;1
2;134;isp_get_plogx;1
2;134;isp_put_marker_24xx;1
2;130;isp_mbox_notify_done;1
2;134;isp_get_response_type;1
2;134;isp_put_icb_2400;1
2;130;isp_async;1
2;130;isp_delay;1
2;134;isp_put_rft_id;1
2;130;isp_nanotime_sub;1
2;134;isp_get_rio2;1
2;134;isp_put_plogx;1
2;134;isp_put_marker;1
2;134;isp_find_xs;1
2;130;isp_nanotime;1
2;134;isp_find_handle;1
2;130;isp_mbox_acquire;1
2;134;isp_get_ct_hdr;1
2;1006;delay_func;1
2;134;isp_put_icb;1
2;134;isp_getrqentry;1
2;130;isp_mbox_wait_complete;1
2;134;isp_put_gid_ft_request;1
2;134;isp_get_gid_ft_response;1
2;130;isp_done;1
2;130;isp_prt;1
2;134;isp_get_ct_pt;1
2;134;isp_get_response;1
2;810;memset;1
2;134;isp_put_sns_request;1
2;134;isp_get_hdr;1
2;134;isp_destroy_handle;1
2;928;bcopy;1
2;134;isp_dump_portdb;1
2;220;snprintf;1
2;134;isp_get_pdb_21xx;1
2;134;isp_print_bytes;1
2;130;isp_mbox_release;1
2;808;__stack_smash_handler;1
2;707;__guard;1
2;134;isp_get_24xx_response;1
2;134;isp_put_ct_hdr;1
2;134;isp_save_xs;1
4;1151;kernel_pmap_store;1
4;928;mtx_enter;1
4;928;mtx_init;1
4;928;memcpy;1
4;1151;pmap_kenter_pa;1
4;393;kernel_map;1
4;1015;kvm86_call;1
4;1006;setsegment;1
4;810;memset;1
4;220;printf;1
4;220;__assert;1
4;928;mtx_leave;1
4;393;uvm_km_alloc1;1
4;1151;pmap_extract;1
4;707;proc0;1
4;393;uvm_km_free;1
4;1015;kvm86_ret;1
3;1006;delay_func;1
6;949;tsleep;1
6;586;cpu_info_primary;1
6;1088;uid_find;1
6;220;panic;1
6;731;pool_put;1
6;731;pool_init;1
6;731;pool_get;1
6;949;wakeup_n;1
6;731;pool_allocator_nointr;1
5;48;pci_make_tag;1
5;220;printf;1
5;539;pci_mapreg_map;1
5;539;pci_mem_find;1
5;48;pci_intr_string;1
5;973;shutdownhook_list;1
5;48;pci_intr_map;1
5;250;sdhc_host_found;1
5;48;pci_intr_establish;1
5;250;sdhc_shutdown;1
5;48;pci_conf_write;1
5;48;pci_conf_read;1
5;973;hook_establish;1
5;250;sdhc_activate;1
5;250;sdhc_intr;1
5;1213;malloc;1
7;1107;mii_phy_down;1
7;220;panic;1
7;1107;mii_phy_reset;1
7;1107;mii_phy_match;1
7;1107;mii_phy_detach;1
7;1107;mii_phy_add_media;1
7;220;printf;1
7;1107;mii_phy_activate;1
7;1107;mii_phy_status;1
7;1107;mii_phy_update;1
7;1107;mii_phy_auto;1
7;1107;mii_anar;1
8;897;pcic_chip_socket_disable;1
8;88;pcic_isa_bus_width_probe;1
8;897;pcic_ident_ok;1
8;510;bus_space_read_1;1
8;897;pcic_poll_intr;1
8;1217;isapnp_config;1
8;88;pcic_isa_chip_intr_establish;1
8;1008;isa_intr_establish;1
8;88;pcic_isa_chip_intr_string;1
8;220;printf;1
8;1006;bus_space_map;1
8;897;pcic_attach;1
8;897;pcic_attach_sockets;1
8;897;pcic_chip_io_unmap;1
8;897;pcic_chip_mem_free;1
8;510;bus_space_write_1;1
8;897;pcic_chip_io_map;1
8;897;pcic_chip_io_alloc;1
8;88;pcic_intr_find;1
8;667;timeout_set;1
8;897;pcic_chip_mem_alloc;1
8;897;pcic_intr;1
8;667;timeout_add_msec;1
8;897;pcic_chip_socket_enable;1
8;88;pcic_isa_chip_intr_disestablish;1
8;897;pcic_chip_mem_unmap;1
8;897;pcic_chip_io_free;1
8;897;pcic_chip_mem_map;1
9;450;aml_searchname;1
9;450;aml_root;1
9;450;aml_notify;1
9;450;aml_evalname;1
9;450;aml_evalnode;1
9;220;printf;1
9;450;aml_register_notify;1
9;463;strcmp;1
9;450;aml_evalinteger;1
9;450;aml_find_node;1
9;516;strlcpy;1
9;70;sensor_attach;1
9;450;aml_walknodes;1
9;450;aml_freevalue;1
9;70;sensordev_install;1
9;1213;malloc;1
10;586;cpu_info_primary;1
10;928;memcpy;1
10;774;radeondrm_commit_ring;1
10;774;radeondrm_advance_ring;1
10;928;copyout;1
10;220;printf;1
10;810;memset;1
10;928;copyin;1
10;774;radeondrm_out_ring_table;1
10;774;radeondrm_out_ring;1
10;774;radeondrm_begin_ring;1
12;1021;ether_sprintf;1
12;0;mii_mediachg;1
12;510;bus_space_read_2;1
12;883;ifmedia_init;1
12;510;bus_space_read_1;1
12;0;mii_attach;1
12;1021;ether_input;1
12;1006;splx;1
12;0;mii_tick;1
12;689;bpfdetach;1
12;866;m_freem;1
12;972;if_attach;1
12;689;bpf_mtap;1
12;510;bus_space_write_1;1
12;1021;ether_ioctl;1
12;510;bus_space_read_multi_2;1
12;705;arp_ifinit;1
12;667;timeout_add_sec;1
12;866;m_gethdr;1
12;1006;delay_func;1
12;972;if_detach;1
12;1006;splraise;1
12;883;ifmedia_set;1
12;1021;ether_ifdetach;1
12;883;ifmedia_delete_instance;1
12;220;printf;1
12;220;log;1
12;928;bcopy;1
12;510;bus_space_write_multi_2;1
12;481;tbr_dequeue;1
12;510;bus_space_write_2;1
12;866;m_clget;1
12;667;timeout_set;1
12;0;mii_pollstat;1
12;883;ifmedia_add;1
12;220;panic;1
12;883;ifmedia_ioctl;1
12;1021;ether_ifattach;1
12;287;mii_bitbang_writereg;1
12;287;mii_bitbang_readreg;1
11;1006;splraise;1
11;1006;splx;1
11;353;rn_inithead;1
11;1213;free;1
11;552;sorwakeup;1
11;928;bcopy;1
11;904;raw_input;1
11;935;soisconnected;1
11;716;pfkeyv2_init;1
11;866;m_freem;1
11;904;raw_ctlinput;1
11;866;m_copydata;1
11;199;domains;1
11;904;raw_usrreq;1
11;866;m_copym2;1
11;935;sbappendaddr;1
11;1213;malloc;1
14;220;panic;1
14;928;bcopy;1
13;581;isa_dev;1
13;510;bus_space_read_1;1
13;510;bus_space_read_4;1
13;1006;bus_space_unmap;1
13;1008;isa_intr_establish;1
13;220;printf;1
13;1006;bus_space_map;1
13;760;uha_done;1
13;581;isa_dmacascade;1
13;760;uha_mscp_phys_kv;1
13;510;bus_space_write_4;1
13;510;bus_space_write_1;1
13;667;timeout_add_msec;1
13;220;panic;1
13;808;__stack_smash_handler;1
13;707;__guard;1
13;667;timeout_del;1
13;760;uha_attach;1
13;1006;delay_func;1
17;928;memcpy;1
17;174;vhold;1
17;731;pool_put;1
17;731;pool_init;1
17;174;vget;1
17;86;desiredvnodes;1
17;174;vput;1
17;731;pool_allocator_nointr;1
17;928;bcopy;1
17;586;cpu_info_primary;1
17;174;vdrop;1
17;1003;vn_lock;1
17;707;__guard;1
17;808;__stack_smash_handler;1
17;220;panic;1
17;31;VOP_UNLOCK;1
17;174;vref;1
17;731;pool_get;1
