#filename inlinks outlinks
./sys/arch/i386/compile/GENERIC/mii.o 9 4
./sys/arch/i386/compile/GENERIC/com_isa.o 5 11
./sys/arch/i386/compile/GENERIC/isp.o 74 44
./sys/arch/i386/compile/GENERIC/kvm86.o 22 17
./sys/arch/i386/compile/GENERIC/i2c_bitbang.o 6 1
./sys/arch/i386/compile/GENERIC/vfs_lockf.o 16 9
./sys/arch/i386/compile/GENERIC/sdhc_pci.o 5 16
./sys/arch/i386/compile/GENERIC/rlphy.o 9 12
./sys/arch/i386/compile/GENERIC/i82365_isapnp.o 5 28
./sys/arch/i386/compile/GENERIC/acpidock.o 12 16
./sys/arch/i386/compile/GENERIC/r300_cmdbuf.o 30 11
./sys/arch/i386/compile/GENERIC/smc91cxx.o 27 40
./sys/arch/i386/compile/GENERIC/pfkey.o 12 17
./sys/arch/i386/compile/GENERIC/criov.o 5 2
./sys/arch/i386/compile/GENERIC/uha_isa.o 9 19
./sys/arch/i386/compile/GENERIC/vfs_cache.o 26 18
./sys/arch/i386/compile/GENERIC/ext2fs_inode.o 7 28
./sys/arch/i386/compile/GENERIC/gl518sm.o 6 6
./sys/arch/i386/compile/GENERIC/pgt.o 67 58
./sys/arch/i386/compile/GENERIC/if_le.o 4 3
./sys/arch/i386/compile/GENERIC/envy.o 109 27
./sys/arch/i386/compile/GENERIC/procfs_note.o 2 3
./sys/arch/i386/compile/GENERIC/xmphy.o 10 9
./sys/arch/i386/compile/GENERIC/i2c_exec.o 5 0
./sys/arch/i386/compile/GENERIC/udivdi3.o 2 1
./sys/arch/i386/compile/GENERIC/compat_exec.o 4 8
./sys/arch/i386/compile/GENERIC/lm93.o 7 6
./sys/arch/i386/compile/GENERIC/acpitimer.o 7 5
./sys/arch/i386/compile/GENERIC/softraid_raid6.o 23 35
./sys/arch/i386/compile/GENERIC/ip_ether.o 10 28
./sys/arch/i386/compile/GENERIC/uvm_object.o 4 6
./sys/arch/i386/compile/GENERIC/vfs_vops.o 37 0
./sys/arch/i386/compile/GENERIC/uvm_device.o 9 14
./sys/arch/i386/compile/GENERIC/vesagtf.o 3 1
./sys/arch/i386/compile/GENERIC/kern_fork.o 14 50
./sys/arch/i386/compile/GENERIC/if_mpe.o 13 43
./sys/arch/i386/compile/GENERIC/if_wi_pci.o 15 26
./sys/arch/i386/compile/GENERIC/ip_divert.o 15 32
./sys/arch/i386/compile/GENERIC/tty.o 63 59
./sys/arch/i386/compile/GENERIC/elink3.o 39 46
./sys/arch/i386/compile/GENERIC/if_lmc_media.o 44 8
./sys/arch/i386/compile/GENERIC/atphy.o 11 10
./sys/arch/i386/compile/GENERIC/bcmp.o 6 0
./sys/arch/i386/compile/GENERIC/i686_mem.o 22 5
./sys/arch/i386/compile/GENERIC/if_tht.o 63 51
./sys/arch/i386/compile/GENERIC/midi.o 32 18
./sys/arch/i386/compile/GENERIC/ehci_cardbus.o 5 21
./sys/arch/i386/compile/GENERIC/ar5416.o 53 15
./sys/arch/i386/compile/GENERIC/ar5008.o 60 41
./sys/arch/i386/compile/GENERIC/pci_machdep.o 31 48
./sys/arch/i386/compile/GENERIC/xl.o 46 43
./sys/arch/i386/compile/GENERIC/if_iwn.o 150 82
./sys/arch/i386/compile/GENERIC/gpio.o 21 14
./sys/arch/i386/compile/GENERIC/ieee80211_ioctl.o 5 22
./sys/arch/i386/compile/GENERIC/if_axe.o 34 68
./sys/arch/i386/compile/GENERIC/ati_pcigart.o 6 6
./sys/arch/i386/compile/GENERIC/vfs_bio.o 49 43
./sys/arch/i386/compile/GENERIC/agp_sis.o 14 7
./sys/arch/i386/compile/GENERIC/uplcom.o 22 22
./sys/arch/i386/compile/GENERIC/wsemul_vt100.o 27 15
./sys/arch/i386/compile/GENERIC/ip_gre.o 8 33
./sys/arch/i386/compile/GENERIC/linux_termios.o 4 10
./sys/arch/i386/compile/GENERIC/pf_ruleset.o 29 13
./sys/arch/i386/compile/GENERIC/dma_alloc.o 6 7
./sys/arch/i386/compile/GENERIC/rdcphy.o 9 11
./sys/arch/i386/compile/GENERIC/cryptosoft.o 14 45
./sys/arch/i386/compile/GENERIC/ip_id.o 5 2
./sys/arch/i386/compile/GENERIC/sys_socket.o 8 10
./sys/arch/i386/compile/GENERIC/if_ie.o 39 28
