Id;Label
250;getpriority.o
802;sigaction.o
375;ntohs.o
1103;log2l.o
547;__signbitf.o
777;memset.o
577;syscall_ret.o
92;getservbyname_r.o
911;putenv.o
75;psiginfo.o
270;recvfrom.o
1164;sendto.o
1128;__flt_rounds.o
515;__stack_chk_fail.o
215;wcswidth.o
813;vscanf.o
1219;nice.o
563;timespec_get.o
193;sigpending.o
972;swscanf.o
171;fmaf.o
248;getwc.o
212;sigpause.o
239;clone.o
126;mkdtemp.o
339;__secs_to_tm.o
1260;lgammaf.o
1074;utmpx.o
316;__fclose_ca.o
1040;restore.o
849;__stdio_seek.o
68;__towrite.o
264;chown.o
426;tcgetattr.o
1195;random.o
194;wcsncasecmp_l.o
1001;pthread_rwlockattr_setpshared.o
1125;log2f.o
898;catanl.o
224;crypt_md5.o
1138;atol.o
804;time.o
314;ctime.o
714;strtok.o
857;catgets.o
1212;msgsnd.o
79;mq_send.o
971;__sindf.o
704;dynlink.o
632;mbsnrtowcs.o
135;__reset_tls.o
181;powl.o
153;atanl.o
386;getchar.o
1227;setitimer.o
401;__libc_start_main.o
1248;memcpy.o
992;rcrt1.o
881;pthread_key_create.o
967;freeaddrinfo.o
525;inet_legacy.o
403;wcschr.o
1022;pthread_rwlockattr_destroy.o
38;cacosl.o
779;getservbyport.o
98;stat.o
544;fgetgrent.o
388;fmemopen.o
7;__ctype_tolower_loc.o
694;fputwc.o
907;aio_suspend.o
424;dirfd.o
1226;a64l.o
721;getpw_a.o
327;abort.o
481;cosh.o
228;sincosl.o
722;rewinddir.o
887;inet_aton.o
689;atan.o
806;wcsrtombs.o
828;getresgid.o
814;__syscall_cp.o
306;fseek.o
1180;fopen.o
216;pthread_join.o
556;socket.o
464;strcasestr.o
51;funlockfile.o
1052;lgamma.o
1175;setbuf.o
33;netlink.o
83;shmdt.o
363;inet_ntop.o
801;posix_spawnattr_init.o
706;gethostname.o
244;memcmp.o
552;dcngettext.o
422;iopl.o
711;waitpid.o
761;__lctrans.o
690;asinhf.o
1101;__randname.o
52;recvmmsg.o
1037;ccoshf.o
146;llabs.o
997;tcsetattr.o
688;ffs.o
1265;fmax.o
273;symlinkat.o
258;gmtime.o
509;gethostbyname2.o
346;cnd_signal.o
72;confstr.o
870;pipe2.o
11;tgamma.o
1088;pthread_setcancelstate.o
53;regexec.o
91;res_init.o
1004;significandf.o
700;pthread_cond_destroy.o
684;setsockopt.o
101;ffsl.o
462;fcvt.o
285;sched_getscheduler.o
598;pthread_mutexattr_setprotocol.o
