#filename inlinks outlinks
./build/x86/pc99/libmuslc/src/misc/getpriority.o 1 2
./build/x86/pc99/libmuslc/src/signal/sigaction.o 3 7
./build/x86/pc99/libmuslc/src/network/ntohs.o 1 0
./build/x86/pc99/libmuslc/src/math/log2l.o 1 0
./build/x86/pc99/libmuslc/src/math/__signbitf.o 1 0
./build/x86/pc99/libmuslc/src/string/memset.o 1 0
./build/x86/pc99/libmuslc/src/internal/syscall_ret.o 1 1
./build/x86/pc99/libmuslc/src/network/getservbyname_r.o 1 3
./build/x86/pc99/libmuslc/src/env/putenv.o 2 9
./build/x86/pc99/libmuslc/src/signal/psiginfo.o 1 3
./build/x86/pc99/libmuslc/src/network/recvfrom.o 1 2
./build/x86/pc99/libmuslc/src/network/sendto.o 1 2
./build/x86/pc99/libmuslc/src/fenv/__flt_rounds.o 1 1
./build/x86/pc99/libmuslc/src/env/__stack_chk_fail.o 2 1
./build/x86/pc99/libmuslc/src/ctype/wcswidth.o 1 1
./build/x86/pc99/libmuslc/src/stdio/vscanf.o 1 2
./build/x86/pc99/libmuslc/src/unistd/nice.o 1 2
./build/x86/pc99/libmuslc/src/time/timespec_get.o 1 1
./build/x86/pc99/libmuslc/src/signal/sigpending.o 1 2
./build/x86/pc99/libmuslc/src/stdio/swscanf.o 1 1
./build/x86/pc99/libmuslc/src/math/fmaf.o 1 5
./build/x86/pc99/libmuslc/src/stdio/getwc.o 1 1
./build/x86/pc99/libmuslc/src/signal/sigpause.o 1 3
./build/x86/pc99/libmuslc/src/linux/clone.o 1 2
./build/x86/pc99/libmuslc/src/temp/mkdtemp.o 1 6
./build/x86/pc99/libmuslc/src/time/__secs_to_tm.o 1 2
./build/x86/pc99/libmuslc/src/math/lgammaf.o 1 2
./build/x86/pc99/libmuslc/src/legacy/utmpx.o 7 0
./build/x86/pc99/libmuslc/src/stdio/__fclose_ca.o 1 0
./build/x86/pc99/libmuslc/src/signal/restore.o 2 0
./build/x86/pc99/libmuslc/src/stdio/__stdio_seek.o 1 2
./build/x86/pc99/libmuslc/src/stdio/__towrite.o 2 1
./build/x86/pc99/libmuslc/src/unistd/chown.o 1 2
./build/x86/pc99/libmuslc/src/termios/tcgetattr.o 1 1
./build/x86/pc99/libmuslc/src/prng/random.o 6 2
./build/x86/pc99/libmuslc/src/string/wcsncasecmp_l.o 1 1
./build/x86/pc99/libmuslc/src/thread/pthread_rwlockattr_setpshared.o 1 0
./build/x86/pc99/libmuslc/src/math/log2f.o 1 0
./build/x86/pc99/libmuslc/src/complex/catanl.o 1 2
./build/x86/pc99/libmuslc/src/crypt/crypt_md5.o 5 5
./build/x86/pc99/libmuslc/src/stdlib/atol.o 1 0
./build/x86/pc99/libmuslc/src/time/time.o 1 1
./build/x86/pc99/libmuslc/src/time/ctime.o 1 2
./build/x86/pc99/libmuslc/src/string/strtok.o 1 2
./build/x86/pc99/libmuslc/src/locale/catgets.o 1 0
./build/x86/pc99/libmuslc/src/ipc/msgsnd.o 1 2
./build/x86/pc99/libmuslc/src/mq/mq_send.o 1 1
./build/x86/pc99/libmuslc/src/math/__sindf.o 1 0
./build/x86/pc99/libmuslc/src/ldso/dynlink.o 8 3
./build/x86/pc99/libmuslc/src/multibyte/mbsnrtowcs.o 1 2
./build/x86/pc99/libmuslc/src/env/__reset_tls.o 1 3
./build/x86/pc99/libmuslc/src/math/powl.o 1 8
./build/x86/pc99/libmuslc/src/math/atanl.o 1 0
./build/x86/pc99/libmuslc/src/stdio/getchar.o 1 2
./build/x86/pc99/libmuslc/src/signal/setitimer.o 1 2
./build/x86/pc99/libmuslc/src/env/__libc_start_main.o 3 8
./build/x86/pc99/libmuslc/src/string/memcpy.o 1 0
./build/x86/pc99/libmuslc/crt/rcrt1.o 4 3
./build/x86/pc99/libmuslc/src/thread/pthread_key_create.o 4 0
./build/x86/pc99/libmuslc/src/network/freeaddrinfo.o 1 1
./build/x86/pc99/libmuslc/src/network/inet_legacy.o 4 2
./build/x86/pc99/libmuslc/src/string/wcschr.o 1 1
./build/x86/pc99/libmuslc/src/thread/pthread_rwlockattr_destroy.o 1 0
./build/x86/pc99/libmuslc/src/complex/cacosl.o 1 1
./build/x86/pc99/libmuslc/src/network/getservbyport.o 1 1
./build/x86/pc99/libmuslc/src/stat/stat.o 1 2
./build/x86/pc99/libmuslc/src/passwd/fgetgrent.o 1 1
./build/x86/pc99/libmuslc/src/stdio/fmemopen.o 5 7
./build/x86/pc99/libmuslc/src/ctype/__ctype_tolower_loc.o 1 0
./build/x86/pc99/libmuslc/src/stdio/fputwc.o 2 6
./build/x86/pc99/libmuslc/src/aio/aio_suspend.o 1 6
./build/x86/pc99/libmuslc/src/dirent/dirfd.o 1 0
./build/x86/pc99/libmuslc/src/misc/a64l.o 2 1
./build/x86/pc99/libmuslc/src/passwd/getpw_a.o 1 10
./build/x86/pc99/libmuslc/src/exit/abort.o 1 1
./build/x86/pc99/libmuslc/src/math/cosh.o 1 3
./build/x86/pc99/libmuslc/src/math/sincosl.o 1 3
./build/x86/pc99/libmuslc/src/dirent/rewinddir.o 1 3
./build/x86/pc99/libmuslc/src/network/inet_aton.o 1 1
./build/x86/pc99/libmuslc/src/math/atan.o 1 0
./build/x86/pc99/libmuslc/src/multibyte/wcsrtombs.o 1 1
./build/x86/pc99/libmuslc/src/misc/getresgid.o 1 2
./build/x86/pc99/libmuslc/src/thread/__syscall_cp.o 2 1
./build/x86/pc99/libmuslc/src/stdio/fseek.o 3 2
./build/x86/pc99/libmuslc/src/stdio/fopen.o 1 6
./build/x86/pc99/libmuslc/src/thread/pthread_join.o 1 4
./build/x86/pc99/libmuslc/src/network/socket.o 1 3
./build/x86/pc99/libmuslc/src/string/strcasestr.o 1 2
./build/x86/pc99/libmuslc/src/stdio/funlockfile.o 1 2
./build/x86/pc99/libmuslc/src/math/lgamma.o 1 2
./build/x86/pc99/libmuslc/src/stdio/setbuf.o 1 1
./build/x86/pc99/libmuslc/src/network/netlink.o 2 5
./build/x86/pc99/libmuslc/src/ipc/shmdt.o 1 2
./build/x86/pc99/libmuslc/src/network/inet_ntop.o 1 7
./build/x86/pc99/libmuslc/src/process/posix_spawnattr_init.o 1 0
./build/x86/pc99/libmuslc/src/unistd/gethostname.o 1 1
./build/x86/pc99/libmuslc/src/string/memcmp.o 1 0
./build/x86/pc99/libmuslc/src/locale/dcngettext.o 7 15
./build/x86/pc99/libmuslc/src/linux/iopl.o 1 2
./build/x86/pc99/libmuslc/src/process/waitpid.o 1 2
./build/x86/pc99/libmuslc/src/locale/__lctrans.o 3 0
./build/x86/pc99/libmuslc/src/math/asinhf.o 1 3
./build/x86/pc99/libmuslc/src/temp/__randname.o 1 1
./build/x86/pc99/libmuslc/src/network/recvmmsg.o 1 2
./build/x86/pc99/libmuslc/src/complex/ccoshf.o 1 8
./build/x86/pc99/libmuslc/src/stdlib/llabs.o 1 0
./build/x86/pc99/libmuslc/src/termios/tcsetattr.o 1 2
./build/x86/pc99/libmuslc/src/misc/ffs.o 1 0
./build/x86/pc99/libmuslc/src/math/fmax.o 1 0
./build/x86/pc99/libmuslc/src/unistd/symlinkat.o 1 2
./build/x86/pc99/libmuslc/src/time/gmtime.o 1 1
./build/x86/pc99/libmuslc/src/network/gethostbyname2.o 1 4
./build/x86/pc99/libmuslc/src/thread/cnd_signal.o 1 1
./build/x86/pc99/libmuslc/src/conf/confstr.o 1 2
./build/x86/pc99/libmuslc/src/unistd/pipe2.o 2 3
./build/x86/pc99/libmuslc/src/math/tgamma.o 1 5
./build/x86/pc99/libmuslc/src/thread/pthread_setcancelstate.o 1 0
./build/x86/pc99/libmuslc/src/regex/regexec.o 4 12
./build/x86/pc99/libmuslc/src/network/res_init.o 1 0
./build/x86/pc99/libmuslc/src/math/significandf.o 1 2
./build/x86/pc99/libmuslc/src/thread/pthread_cond_destroy.o 1 2
./build/x86/pc99/libmuslc/src/network/setsockopt.o 1 2
./build/x86/pc99/libmuslc/src/misc/ffsl.o 1 0
./build/x86/pc99/libmuslc/src/stdlib/fcvt.o 1 4
./build/x86/pc99/libmuslc/src/sched/sched_getscheduler.o 1 1
./build/x86/pc99/libmuslc/src/thread/pthread_mutexattr_setprotocol.o 1 0
./build/x86/pc99/libmuslc/src/thread/pthread_mutex_setprioceiling.o 1 0
./build/x86/pc99/libmuslc/src/time/timer_gettime.o 1 2
./build/x86/pc99/libmuslc/src/network/inet_addr.o 1 1
./build/x86/pc99/libmuslc/src/network/getnameinfo.o 2 20
./build/x86/pc99/libmuslc/src/locale/setlocale.o 1 7
./build/x86/pc99/libmuslc/src/complex/casinh.o 1 1
./build/x86/pc99/libmuslc/src/complex/cpowf.o 1 3
./build/x86/pc99/libmuslc/src/stdio/sscanf.o 1 1
./build/x86/pc99/libmuslc/src/string/memccpy.o 1 0
./build/x86/pc99/libmuslc/src/legacy/valloc.o 1 1
./build/x86/pc99/libmuslc/src/ipc/ftok.o 1 1
./build/x86/pc99/libmuslc/src/time/clock_getcpuclockid.o 1 1
./build/x86/pc99/libmuslc/src/thread/pthread_setschedparam.o 1 3
./build/x86/pc99/libmuslc/src/temp/mkstemp.o 1 1
./build/x86/pc99/libmuslc/src/network/gethostbyaddr.o 1 4
./build/x86/pc99/libmuslc/src/unistd/usleep.o 1 1
./build/x86/pc99/libmuslc/src/passwd/getpw_r.o 3 4
./build/x86/pc99/libmuslc/src/network/htons.o 1 0
./build/x86/pc99/libmuslc/src/math/fdim.o 1 0
./build/x86/pc99/libmuslc/src/process/execvp.o 2 8
./build/x86/pc99/libmuslc/src/math/erfl.o 3 2
./build/x86/pc99/libmuslc/src/network/inet_ntoa.o 1 1
./build/x86/pc99/libmuslc/src/linux/signalfd.o 1 2
./build/x86/pc99/libmuslc/src/complex/cargl.o 1 1
./build/x86/pc99/libmuslc/src/stdio/ftrylockfile.o 3 0
./build/x86/pc99/libmuslc/src/ipc/semget.o 1 2
./build/x86/pc99/libmuslc/src/ctype/ispunct.o 2 1
./build/x86/pc99/libmuslc/src/complex/ccosh.o 1 8
./build/x86/pc99/libmuslc/src/misc/setpriority.o 1 2
./build/x86/pc99/libmuslc/src/math/logl.o 1 0
./build/x86/pc99/libmuslc/src/stat/chmod.o 1 2
./build/x86/pc99/libmuslc/src/string/wcsrchr.o 1 1
./build/x86/pc99/libmuslc/src/math/__expo2.o 1 1
./build/x86/pc99/libmuslc/src/dirent/readdir.o 1 2
./build/x86/pc99/libmuslc/src/thread/cnd_broadcast.o 1 1
./build/x86/pc99/libmuslc/src/stat/mkfifo.o 1 1
./build/x86/pc99/libmuslc/src/misc/openpty.o 1 6
./build/x86/pc99/libmuslc/src/time/__month_to_secs.o 1 0
./build/x86/pc99/libmuslc/src/math/copysign.o 1 0
./build/x86/pc99/libmuslc/src/signal/psignal.o 1 3
./build/x86/pc99/libmuslc/src/math/rint.o 1 0
./build/x86/pc99/libmuslc/src/thread/sem_wait.o 1 1
./build/x86/pc99/libmuslc/src/math/tanh.o 1 1
./build/x86/pc99/libmuslc/src/complex/casin.o 1 2
./build/x86/pc99/libmuslc/src/thread/cnd_destroy.o 1 0
./build/x86/pc99/libmuslc/src/network/getservbyname.o 1 1
./build/x86/pc99/libmuslc/src/string/stpcpy.o 1 0
./build/x86/pc99/libmuslc/src/math/powf.o 1 3
./projects/tools/kbuild-tool/kconfig/mconf.o 17 58
./build/x86/pc99/libmuslc/src/network/inet_pton.o 1 2
./build/x86/pc99/libmuslc/src/thread/tss_create.o 1 1
./build/x86/pc99/libmuslc/src/sched/sched_yield.o 1 2
./build/x86/pc99/libmuslc/src/math/nanf.o 1 0
./build/x86/pc99/libmuslc/src/math/atanh.o 1 1
./build/x86/pc99/libmuslc/src/math/acoshl.o 1 3
./build/x86/pc99/libmuslc/src/legacy/getdtablesize.o 1 1
./build/x86/pc99/libmuslc/src/thread/pthread_getspecific.o 1 0
./build/x86/pc99/libmuslc/src/linux/syncfs.o 1 2
./build/x86/pc99/libmuslc/src/string/wmemmove.o 1 0
./build/x86/pc99/libmuslc/src/thread/pthread_mutex_timedlock.o 1 2
./build/x86/pc99/libmuslc/src/stdlib/ecvt.o 1 2
./build/x86/pc99/libmuslc/src/unistd/readlink.o 1 2
./build/x86/pc99/libmuslc/src/signal/killpg.o 1 2
./build/x86/pc99/libmuslc/src/signal/sigprocmask.o 1 2
./build/x86/pc99/libmuslc/src/crypt/crypt_des.o 5 2
./build/x86/pc99/libmuslc/src/internal/shgetc.o 2 1
./build/x86/pc99/libmuslc/src/misc/getresuid.o 1 2
./build/x86/pc99/libmuslc/src/process/posix_spawnattr_setsigmask.o 1 0
./build/x86/pc99/libmuslc/src/unistd/lchown.o 1 2
./build/x86/pc99/libmuslc/src/multibyte/mbrlen.o 1 1
./build/x86/pc99/libmuslc/src/thread/sem_init.o 1 1
./build/x86/pc99/libmuslc/src/linux/ppoll.o 1 2
./build/x86/pc99/libmuslc/src/stdio/popen.o 2 14
./build/x86/pc99/libmuslc/src/string/wcslen.o 1 0
./build/x86/pc99/libmuslc/src/misc/getopt_long.o 3 9
./build/x86/pc99/libmuslc/src/string/swab.o 1 0
./build/x86/pc99/libmuslc/src/math/hypot.o 1 0
./build/x86/pc99/libmuslc/src/math/asin.o 3 0
./build/x86/pc99/libmuslc/src/math/atanhf.o 1 1
./build/x86/pc99/libmuslc/src/math/acos.o 3 0
./build/x86/pc99/libmuslc/src/stdio/vswprintf.o 2 4
./build/x86/pc99/libmuslc/src/unistd/ftruncate.o 1 2
./build/x86/pc99/libmuslc/src/math/fabsl.o 1 0
./build/x86/pc99/libmuslc/src/misc/getopt.o 2 8
./build/x86/pc99/libmuslc/src/thread/pthread_setcanceltype.o 1 1
./build/x86/pc99/libmuslc/src/stdio/__stdio_read.o 1 2
./build/x86/pc99/libmuslc/src/ctype/isalnum.o 2 0
./build/x86/pc99/libmuslc/src/thread/pthread_cond_wait.o 1 1
./build/x86/pc99/libmuslc/src/math/log1pl.o 1 0
./build/x86/pc99/libmuslc/src/linux/fanotify.o 2 2
./build/x86/pc99/libmuslc/src/locale/bind_textdomain_codeset.o 1 2
./build/x86/pc99/libmuslc/src/stdio/ungetc.o 1 3
./build/x86/pc99/libmuslc/src/math/log10l.o 1 0
./build/x86/pc99/libmuslc/src/process/posix_spawnattr_setsigdefault.o 1 0
./build/x86/pc99/libmuslc/src/stat/mkfifoat.o 1 1
./build/x86/pc99/libmuslc/src/internal/syscall.o 1 1
./build/x86/pc99/libmuslc/src/locale/strxfrm.o 2 2
./build/x86/pc99/libmuslc/src/thread/pthread_equal.o 1 0
./build/x86/pc99/libmuslc/src/network/res_querydomain.o 1 3
./build/x86/pc99/libmuslc/src/mman/munmap.o 2 2
./build/x86/pc99/libmuslc/src/stdio/fgets.o 1 5
./build/x86/pc99/libmuslc/src/ctype/iswpunct.o 2 0
./build/x86/pc99/libmuslc/src/thread/synccall.o 2 20
./build/x86/pc99/libmuslc/src/multibyte/wcrtomb.o 1 1
./build/x86/pc99/libmuslc/src/unistd/access.o 1 2
./build/x86/pc99/libmuslc/src/network/socketpair.o 2 3
./build/x86/pc99/libmuslc/src/unistd/tcsetpgrp.o 1 1
./build/x86/pc99/libmuslc/src/string/strspn.o 1 0
./build/x86/pc99/libmuslc/src/complex/conjl.o 1 0
./build/x86/pc99/libmuslc/src/mman/posix_madvise.o 1 1
./build/x86/pc99/libmuslc/src/thread/thrd_join.o 1 1
./build/x86/pc99/libmuslc/src/unistd/setresgid.o 1 1
./build/x86/pc99/libmuslc/src/thread/pthread_attr_setscope.o 1 0
./build/x86/pc99/libmuslc/src/math/sincos.o 1 3
./build/x86/pc99/libmuslc/src/unistd/getegid.o 1 1
./build/x86/pc99/libmuslc/src/unistd/alarm.o 1 1
./build/x86/pc99/libmuslc/src/malloc/__brk.o 1 1
./build/x86/pc99/libmuslc/src/math/atan2f.o 1 0
./build/x86/pc99/libmuslc/src/stdio/vfwprintf.o 4 12
./build/x86/pc99/libmuslc/src/prng/__rand48_step.o 1 0
./build/x86/pc99/libmuslc/src/stdlib/strtol.o 7 2
./build/x86/pc99/libmuslc/src/thread/pthread_cond_signal.o 1 2
./build/x86/pc99/libmuslc/src/locale/newlocale.o 2 5
./build/x86/pc99/libmuslc/src/misc/gethostid.o 1 0
./build/x86/pc99/libmuslc/src/thread/mtx_init.o 1 0
./build/x86/pc99/libmuslc/src/mman/msync.o 1 2
./build/x86/pc99/libmuslc/src/stdio/fputc.o 1 3
./build/x86/pc99/libmuslc/src/stat/fstatat.o 1 2
./build/x86/pc99/libmuslc/src/complex/creal.o 1 0
./build/x86/pc99/libmuslc/src/network/sendmmsg.o 1 2
./build/x86/pc99/libmuslc/src/misc/getdomainname.o 1 4
./build/x86/pc99/libmuslc/src/thread/pthread_setconcurrency.o 1 0
