Source;Target;Label;Weight
250;577;__syscall_ret;1
802;577;__syscall_ret;1
802;1040;__restore;1
802;1248;memcpy;1
802;762;__errno_location;1
802;1040;__restore_rt;1
577;762;__errno_location;1
92;847;strcmp;1
92;425;htons;1
92;484;__lookup_serv;1
911;1118;realloc;1
911;1034;strchr;1
911;894;unsetenv;1
911;244;memcmp;1
911;1118;malloc;1
911;1248;memcpy;1
911;908;calloc;1
911;1118;free;1
75;420;fprintf;1
75;936;strsignal;1
270;577;__syscall_ret;1
270;814;__syscall_cp;1
1164;814;__syscall_cp;1
1164;577;__syscall_ret;1
1128;1186;fegetround;1
515;1248;memcpy;1
215;9;wcwidth;1
813;810;vfscanf;1
1219;577;__syscall_ret;1
563;1229;__clock_gettime;1
193;577;__syscall_ret;1
972;292;vswscanf;1
171;1186;feclearexcept;1
171;1186;fegetround;1
171;373;fesetround;1
171;1186;feraiseexcept;1
171;1186;fetestexcept;1
248;950;fgetwc;1
212;137;sigprocmask;1
212;649;sigdelset;1
212;785;sigsuspend;1
239;514;__clone;1
239;577;__syscall_ret;1
126;762;__errno_location;1
126;1248;memcpy;1
126;1055;mkdir;1
126;1101;__randname;1
126;396;strlen;1
126;244;memcmp;1
1260;926;__lgammaf_r;1
849;577;__syscall_ret;1
264;577;__syscall_ret;1
426;507;ioctl;1
1195;546;__lock;1
1195;546;__unlock;1
194;392;wcsncasecmp;1
898;982;atan2l;1
898;763;logl;1
224;1248;memcpy;1
224;1116;strnlen;1
224;693;strncmp;1
224;777;memset;1
224;244;memcmp;1
804;1229;__clock_gettime;1
314;1058;localtime;1
314;633;asctime;1
714;319;strcspn;1
714;555;strspn;1
1212;814;__syscall_cp;1
1212;577;__syscall_ret;1
79;516;mq_timedsend;1
704;1118;free;1
704;1118;malloc;1
704;752;vsnprintf;1
632;1031;mbsrtowcs;1
632;1217;mbrtowc;1
135;1248;memcpy;1
135;777;memset;1
181;1087;fabsl;1
181;986;__signbitl;1
181;991;frexpl;1
