#numlinks numfiles_with_numlinks
3 127
69 32
7 90
1 443
1 206
2 118
10 71
2 102
159 16
19 55
6 84
2 233
25 57
1 424
1 368
1 3401
2 163
2 175
59 31
1 849
46 35
257 11
4 208
13 93
1 292
60 29
1 350
1 374
1 199
2 114
1 226
18 58
2 153
184 15
3 101
12 73
9 76
8 62
15 67
1 241
3 198
3 129
1 859
1 876
2 280
1 273
1 249
1 202
7 168
1 218
2 135
189 14
26 49
3 178
99 24
4 140
4 104
2 124
2 181
2 154
2626 0
111 23
1 388
6 96
23 47
1 367
341 8
3 98
43 37
36 43
1 195
346 5
134 21
1 193
2 288
3 119
2 162
2 351
9 74
1 240
1 246
1 4870
17 61
1 230
4 115
5 103
1 201
1 415
2 113
1 189
1 1277
1 266
5 91
4 107
3 87
7 77
1 214
4 221
34 39
10 64
9 97
248 12
41 41
31 52
1 302
1 897
42 45
1 260
1 573
1 370
13 68
1 188
1 402
245 1
2 116
3 136
1 416
2 144
3 100
2 222
107 25
1 120
10 83
1 381
1 305
1 122
6 143
1 269
1 878
3 158
105 22
39 42
32 46
1 1820
391 6
50 36
6 94
13 51
1 1260
1 711
3 169
2 171
1 1539
1 407
2 200
168 18
2 125
31 44
76 27
2 190
2 161
6 95
2 582
135 20
3 231
6 109
2 151
2 148
11 78
1 1380
1 397
1 857
4 106
1 157
1 275
12 65
2 197
1 203
1 1242
8 138
1 1208
1 606
1 137
5 81
22 60
8 86
1 1248
1 346
170 17
279 2
1 186
1 1274
1 3829
4 110
1 82
2 147
1 339
1 710
2 268
1 345
13 69
3 112
1 172
2 596
2 319
1 224
1 187
1 404
2 516
1 974
1 262
9 79
1 121
1 352
1 2163
3 126
1 238
2 176
1 256
1 117
1 574
74 33
11 63
333 7
71 26
14 80
1 227
2 99
1 526
12 72
1 179
2 297
1 963
1 182
4 108
2 92
1 20825
1 717
304 10
2 142
2 207
2 263
1 167
26 48
2 360
1 419
2 133
1 149
4 123
33 50
1 631
1 854
1 210
1 258
1 396
2 173
1 510
1 530
18 56
1 499
12 66
150 19
29 54
2 274
12 70
2 166
5 88
63 30
2 141
1 403
1 128
1 252
69 28
38 40
14 75
4 156
1 283
2 134
1 618
1 421
12 59
1 687
1 2098
3 150
3 130
2 155
27 53
2 245
1 267
1 219
227 13
3 105
11 85
268 3
2 185
1 332
284 9
3 111
3 146
40 38
1 408
404 4
53 34
1 164
1 736
