#numlinks numfiles_with_numlinks
3 127
88 32
18 90
1 206
26 71
7 118
9 102
1 407
1 200
152 18
10 125
151 16
61 44
32 55
13 84
112 27
3 161
2 190
1 194
12 95
30 57
1 220
147 20
7 109
18 89
1 175
1 148
86 31
80 35
169 11
20 78
1 397
19 93
5 106
1 325
28 65
92 29
2 197
1 203
1 261
3 138
4 114
1 226
31 58
2 211
153 15
1 137
13 81
29 60
9 101
20 73
23 76
10 86
33 62
2 247
24 67
4 139
4 129
1 911
2556 2
171 17
1 327
1 186
15 82
4 110
5 147
1 228
1 218
1 135
157 14
24 69
6 112
2 172
1 191
3 145
49 49
3 178
143 24
1 187
4 140
1 223
2 124
7 104
3 131
1 234
1 307
1 262
14 79
3 121
3 154
412 0
131 23
6 96
2 126
3 159
2 326
2 160
1 176
56 47
206 8
1 209
9 98
1 216
78 37
4 117
62 43
3 270
207 5
1 170
93 33
171 21
36 63
213 7
125 26
18 80
1 193
5 119
12 99
1 179
33 72
1 264
21 74
1 440
32 61
4 108
5 115
19 92
5 103
1 232
191 10
6 113
2 152
1 189
5 142
11 91
2 167
12 107
40 48
16 87
1 474
1 174
1 692
23 77
2 133
1 290
4 123
42 50
71 39
1 210
40 64
12 97
172 12
49 41
44 52
3 173
30 56
1 229
40 66
54 45
149 19
25 54
1 237
1 309
35 70
2 188
33 68
3 166
143 1
2 136
4 116
9 88
4 141
116 30
2 144
1 946
7 100
133 25
4 128
6 120
115 28
1 286
2 156
20 75
12 83
5 134
66 40
1 192
1 381
29 59
1 177
3 150
4 130
1 155
1 217
24 53
2 328
1 267
5 122
1 205
3 158
136 22
59 42
2 219
42 46
144 13
9 105
1 235
1 473
204 6
1 694
1 782
15 85
85 36
201 3
4 94
3 146
211 9
50 51
13 111
1 472
69 38
198 4
68 34
2 132
2 169
1 164
2 171
