#function_name function_calls
rx 173064
ca 148056
or 111992
wr 36274
cl 29848
CA 26836
state 19020
mdio_read 18821
init 15522
stop 14514
set_multicast_list 13644
mdio_write 13473
init_module 10678
start 9918
set_rx_mode 8370
phy_write 8088
cleanup_module 6845
netdev_priv 6381
PORT 6150
get_stats 5190
speed 4581
receive 4538
delay 4527
phy_read 4440
read_eeprom 4240
wait 3732
rx_ring 3601
tx_ring 3569
restart 3477
timeout 3403
_phy_write 3222
probe 3128
mdio 3088
ior 2580
tx_timeout 2572
transmit 2256
txd 2239
rxd 2093
get_drvinfo 1980
iow 1865
get_regs 1862
get_settings 1794
PRIV 1707
connect 1675
_phy_read 1538
set_settings 1506
start_xmit 1440
writeq 1374
write_phy 1357
set_mac_address 1341
start_tx 1316
associate 1278
write_reg 1262
get_eeprom 1212
ecm 1211
match 1193
get_link 1110
checksum 1105
get_msglevel 1026
set_msglevel 1014
pcm 997
get_regs_len 987
eeprom_read 980
rtl8225_write 964
phy_init 944
isr 934
update_stats 930
cleanup_card 912
change_mtu 894
read_reg 872
intr_handler 860
readq 831
write_phy_reg 823
netdev_get_drvinfo 820
b43_phy_write 816
net_open 796
init_ring 780
read_phy 699
fini 682
type_trans 640
dma_rx 612
dma_free 606
idle 593
b43_phy_mask 592
reg_write 585
read_phy_reg 575
mod_phy_reg 562
set_multicast 549
tx_complete 546
get_sset_count 544
set_mac_addr 537
b43legacy_phy_write 536
writereg 531
get_strings 528
remove_one 525
hw_init 510
wrl 510
join 504
b43_radio_write 500
disconnect 479
write_radio_reg 478
tx_error 475
init_one 471
rdl 452
nway_reset 450
dma_alloc 450
download 447
net_close 440
link_status 423
mii_read 418
reg_read 410
get_wol 405
b43_phy_maskset 392
netdev_tx 383
mii_wr 378
get_eeprom_len 376
do_stop 375
do_open 373
do_start_xmit 368
send_packet 354
mii_write 350
netdev_ioctl 350
net_rx 340
mii_ioctl 336
encode 309
b43legacy_phy_read 305
set_wol 300
phy_reset 298
b43_phy_read 295
te_config 293
bnx2x_cl45_write 285
alloc_ring 275
enable_rx 274
rt2800_rfcsr_write 268
free_ring 258
set_int 243
set_coalesce 243
mdio_sync 240
efx_mcdi 236
tx_start 236
lance_init_ring 234
get_pauseparam 231
immediate 229
lance_rx 228
netdev_open 228
write_eeprom 228
wlc_phy_table_write_nphy 228
rx_data 226
bnx2x_init 222
b43_phy_set 222
hw_reset 220
lance_open 217
readreg 216
header_len 213
netdev_get_msglevel 210
netdev_set_msglevel 210
random 207
set_pauseparam 207
do_ioctl 206
init_rx 206
init_registers 196
bnx2x_cl45_read 195
dev_to_port 192
gm_phy_write 192
tx_done 192
tx_data 190
get_res 189
init_phy 188
prepare_tx 184
dequeue 184
rx_irq 184
rx_int 181
mod_init 180
