# #function_calls #occurrences_with_x_func_calls
1 444
2 15345
3 7083
4 3740
5 1854
6 1113
7 667
8 662
9 362
10 284
11 190
12 236
13 131
14 166
15 91
16 121
17 55
18 112
19 51
20 76
21 50
22 48
23 30
24 40
25 24
26 28
27 34
28 27
29 19
30 38
31 16
32 22
33 23
34 22
35 12
36 27
37 10
38 12
39 16
40 16
41 8
42 21
43 12
44 15
45 8
46 9
47 5
48 13
49 5
50 10
51 7
52 8
53 5
54 9
55 8
56 14
57 4
58 4
59 5
60 1
61 3
62 3
63 6
64 4
65 4
66 6
67 3
68 5
69 5
70 2
71 2
72 6
73 4
74 2
75 3
76 5
77 2
78 5
79 1
80 2
81 2
82 3
84 5
86 1
87 2
88 4
89 3
90 1
92 3
94 3
95 1
96 3
97 1
98 2
99 1
100 2
101 1
102 3
103 1
104 1
105 2
106 2
107 1
108 4
109 2
110 1
112 3
113 1
117 1
118 1
119 1
120 3
122 1
123 2
124 1
126 2
127 1
128 4
131 1
132 1
134 1
135 1
137 1
138 2
140 3
143 1
146 1
147 1
148 2
150 1
152 2
154 1
156 1
160 2
161 1
162 1
168 1
170 1
171 3
175 1
176 1
180 1
181 1
184 3
188 1
189 1
190 1
192 3
195 1
196 1
206 2
207 2
210 2
213 1
216 1
217 1
220 1
222 2
226 1
228 4
229 1
231 1
234 1
236 2
240 1
243 2
258 1
268 1
274 1
275 1
285 1
293 1
295 1
298 1
300 1
305 1
309 1
336 1
340 1
350 2
354 1
368 1
373 1
375 1
376 1
378 1
383 1
392 1
405 1
410 1
418 1
423 1
440 1
447 1
450 2
452 1
471 1
475 1
478 1
479 1
500 1
504 1
510 2
525 1
528 1
531 1
536 1
537 1
544 1
546 1
549 1
562 1
575 1
585 1
592 1
593 1
606 1
612 1
640 1
682 1
699 1
780 1
796 1
816 1
820 1
823 1
831 1
860 1
872 1
894 1
912 1
930 1
934 1
944 1
964 1
980 1
987 1
997 1
1014 1
1026 1
1105 1
1110 1
1193 1
1211 1
1212 1
1262 1
1278 1
1316 1
1341 1
1357 1
1374 1
1440 1
1506 1
1538 1
1675 1
1707 1
1794 1
1862 1
1865 1
1980 1
2093 1
2239 1
2256 1
2572 1
2580 1
3088 1
3128 1
3222 1
3403 1
3477 1
3569 1
3601 1
3732 1
4240 1
4440 1
4527 1
4538 1
4581 1
5190 1
6150 1
6381 1
6845 1
8088 1
8370 1
9918 1
10678 1
13473 1
13644 1
14514 1
15522 1
18821 1
19020 1
26836 1
29848 1
36274 1
111992 1
148056 1
173064 1
