Source;Target;Label;Weight
2180;2283;;11
2180;2376;;23
2180;2383;;1
2180;2382;;152
2180;2180;;85
2180;2302;;1
2180;2092;;6
1410;2382;;2
1410;2367;;8
1410;2118;;8
1410;1410;;238
1964;2373;;52
1964;1964;;76
2349;2283;;8
2349;2349;;99
2349;2382;;69
2349;2302;;2
2349;2287;;3
2349;2181;;14
2349;1999;;8
2131;2382;;10
2131;2355;;16
2131;2092;;14
1930;2283;;2
1930;2264;;228
1930;2382;;12
1930;1930;;66
741;2382;;8
2331;2331;;973
2331;2382;;22
2331;2294;;2
2331;2355;;18
2331;2092;;12
2331;2377;;2
2343;2283;;18
2343;2382;;34
2343;2355;;36
2343;2343;;102
2343;2092;;16
2343;2358;;4
1808;2382;;124
1808;2092;;10
1808;1808;;99
2198;2283;;28
2198;2382;;59
2198;2287;;4
2198;2198;;304
2376;2376;;87
2376;2382;;6
2376;2092;;3
2023;2382;;8
2023;2023;;20
2365;2283;;71
2365;2382;;219
2365;2090;;13
2365;2365;;2
2365;2287;;6
1627;1627;;1
1627;2283;;9
1627;2294;;6
1627;2382;;10
1627;2355;;15
1627;2092;;4
1627;606;;1
2318;2283;;32
2318;2318;;3104
2318;2382;;8
2318;2217;;8
2067;2283;;18
2067;2067;;144
2067;2294;;14
2067;2382;;18
2067;2355;;44
2067;2092;;24
2320;2320;;1426
2320;2057;;8
2320;2247;;4
2320;2287;;6
1952;2382;;42
1952;1952;;29
1882;2349;;10
1882;2382;;62
1882;2118;;48
1882;1882;;68
2171;2171;;88
2171;2382;;8
2316;2283;;18
2316;2316;;428
2316;2382;;24
2316;2373;;18
2367;2382;;10
2367;2367;;232
2367;2118;;82
2367;2181;;2
1556;1556;;2
2160;2283;;18
2160;2382;;30
2160;2355;;32
2160;2092;;8
2160;2160;;754
2160;606;;4
2203;2283;;11
2203;2382;;7
2203;2092;;6
2203;2203;;105
2203;606;;1
606;2382;;9
606;2092;;2
2252;2383;;24
2252;2382;;241
2252;2092;;70
2252;2181;;6
2252;606;;7
2252;2283;;105
2252;2349;;5
2252;2023;;6
2252;1999;;8
2073;2283;;52
2073;2073;;10
2073;2382;;128
2073;2092;;28
1506;2283;;8
1506;2383;;10
1506;2382;;121
1506;2287;;2
1506;2181;;2
1506;1506;;77
2335;2383;;39
2335;2382;;1703
2335;2335;;211
2335;2092;;1169
2335;2181;;8
2335;2283;;76
2335;2211;;2
2335;2118;;10
2335;2287;;4
2335;1506;;20
1958;2283;;797
1958;2382;;184
1958;1958;;199
1958;2287;;99
2351;2382;;60
2351;2211;;8
2351;2302;;24
2351;2023;;6
2351;2351;;776
1990;2283;;28
1990;2382;;70
1990;2373;;46
1990;2157;;2
1990;2287;;8
1990;1990;;484
1999;2283;;29
1999;2382;;34
1999;1999;;187
2280;2283;;3
2280;2280;;18
2280;2382;;3
1816;1816;;22
1816;2382;;90
1816;2302;;17
1816;1508;;6
1816;2351;;55
1816;2283;;63
1816;2073;;8
1816;2211;;2
1816;2023;;11
2301;2301;;95
1705;2313;;6
1705;2382;;6
1705;1705;;42
1938;2367;;8
1938;1938;;606
2233;2283;;346
2233;2382;;6
2233;2233;;266
1881;1334;;17
2217;2382;;6
2217;1784;;1
2217;2217;;120
2142;2264;;4
2345;2345;;70
2345;2382;;8
2345;2373;;138
2333;2333;;938
2333;2283;;58
2333;2382;;400
2333;2373;;72
2210;2210;;228
2210;2382;;12
2210;2373;;198
2381;2294;;5
2381;2382;;21
2381;2355;;246
2381;2381;;552
2381;2118;;26
2381;2092;;76
2381;1429;;168
2262;2283;;32
2262;2382;;82
2262;2262;;232
2375;2294;;184
2090;2090;;38
2111;2056;;8
1179;1784;;1
2328;2283;;12
2328;2294;;14
2328;2382;;24
2328;2355;;8
2328;2092;;30
2328;2328;;452
2328;2222;;2
2046;2283;;4
2046;2313;;15
2046;2382;;44
2046;2211;;12
2046;2046;;56
2052;2313;;5
2052;2052;;49
2222;2382;;6
2222;2092;;66
2222;2222;;526
2352;2352;;380
2352;2313;;12
2352;2382;;130
2352;2287;;8
2264;2283;;16
2264;2264;;1276
2264;2382;;54
2264;2092;;10
2264;2038;;6
2264;2287;;28
2057;2057;;18
1429;2283;;18
1429;2382;;26
1429;1429;;126
2181;2283;;4
2181;2383;;1
2181;2382;;25
2181;2181;;47
2361;2283;;611
2361;2383;;26
2361;2382;;361
2361;2361;;2103
2361;2302;;14
2361;2181;;24
2372;2382;;1138
2372;2057;;16
2372;2287;;4
2372;2372;;1256
2306;2264;;298
2306;2382;;8
2306;2306;;92
2088;1784;;4
2088;2088;;34
2235;2235;;88
2235;2287;;4
1166;1166;;5
1166;2313;;1
1166;2052;;2
2383;2283;;55
2383;2056;;34
2383;2382;;147
2383;2383;;3722
2383;2118;;22
2383;2302;;16
2383;2281;;14
2383;2181;;28
2339;2283;;347
2339;2383;;90
2339;2382;;136
2339;2339;;404
2195;2382;;86
2195;2383;;3
2195;2287;;3
2195;2195;;43
1133;2382;;12
1133;1133;;20
2283;2283;;417
2283;2382;;174
2283;2302;;28
2283;2181;;1
1381;2283;;14
1381;2382;;17
1381;1381;;62
1381;2217;;75
2267;2283;;124
2267;2382;;97
2267;2267;;5
2207;2382;;14
2207;2207;;168
2207;2355;;34
2207;2092;;6
2377;2294;;10
2377;2382;;12
2377;2355;;24
2377;2118;;12
2377;2092;;34
2377;2377;;383
1923;2382;;14
2355;2382;;12
2355;2355;;120
2317;2264;;1814
2317;2383;;30
2317;2382;;28
2317;2092;;44
2317;2281;;2
2317;2181;;6
2317;606;;2
2317;2283;;86
2317;2287;;30
2317;2038;;10
2317;2317;;4430
1585;2264;;36
2230;2283;;46
2230;2382;;53
2230;2287;;3
2230;2230;;342
2193;2193;;90
2193;1784;;2
2080;2283;;12
2080;2382;;6
2080;2080;;142
2080;2217;;32
2092;2382;;73
2092;2092;;46
2092;2302;;7
1334;2382;;2
1334;2287;;4
1334;1334;;128
1334;1881;;7
1413;2283;;17
1413;2382;;4
1413;2200;;3
1784;1784;;808
2272;2382;;137
2272;2302;;3
2272;2092;;32
2272;2181;;2
2272;2349;;77
2272;2211;;10
2272;2118;;133
2272;2023;;2
2211;2349;;6
2211;2382;;138
2211;2211;;92
2211;2023;;7
2211;2118;;4
2211;2092;;24
2211;2181;;1
2118;2349;;26
2118;2382;;102
2118;2118;;160
2118;2287;;7
2118;2181;;1
1898;2283;;2
1898;2264;;172
1898;1898;;38
2330;2382;;10
2330;2330;;208
2330;2090;;6
2330;1999;;14
2077;2283;;10
2077;2382;;27
2077;2077;;16
2357;2382;;240
2357;2335;;2
2357;2302;;5
2357;2092;;21
2357;2181;;1
2357;2357;;248
2357;2349;;50
2357;2118;;315
2357;2023;;7
2370;2283;;163
2370;2382;;19
2370;1784;;20
2370;2370;;4315
2370;2287;;6
2189;2264;;148
2189;2189;;82
2287;2283;;404
2287;2383;;12
2287;2382;;196
2287;2335;;3
2287;2118;;17
2287;2287;;184
2287;2181;;4
2287;1999;;48
2348;1784;;2
2348;2348;;100
1695;2283;;27
1695;2073;;7
1695;2382;;13
1695;1952;;22
1907;2264;;36
1907;1907;;182
1907;2382;;52
1907;2092;;30
1424;2382;;31
1424;1424;;20
1424;2351;;115
2074;2382;;31
2074;2074;;2
2378;2382;;46
2378;2287;;10
2378;2378;;690
2321;2283;;38
2321;2382;;34
2321;2378;;174
2321;2321;;83
2364;2283;;162
2364;2382;;129
2364;2211;;2
2364;2090;;32
2364;2181;;2
2364;2364;;726
1749;2264;;66
1749;1749;;320
1749;2382;;2
1749;2287;;8
1451;2283;;3
1451;1451;;14
1451;2382;;61
1451;2023;;7
1451;2092;;11
2294;2382;;42
2294;2294;;72
2294;2118;;43
1762;2283;;68
1762;2294;;20
1762;1762;;243
1762;2382;;40
1762;2355;;4
1762;2092;;25
1762;606;;3
2128;2180;;5
2128;2382;;87
2128;2383;;4
2128;2092;;6
2128;2181;;1
2128;2211;;10
2128;2118;;95
2128;2287;;2
1579;2283;;22
1579;2382;;66
1579;1579;;100
1579;2247;;8
1579;1133;;24
2157;2283;;9
2157;2382;;9
2157;2355;;17
2157;2092;;6
2157;2334;;21
2157;2157;;50
1508;2283;;34
1508;2382;;22
1508;1508;;10
2371;2382;;38
2371;2287;;2
2371;2351;;72
2371;2371;;58
1141;2382;;47
1141;2373;;44
1141;2287;;1
2360;2283;;1
2360;2360;;122
2360;2349;;422
2360;2382;;217
2360;2092;;9
2360;2118;;416
2360;2181;;8
2038;2283;;26
2038;2382;;2
2038;2038;;10
2038;2287;;2
2366;1965;;42
2366;2382;;290
2366;2118;;109
2366;2287;;2
2366;2366;;193
2309;1784;;2
2309;2309;;90
2384;2382;;13
2384;2092;;8
2384;2384;;216
2151;2283;;18
2151;2382;;18
2151;2355;;44
2151;2151;;8
2151;2092;;58
1337;2283;;10
1337;2382;;13
1337;2355;;14
1337;2092;;3
1337;2358;;1
1337;606;;1
2334;2283;;36
2334;2294;;22
2334;2382;;40
2334;2092;;16
2334;2334;;444
2334;606;;2
2313;2313;;201
2313;2382;;42
2205;1784;;2
2205;2382;;356
2205;2205;;246
2332;2383;;2584
2332;2332;;4127
2358;2382;;58
2358;2355;;22
2358;2092;;265
2358;2358;;2346
2165;2165;;292
2165;2382;;16
2298;2283;;46
2298;2264;;480
2298;2298;;4262
2298;1749;;134
2298;2383;;30
2298;2382;;74
2298;2335;;6
2298;2092;;28
2298;2038;;6
2363;2264;;2238
2363;2383;;8
2363;2382;;636
2363;2363;;11322
2363;2335;;6
2363;2092;;18
2363;606;;2
2363;2283;;46
2363;1749;;214
2363;2038;;4
2382;2382;;724
2382;2302;;16
1707;2382;;11
1707;2355;;17
1707;1707;;2
1707;2118;;8
2247;2382;;10
2247;2247;;8
1807;2382;;42
1807;2092;;14
1807;1807;;5864
1892;2382;;16
1892;2351;;60
1892;1892;;8
1016;2382;;14
1016;1016;;84
1016;2092;;12
2323;2283;;20
2323;2382;;30
2323;2323;;106
2323;2118;;38
1820;1820;;1
2325;2349;;35
2325;2382;;142
2325;2211;;2
2325;2077;;91
2325;2118;;335
2325;1999;;34
2353;2382;;2
2353;2367;;10
2353;2353;;464
2353;2181;;12
2300;2382;;29
2300;2092;;27
2300;2300;;1
2296;2283;;33
2296;2313;;33
2296;2382;;23
2296;2296;;4
1576;2283;;13
1576;2382;;1
1576;2287;;1
1576;1576;;5
2291;2283;;27
2291;2313;;27
2291;2382;;31
2291;2291;;8
2291;2052;;28
562;562;;56
562;2382;;124
2373;2382;;110
2373;2373;;1174
2373;2157;;2
2373;2287;;12
2200;2283;;22
2200;2382;;16
2200;2200;;12
2200;2287;;6
2302;2382;;46
2302;2302;;114
2380;2294;;20
2380;2382;;86
2380;2355;;42
2380;2118;;18
2380;2092;;46
2380;2380;;1068
2380;2358;;230
2281;2283;;55
2281;2382;;16
2281;2383;;22
2281;2281;;241
2281;2181;;2
2329;2264;;88
2329;2382;;4
2368;2294;;12
2368;2382;;19
2368;2355;;13
2368;2351;;23
2368;2368;;107
1965;1965;;100
1965;2382;;82
1965;2302;;2
1965;2118;;4
1965;2366;;36
1478;1478;;6
1478;2382;;97
1478;2118;;219
2342;2342;;246
2342;2382;;8
2342;2373;;20
2342;2287;;2
2342;2157;;10
2056;2056;;64
2056;2382;;4
