Source;Target;Label;Weight
0;;mutex_lock;1
0;;simple_strtoul;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;;sprintf;1
0;;sprintf;1
0;;sprintf;1
0;;simple_strtoul;1
0;1686;dev_get_drvdata;1
0;;mutex_lock;1
0;1686;dev_get_drvdata;1
0;291;i2c_smbus_write_byte_data;3
0;291;i2c_smbus_write_word_data;1
0;;mutex_unlock;1
0;;sprintf;1
0;291;i2c_smbus_read_word_data;1
0;1686;dev_get_drvdata;1
0;;sprintf;1
0;;mutex_lock;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;;sprintf;1
0;;mutex_lock;1
0;;simple_strtoul;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;1897;vid_from_reg;1
0;;sprintf;1
0;;mutex_lock;1
0;1686;dev_get_drvdata;1
0;291;i2c_smbus_write_byte_data;2
0;291;i2c_smbus_read_byte_data;2
0;;mutex_unlock;1
0;291;i2c_del_driver;1
0;;sprintf;1
0;;sprintf;1
0;291;i2c_unregister_device;2
0;;kfree;1
0;1686;dev_get_drvdata;1
0;;sysfs_remove_group;1
0;473;hwmon_device_unregister;1
0;;strlcpy;1
0;291;i2c_smbus_write_byte_data;1
0;291;i2c_smbus_read_byte_data;5
0;;sprintf;1
0;;sprintf;1
0;;simple_strtol;1
0;;mutex_lock;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;;mutex_lock;1
0;;simple_strtoul;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;;kfree;1
0;;__mutex_init;2
0;1686;dev_get_drvdata;2
0;1897;vid_which_vrm;1
0;;sysfs_create_group;1
0;;sysfs_remove_group;1
0;1686;dev_set_drvdata;1
0;291;i2c_new_dummy;2
0;2119;dev_err;3
0;291;i2c_unregister_device;3
0;;kmem_cache_alloc_trace;1
0;473;hwmon_device_register;1
0;;sprintf;1
0;;mutex_lock;1
0;;simple_strtoul;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;;mutex_lock;1
0;;simple_strtoul;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;;mutex_lock;1
0;;simple_strtoul;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
0;291;i2c_register_driver;1
0;;sprintf;1
0;;simple_strtol;1
0;;mutex_lock;1
0;1686;dev_get_drvdata;1
0;;mutex_unlock;1
1;2205;gigaset_block_channels;1
1;;kfree;1
1;;_raw_spin_unlock_irqrestore;2
1;439;gigaset_isdn_hupD;1
1;;_raw_spin_lock_irqsave;2
1;;kstrtou8;2
1;2119;dev_warn;2
1;;kstrtoint;2
1;;kstrdup;1
1;2119;dev_err;3
1;;_raw_spin_unlock_irqrestore;1
1;;strcmp;2
1;;_raw_spin_lock_irqsave;1
1;2205;gigaset_add_event;1
1;;strlen;1
1;2119;dev_err;7
1;;__kmalloc;1
1;;_raw_spin_unlock_irqrestore;18
1;;simple_strtoul;1
1;;kmem_cache_alloc_trace;4
1;;__wake_up;1
1;;strcmp;1
1;;kfree;6
1;439;gigaset_isdn_start;1
1;;snprintf;4
1;2205;gigaset_get_channels;1
1;2119;dev_warn;10
1;2205;gigaset_bcs_reinit;1
1;2205;gigaset_get_channel;1
1;2205;gigaset_free_channel;1
1;439;gigaset_isdn_hupB;1
1;2205;gigaset_free_channels;4
1;439;gigaset_isdn_connB;1
1;439;gigaset_isdn_icall;1
1;439;gigaset_isdn_connD;2
1;439;gigaset_isdn_hupD;1
1;2205;gigaset_at_init;1
1;;_raw_spin_lock_irqsave;15
1;2119;dev_notice;1
1;2205;gigaset_add_event;2
1;2205;gigaset_add_event;1
1;439;gigaset_isdn_stop;1
1;;__wake_up;1
1;2205;gigaset_block_channels;1
1;2119;dev_warn;2
1;2205;gigaset_free_channels;1
2;;sprintf;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;sprintf;2
2;;sprintf;1
2;;sprintf;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;291;i2c_smbus_read_byte_data;1
2;;mutex_unlock;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;291;i2c_del_driver;1
2;;sprintf;2
2;;sprintf;1
2;;sprintf;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;sprintf;1
2;;sprintf;1
2;;strlcpy;1
2;291;i2c_smbus_read_byte_data;3
2;;sprintf;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;mutex_lock;1
2;291;i2c_smbus_write_byte_data;1
2;;mutex_unlock;1
2;291;i2c_register_driver;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_read_byte_data;23
2;;mutex_unlock;1
2;;sprintf;1
2;;kfree;1
2;;__mutex_init;1
2;;kmem_cache_alloc_trace;1
2;;sysfs_create_group;1
2;473;hwmon_device_register;1
2;;sysfs_remove_group;1
2;1686;dev_set_drvdata;1
2;2119;_dev_info;1
2;;sprintf;2
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;sprintf;2
2;1686;dev_get_drvdata;1
2;;_kstrtol;1
2;;sprintf;1
2;;sprintf;1
2;;sprintf;1
2;;sprintf;2
2;1686;dev_get_drvdata;1
2;;_kstrtol;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;sprintf;1
2;;sprintf;2
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;kfree;1
2;1686;dev_get_drvdata;1
2;;sysfs_remove_group;1
2;473;hwmon_device_unregister;1
2;;mutex_lock;1
2;1686;dev_get_drvdata;1
2;291;i2c_smbus_write_byte_data;1
2;;_kstrtol;1
2;;mutex_unlock;1
2;;sprintf;1
3;;on_each_cpu;1
3;;panic;1
3;1119;pci_bus_read_config_word;1
3;;put_page;1
3;;set_pages_array_wb;1
3;;__free_pages;1
3;;printk;1
3;;__get_free_pages;2
3;;set_memory_uc;1
3;1119;pci_bus_write_config_dword;2
3;1119;pci_bus_read_config_dword;2
3;1119;pci_bus_write_config_word;1
3;1119;pci_bus_write_config_dword;2
3;1119;pci_bus_read_config_dword;1
3;3;agp_generic_alloc_user;1
3;3;agp_free_memory;1
3;3;agp_create_memory;1
3;;free_pages;1
3;;set_memory_wb;1
3;3;agp_free_page_array;1
3;;kfree;1
3;3;agp_generic_free_by_type;1
3;3;agp_unbind_memory;1
3;;_raw_spin_lock;1
3;;printk;1
3;;__alloc_pages_nodemask;1
3;;__get_page_tail;1
3;;set_pages_array_uc;1
3;2283;pci_find_capability;1
3;1119;pci_bus_write_config_dword;1
3;1238;pci_get_device;1
3;2119;_dev_info;1
3;3;agp_num_entries;1
3;;__kmalloc;1
3;;vmalloc;1
3;2283;pci_find_capability;1
3;;printk;14
3;1119;pci_bus_read_config_dword;1
3;635;pci_dev_put;1
3;1238;pci_get_class;1
3;;_raw_spin_lock;1
3;;printk;1
3;;kmem_cache_alloc_trace;1
3;1119;pci_bus_write_config_dword;1
3;1119;pci_bus_read_config_dword;1
3;;kfree;1
3;;vfree;1
3;1119;pci_bus_read_config_dword;1
3;3;agp_free_page_array;1
3;;kfree;1
3;;find_first_zero_bit;1
3;;kfree;1
3;3;agp_alloc_page_array;1
3;;put_page;1
3;;set_pages_wb;1
3;;__free_pages;1
3;;set_pages_uc;1
3;;__alloc_pages_nodemask;1
3;;__get_page_tail;1
3;1119;pci_bus_write_config_dword;1
3;3;get_agp_version;1
3;3;agp_device_command;1
3;3;agp_collect_device_status;1
3;1119;pci_bus_read_config_dword;2
3;1463;agp_3_5_enable;1
3;2119;_dev_info;2
3;;find_first_zero_bit;1
3;;kfree;1
3;3;agp_alloc_page_array;1
4;;warn_slowpath_null;1
4;;sg_next;1
4;2226;dmam_alloc_coherent;2
4;509;devm_kzalloc;1
4;;msleep;2
4;1075;ata_host_activate;1
4;509;devm_kzalloc;1
4;2283;pcim_enable_device;1
4;;pcim_iomap_regions;1
4;;pcim_iomap_table;1
4;1075;ata_host_alloc_pinfo;1
4;2119;dev_err;2
4;2283;pci_set_master;1
4;1075;ata_port_pbar_desc;4
4;1075;ata_print_version;1
4;;dma_supported;1
4;2283;pci_set_dma_max_seg_size;1
4;;dma_set_mask;1
4;1075;ata_std_error_handler;1
