#filename inlinks outlinks
./drivers/media/rc/keymaps/rc-pinnacle-grey.mod.o 0 2
./drivers/usb/misc/sisusbvga/sisusb_init.o 4 7
./drivers/input/tablet/kbtab.o 9 24
./net/802/hippi.o 8 5
./arch/x86/kvm/kvm-intel.mod.o 0 2
./drivers/char/agp/built-in.o 274 105
./drivers/net/ethernet/dec/tulip/interrupt.o 7 21
./fs/afs/netdevices.o 2 5
./net/netfilter/xt_TRACE.mod.o 0 2
./net/ipv4/netfilter/nf_nat_proto_gre.o 7 6
./fs/hugetlbfs/built-in.o 28 85
./arch/x86/boot/compressed/misc.o 38 4
./scripts/kconfig/lxdialog/checklist.o 4 42
./drivers/usb/host/pci-quirks.o 12 20
./drivers/usb/serial/digi_acceleport.o 27 43
./drivers/acpi/ac.mod.o 0 2
./arch/x86/boot/cpucheck.o 2 0
./drivers/input/keyboard/stowaway.o 7 16
./drivers/block/paride/on20.mod.o 0 2
./net/netfilter/xt_recent.mod.o 0 2
./drivers/watchdog/mixcomwd.o 9 21
./drivers/media/video/cx23885/cx23885-i2c.o 8 12
./arch/x86/boot/compressed/piggy.o 0 0
./drivers/net/ethernet/micrel/ks8842.mod.o 0 2
./sound/pci/vx222/vx222_ops.o 25 10
./sound/pci/snd-ens1371.mod.o 0 2
./drivers/video/aty/radeonfb.o 71 83
./drivers/gpu/drm/nouveau/nv30_fb.o 5 2
./drivers/ide/ide-pnp.o 7 11
./drivers/net/ethernet/intel/ixgbe/ixgbe_phy.o 28 4
./drivers/leds/led-core.o 0 0
./sound/pci/hda/snd-hda-codec-ca0132.mod.o 0 2
./drivers/usb/host/whci/whci-hcd.o 83 86
./drivers/net/wireless/ath/ath9k/ani.o 12 3
./drivers/media/video/gspca/mr97310a.o 30 11
./fs/dlm/memory.o 8 6
./drivers/mtd/maps/sc520cdp.mod.o 0 2
./fs/ocfs2/stack_user.o 25 25
./net/sunrpc/auth_unix.o 12 15
./net/core/filter.o 7 14
./drivers/media/video/cx25840/cx25840.o 73 51
./drivers/net/wireless/wl1251/sdio.o 20 31
./security/keys/keyctl.o 30 61
./drivers/scsi/fdomain.o 17 35
./drivers/media/video/gspca/gspca_t613.o 43 18
./drivers/isdn/mISDN/mISDN_dsp.mod.o 0 2
./drivers/md/raid456.o 68 107
./drivers/ide/ide-ioctls.o 3 24
./drivers/media/rc/keymaps/rc-flydvb.o 4 2
./sound/isa/sb/sb8_main.o 18 24
./net/ipv4/netfilter/arp_tables.mod.o 0 2
./sound/pci/lx6464es/lx_core.o 42 10
./fs/dlm/lockspace.o 25 77
./drivers/hwmon/adm1026.o 60 26
./drivers/scsi/bfa/bfad_bsg.o 108 125
./drivers/scsi/hosts.o 18 51
./drivers/uwb/i1480/dfu/i1480-dfu-usb.o 18 29
./drivers/net/irda/nsc-ircc.o 30 59
./drivers/media/video/cx25840/cx25840.mod.o 0 2
./drivers/power/ds2760_battery.mod.o 0 2
./drivers/cpufreq/cpufreq-nforce2.o 12 12
./net/ipv4/netfilter/nf_nat_irc.o 6 10
./drivers/media/dvb/mantis/mantis_dvb.o 6 22
./drivers/char/agp/amd64-agp.o 16 52
./arch/x86/boot/memory.o 1 3
./sound/isa/ad1848/snd-ad1848.o 9 21
./drivers/usb/wusbcore/wusb-cbaf.mod.o 0 2
./lib/zlib_deflate/deftree.o 11 0
./drivers/rtc/rtc-pcf8583.o 10 16
./drivers/video/matrox/matroxfb_g450.o 11 9
./drivers/isdn/gigaset/isocdata.o 12 18
./sound/core/pcm_memory.o 15 19
./fs/ext2/balloc.o 14 27
./drivers/media/rc/keymaps/rc-avermedia-m733a-rm-k6.mod.o 0 2
./drivers/isdn/hisax/tei.o 19 14
./drivers/ide/ide-cd_mod.mod.o 0 2
./fs/nls/nls_cp852.mod.o 0 2
./drivers/gpu/drm/radeon/radeon_acpi.o 1 4
./drivers/isdn/pcbit/drv.o 13 50
./drivers/rtc/rtc-ds1553.o 15 28
./drivers/mmc/host/sdricoh_cs.mod.o 0 2
./drivers/media/video/cx18/cx18-av-audio.o 4 5
./net/bridge/netfilter/ebt_ip.o 6 4
./lib/halfmd4.o 1 0
./drivers/gpu/drm/i915/i915_suspend.o 8 20
./drivers/hid/hid-sony.o 9 13
./sound/core/hwdep.o 20 41
./drivers/net/wireless/b43legacy/xmit.o 10 21
./drivers/media/video/gspca/gspca_main.mod.o 0 2
./drivers/input/joystick/magellan.mod.o 0 2
./arch/x86/kvm/svm.o 141 107
./sound/drivers/vx/snd-vx-lib.mod.o 0 2
./drivers/ata/sata_sis.o 8 28
./drivers/net/irda/old_belkin-sir.mod.o 0 2
./drivers/media/rc/keymaps/rc-digittrade.mod.o 0 2
./arch/x86/pci/fixup.o 19 16
./fs/ext4/mmp.o 7 24
./drivers/gpu/drm/nouveau/nv50_fb.o 4 17
./drivers/cpufreq/cpufreq.o 62 66
./drivers/input/touchscreen/elo.mod.o 0 2
./net/bluetooth/l2cap_core.o 75 66
./drivers/media/video/saa7134/saa7134-input.o 20 28
./net/ieee802154/netlink.o 7 12
./net/rxrpc/ar-connevent.o 5 23
./drivers/media/video/gspca/gl860/gl860-ov2640.o 6 4
./drivers/media/dvb/ttpci/budget-patch.o 24 26
./drivers/net/wireless/libertas/main.o 37 89
./drivers/net/hamradio/bpqether.o 21 41
./drivers/net/ethernet/i825xx/eexpress.o 16 31
./kernel/rwsem.o 7 5
./crypto/lrw.mod.o 0 2
./drivers/input/tablet/acecad.mod.o 0 2
./fs/block_dev.o 58 94
./drivers/crypto/geode-aes.o 19 21
./drivers/isdn/sc/message.o 3 7
./lib/bug.o 4 9
./drivers/ide/ide-floppy.o 8 22
./drivers/input/joystick/iforce/iforce-ff.o 7 8
./drivers/scsi/cxgbi/libcxgbi.mod.o 0 2
./drivers/net/ethernet/i825xx/znet.o 15 32
./drivers/net/wireless/libertas_tf/libertas_tf.mod.o 0 2
./fs/ext4/migrate.o 9 24
./drivers/dma/built-in.o 36 41
./sound/isa/sb/emu8000_patch.o 6 16
./drivers/input/joystick/analog.o 14 36
./drivers/media/rc/keymaps/rc-evga-indtube.mod.o 0 2
./block/partitions/atari.o 3 8
./drivers/gpu/drm/nouveau/nv50_pm.o 13 12
./fs/afs/callback.o 9 23
./drivers/media/dvb/frontends/cxd2820r_t.o 10 10
./drivers/ide/delkin_cb.mod.o 0 2
./fs/btrfs/tree-defrag.o 1 14
./drivers/isdn/hisax/teles0.o 15 30
./drivers/gpu/drm/nouveau/nv40_pm.o 10 18
./drivers/media/video/cx23885/cx23885-417.o 53 62
./sound/pcmcia/pdaudiocf/pdaudiocf.o 9 29
./fs/ubifs/ubifs.o 319 158
./kernel/exit.o 27 105
./crypto/fcrypt.mod.o 0 2
./drivers/acpi/pci_slot.o 10 23
./drivers/staging/rtl8192u/r8192U_dm.o 21 20
./net/wireless/scan.o 32 33
./sound/usb/snd-usb-audio.mod.o 0 2
./drivers/net/fddi/skfp/smtinit.o 1 17
./fs/btrfs/file-item.o 14 42
./drivers/hwmon/w83627ehf.o 71 39
./arch/x86/kernel/cpu/perf_event_amd.o 11 23
./fs/ubifs/replay.o 5 29
./drivers/media/dvb/dvb-usb/af9005.o 27 22
./drivers/net/wireless/b43/xmit.o 10 21
./crypto/rng.o 7 11
./drivers/net/ppp/ppp_synctty.o 18 49
./drivers/input/joystick/gamecon.mod.o 0 2
./net/netfilter/ipvs/ip_vs_lblc.o 11 23
./drivers/acpi/acpica/psargs.o 5 13
./drivers/ata/pata_efar.o 9 25
./drivers/scsi/ipr.mod.o 0 2
./drivers/hwmon/ltc4215.mod.o 0 2
./drivers/hid/hid-belkin.o 7 7
./kernel/time/tick-oneshot.o 6 9
./drivers/block/aoe/aoecmd.o 12 37
./lib/bsearch.o 1 0
./drivers/acpi/acpica/hwvalid.o 3 5
./lib/dynamic_queue_limits.o 3 1
./drivers/pci/setup-res.o 9 21
./drivers/cpufreq/speedstep-ich.mod.o 0 2
./drivers/edac/i82875p_edac.mod.o 0 2
./drivers/media/video/cx23885/netup-init.o 3 2
./drivers/net/arcnet/arc-rawmode.o 7 11
./drivers/video/via/lcd.o 9 23
./drivers/media/dvb/mantis/mantis_core.mod.o 0 0
./lib/cmdline.o 3 2
./drivers/ata/libata.mod.o 0 2
./drivers/mtd/devices/mtdram.o 11 10
./drivers/media/video/wm8739.mod.o 0 2
./sound/pci/oxygen/snd-virtuoso.mod.o 0 2
./fs/autofs4/autofs4.o 60 93
./drivers/media/video/cx23885/cx23885-vbi.o 9 15
./drivers/char/agp/via-agp.o 15 36
./net/sunrpc/socklib.o 4 9
./drivers/net/wireless/rt2x00/rt61pci.o 49 59
./drivers/power/ds2782_battery.o 14 19
./fs/ocfs2/stack_o2cb.o 18 27
./drivers/tty/serial/max3100.o 31 46
./drivers/misc/ibmasm/r_heartbeat.o 3 13
./drivers/oprofile/buffer_sync.o 12 32
./drivers/base/regmap/regcache.o 12 17
./drivers/media/video/au0828/au0828-video.o 57 57
./fs/ext3/file.o 1 23
./drivers/input/misc/cm109.o 24 34
./drivers/acpi/acpica/uteval.o 4 10
./drivers/input/joystick/sidewinder.mod.o 0 2
./drivers/net/wireless/ipw2x00/ipw2200.mod.o 0 2
./drivers/net/ethernet/amd/amd8111e.o 43 68
./lib/lzo/lzo_compress.o 2 0
./drivers/md/dm-service-time.o 13 9
./drivers/net/wireless/airo.o 127 106
./sound/core/info.o 30 32
./drivers/media/rc/keymaps/rc-behold-columbus.mod.o 0 2
./fs/isofs/inode.o 32 55
./fs/coda/psdev.o 11 34
./drivers/crypto/hifn_795x.o 53 59
./net/rds/message.o 13 19
./drivers/tty/serial/8250/8250_early.o 7 14
./drivers/w1/w1.o 42 61
./arch/x86/kernel/cpu/mcheck/mce-inject.mod.o 0 1
./net/bridge/netfilter/ebt_vlan.mod.o 0 2
./fs/squashfs/symlink.o 1 11
./drivers/media/dvb/frontends/cx22700.mod.o 0 0
./drivers/video/matrox/matroxfb_accel.o 6 4
./drivers/isdn/hisax/q931.o 19 5
./sound/core/seq/seq_midi_emul.o 10 7
./drivers/media/dvb/frontends/tda10021.mod.o 0 0
./drivers/bluetooth/hci_uart.o 51 37
./drivers/gpu/drm/drm_lock.o 8 17
./drivers/media/dvb/dvb-usb/dibusb-mb.o 9 21
./drivers/gpu/drm/drm.o 419 173
./drivers/media/dvb/mantis/mantis_vp2033.o 3 8
./fs/reiserfs/dir.o 5 24
./drivers/media/dvb/frontends/s921.o 12 6
./net/ipv4/netfilter/ipt_CLUSTERIP.mod.o 0 2
